SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1596048549,120.5,20200729 13:49:09,13:49:09,,1596048547,0.007081726,12.49559796,393.85225,342.1602384,34.42285611,39.62330455,0.504389738,3.01691015,0.46179407,0.29214799,193.741502,27.13793244,26.06295,3.386847877,50.18928075,1.884471738,3.754729515,1.502376139,-312.3041093,285.4303785,20.40598865,187.2737599,0,0,1,0,52920.58884,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.217851,12.49559796,#DIV/0!,#DIV/0!,0.012381467,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1200.04125,1009.217851,0.840985967,0.191971933,2,0.5,0: Broadleaf,2,1596048547,393.85225,399.96625,18.7314875,15.9518125,384.768875,18.4620375,499.991875,100.4875,0.1169895,27.81785,26.06295,999.9,0,0,9986.25,0,0.00152894,1200.04125,0.966997,0.033003,0,286.221875,4.99927,3581.0275,11225.8125,42,44.32775,43.687,43.5155,44.25,1155.60125,39.44,0,550.9000001,0,286.3356,-1.567307694,-16.97923074,3582.4544,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-6.130166,-0.294123152,0.153290701,1,286.4568857,-1.837127202,0.273154773,0,2.7860495,-0.036011482,0.0062105,1,2,3,03-Feb,100,100,9.083,0.2694,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2819,2819,2,518.867,546.169,25.5714,26.6913,29.9999,26.6825,26.6582,20.29,22.7392,39.2136,25.5854,400,15.9356,99.9449,100.562
3,1596048645,216.5,20200729 13:50:45,13:50:45,,1596048643,0.007001273,9.440970032,295.3805556,255.6657595,25.72111116,29.71659607,0.493450622,3.020840463,0.452650896,0.286290857,193.7400088,26.97282745,26.0074,3.37573625,50.08328391,1.860152664,3.714118802,1.515583585,-308.7561596,264.5309592,18.86439715,168.3792055,0,0,1,0,53074.1782,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.209401,9.440970032,#DIV/0!,#DIV/0!,0.009354818,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1200.031111,1009.209401,0.840986031,0.191972061,2,0.5,0: Broadleaf,2,1596048643,295.3805556,299.984,18.48976667,15.74113333,287.0462222,18.22403333,500.0173333,100.4875556,0.116886778,27.63168889,26.0074,999.9,0,0,10010,0,0.00152894,1200.031111,0.966994667,0.033005467,0,284.9907778,4.99927,3565.055556,11225.68889,41.979,44.326,43.687,43.54822222,44.25,1155.588889,39.44222222,0,646.9000001,0,284.95044,-0.795307691,-10.22461539,3565.7728,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-4.63457975,0.182775422,0.07353146,1,285.0371714,-0.9358591,0.219491293,1,2.76459425,-0.055043415,0.017482992,1,3,3,03-Mar,100,100,8.335,0.2656,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2820.6,2820.6,2,519.165,545.189,25.585,26.6755,30,26.6736,26.6493,16.1332,23.9109,38.842,25.5418,300,15.6977,99.954,100.569
4,1596048719,290.5,20200729 13:51:59,13:51:59,,1596048717,0.006855257,4.859499678,197.5013333,175.5048924,17.65650078,19.86943156,0.480091405,3.015770645,0.441318691,0.279046348,193.7289518,26.9271973,25.99215556,3.372692488,50.06176839,1.850519609,3.696472716,1.522172878,-302.3168517,253.3237938,18.08679158,162.8226855,0,0,1,0,52932.691,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.151501,4.859499678,#DIV/0!,#DIV/0!,0.004815431,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1199.962222,1009.151501,0.840986059,0.191972119,2,0.5,0: Broadleaf,2,1596048717,197.5013333,199.9868889,18.39408889,15.70222222,189.9804444,18.12986667,499.9624444,100.4867778,0.117259778,27.55024444,25.99215556,999.9,0,0,9979.444444,0,0.00152894,1199.962222,0.966992333,0.033007933,0,288.7671111,4.99927,3607.163333,11225.05556,41.937,44.312,43.687,43.576,44.25,1155.521111,39.44111111,0,721.3,0,288.65824,0.616000001,0.686153821,3607.318,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-2.50521225,0.135367542,0.078699572,1,288.6348485,0.583870325,0.214820308,1,2.70458475,-0.094858199,0.010693755,1,3,3,03-Mar,100,100,7.521,0.2642,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2821.8,2821.8,2,519.947,544.039,25.3555,26.6575,29.9992,26.6623,26.6381,11.7795,24.1817,38.4703,25.3836,200,15.7102,99.9559,100.57
5,1596048800,371.5,20200729 13:53:20,13:53:20,,1596048798,0.006705302,1.129789338,99.26802222,92.764277,9.332239018,9.986526497,0.468411653,3.013441504,0.431398544,0.272705432,193.7288894,26.93220597,25.99588889,3.373437677,50.15287628,1.850366087,3.689451582,1.52307159,-295.7038341,247.2416555,17.66363524,162.930346,0,0,1,0,52866.8806,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.151467,1.129789338,#DIV/0!,#DIV/0!,0.001119544,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1199.962222,1009.151467,0.840986032,0.191972063,2,0.5,0: Broadleaf,2,1596048798,99.26802222,99.98627778,18.393,15.75987778,92.63815556,18.12877778,499.9366667,100.4852222,0.116424444,27.51774444,25.99588889,999.9,0,0,9965.555556,0,0.001613879,1199.962222,0.966992333,0.033007933,0,296.0537778,4.99927,3693.291111,11225.05556,41.937,44.312,43.63877778,43.54822222,44.187,1155.522222,39.44,0,801.7,0,296.04432,0.30315385,3.531538503,3693.0696,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-0.7213463,0.151952555,0.069684758,1,295.9951176,0.994829701,0.19140099,1,2.639372,-0.085330356,0.012040861,1,3,3,03-Mar,100,100,6.629,0.2643,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2823.2,2823.2,2,520.016,543.394,25.2601,26.6282,29.9998,26.6422,26.6181,7.29134,23.6248,38.0979,25.33,100,15.7733,99.9667,100.581
6,1596048871,442.5,20200729 13:54:31,13:54:31,,1596048869,0.006728082,-0.053968937,49.90146667,48.88420369,4.917851517,5.020190266,0.470047703,3.018874769,0.432847978,0.273626484,193.7369921,26.9073358,25.98118889,3.370504325,50.12941882,1.847323183,3.68510792,1.523181142,-296.7084002,246.8031402,17.59750394,161.4292361,0,0,1,0,53037.33483,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.193533,-0.053968937,#DIV/0!,#DIV/0!,-5.35E-05,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1200.012222,1009.193533,0.840986045,0.19197209,2,0.5,0: Broadleaf,2,1596048869,49.90146667,50.01417778,18.36267778,15.72081111,43.74927778,18.09892222,499.9901111,100.4853333,0.116725111,27.49761111,25.98118889,999.9,0,0,9998.333333,0,0.00152894,1200.012222,0.966991556,0.033008756,0,299.5671111,4.99927,3734.185556,11225.54444,41.92322222,44.29822222,43.625,43.52755556,44.187,1155.571111,39.44222222,0,873.1000001,0,299.6128462,-0.198358967,-4.421196584,3734.464615,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-0.065344176,-0.344222861,0.070598146,1,299.6378235,-0.320896027,0.211234532,1,2.65283925,-0.097859099,0.010045914,1,3,3,03-Mar,100,100,6.153,0.2638,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2824.4,2824.4,2,520.044,543.464,25.4181,26.599,29.9999,26.6176,26.5958,5.07807,23.9016,37.7265,25.4273,50,15.6839,99.9715,100.59
7,1596048960,531.5,20200729 13:56:00,13:56:00,,1596048958,0.006752637,10.93883271,394.5423333,345.5483281,34.76277677,39.69166089,0.471215607,3.020603785,0.433858245,0.274270589,193.7422071,26.97181568,25.98766667,3.371796676,49.90478375,1.846625029,3.700296626,1.525171647,-297.7913132,257.3395466,18.34532349,171.635764,0,0,1,0,53078.08572,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.218961,10.93883271,#DIV/0!,#DIV/0!,0.010838909,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1200.042222,1009.218961,0.84098621,0.191972421,2,0.5,0: Broadleaf,2,1596048958,394.5423333,399.9836667,18.35578889,15.70425556,385.454,18.09214444,499.989,100.4843333,0.117446333,27.56792222,25.98766667,999.9,0,0,10008.88889,0,0.00152894,1200.042222,0.966990778,0.033009578,0,280.7384444,4.99927,3510.122222,11225.76667,41.875,44.25,43.625,43.54133333,44.187,1155.598889,39.45,0,961.9000001,0,280.7805,-1.314974358,-8.749401717,3510.72,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-5.4470265,0.098918049,0.074426824,1,280.8573714,-0.98623092,0.20835246,1,2.65147725,-0.007050844,0.00324014,1,3,3,03-Mar,100,100,9.088,0.2637,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2825.8,2825.8,2,520.369,544.138,25.8156,26.5586,29.9999,26.5841,26.5602,20.3075,24.1817,37.3539,25.8193,400,15.6796,99.9838,100.598
8,1596049021,592,20200729 13:57:00,13:57:00,,1596049018,0.006752884,11.99488988,394.101,341.2736113,34.33241943,39.64690027,0.470833501,3.019953374,0.43352678,0.274059344,193.7348731,26.98916393,25.9875875,3.37178088,49.82025915,1.84539203,3.70409962,1.52638885,-297.8021729,260.1568575,18.55178535,174.641343,0,0,1,0,53054.96623,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.180346,11.99488988,#DIV/0!,#DIV/0!,0.011885774,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1199.99625,1009.180346,0.84098625,0.191972499,2,0.5,0: Broadleaf,2,1596049018,394.101,399.96375,18.3437,15.691975,385.016,18.08025,499.97725,100.483875,0.116986875,27.5854875,25.9875875,999.9,0,0,10005,0,0.00152894,1199.99625,0.966990875,0.033009475,0,280.00675,4.99927,3501.65,11225.3375,41.875,44.23425,43.562,43.585625,44.1405,1155.55125,39.45,0,1022.5,0,279.96892,0.198615371,-6.473846162,3502.0596,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-5.83775325,0.003465028,0.089646045,1,280.0021176,-0.19061642,0.191540775,1,2.65612675,-0.046894672,0.00522165,1,3,3,03-Mar,100,100,9.084,0.2634,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2826.9,2826.9,2,519.511,543.891,25.5555,26.5272,29.9995,26.5596,26.5358,20.3071,24.1817,36.9833,25.5664,400,15.6795,99.9896,100.604
9,1596049104,674.9000001,20200729 13:58:23,13:58:23,,1596049101,0.006650831,16.27182875,591.8993333,517.5960171,52.07095918,59.54598762,0.460845318,3.021987863,0.42506229,0.268646983,193.7326435,27.01220967,26.00202222,3.374662229,49.72105654,1.841384976,3.70343091,1.533277252,-293.3016418,257.4773754,18.34938946,176.2577666,0,0,1,0,53118.13366,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.168567,16.27182875,#DIV/0!,#DIV/0!,0.016123995,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1199.982222,1009.168567,0.840986265,0.19197253,2,0.5,0: Broadleaf,2,1596049101,591.8993333,599.9816667,18.30374444,15.69244444,581.4975556,18.04087778,500.0647778,100.4847778,0.116767556,27.5824,26.00202222,999.9,0,0,10017.22222,0,0.00152894,1199.982222,0.96699,0.0330104,0,279.1266667,4.99927,3491.87,11225.22222,41.875,44.187,43.562,43.562,44.125,1155.532222,39.45,0,1105.3,0,279.20512,-1.486153845,-16.98461542,3493.2408,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-8.083355,0.111226717,0.087736031,1,279.2729412,-0.967043285,0.182880376,1,2.61747675,-0.048533021,0.005671912,1,3,3,03-Mar,100,100,10.402,0.2628,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2828.2,2828.2,2,518.845,544.758,25.5655,26.4945,29.9999,26.5283,26.5047,28.1146,24.1817,36.6123,25.5646,600,15.6925,99.9946,100.609
10,1596049185,755.9000001,20200729 13:59:44,13:59:44,,1596049182,0.006323605,18.66737929,790.4864444,698.8177029,70.30083247,79.52267791,0.435890552,3.018939243,0.403703151,0.255008027,193.7349488,27.05804562,26.01478889,3.377212406,49.85157955,1.84229858,3.695567115,1.534913825,-278.8709868,249.2244492,17.77706718,181.8654784,0,0,1,0,53030.73245,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.180701,18.66737929,#DIV/0!,#DIV/0!,0.018497559,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1199.996667,1009.180701,0.840986253,0.191972507,2,0.5,0: Broadleaf,2,1596049182,790.4864444,799.9525556,18.31316667,15.83013333,778.9764444,18.0502,500.0174444,100.4836667,0.116006444,27.54605556,26.01478889,999.9,0,0,9998.888889,0,0.00152894,1199.996667,0.96699,0.0330104,0,277.7633333,4.99927,3474.347778,11225.36667,41.812,44.125,43.562,43.53444444,44.125,1155.546667,39.45,0,1186.3,0,277.7906154,-0.458871799,-9.177435907,3475.024615,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-9.47655175,0.031883189,0.111913956,1,277.8503714,-0.929079972,0.175747398,1,2.48332275,-0.080352158,0.019392594,1,3,3,03-Mar,100,100,11.51,0.263,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2829.6,2829.6,2,519.318,544.739,25.3573,26.4645,29.9999,26.4972,26.4737,35.5219,23.36,36.2414,25.3606,800,15.8247,100.001,100.617
11,1596049265,835.9000001,20200729 14:01:04,14:01:04,,1596049262,0.005969723,19.24671634,989.917,886.3539741,89.16715878,99.58559322,0.40841646,3.024258066,0.380063282,0.239922743,193.7354707,27.08800993,26.02567778,3.379388821,49.97137938,1.840240096,3.682588151,1.539148725,-263.2647822,238.0838044,16.94835591,185.5028489,0,0,1,0,53205.09844,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.184334,19.24671634,#DIV/0!,#DIV/0!,0.019071557,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1200.001111,1009.184334,0.840986166,0.191972333,2,0.5,0: Broadleaf,2,1596049262,989.917,999.9778889,18.29265556,15.94882222,977.4616667,18.02998889,500.08,100.4834444,0.116498,27.48592222,26.02567778,999.9,0,0,10031.11111,0,0.00152894,1200.001111,0.966992444,0.033007856,0,277.807,4.99927,3476.142222,11225.4,41.812,44.125,43.5,43.54822222,44.083,1155.554444,39.44666667,0,1266.7,0,277.8418846,-0.204068374,-0.706666661,3476.122692,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-10.07226,-0.076503715,0.14962574,1,277.8893333,-0.692796417,0.182233727,1,2.34219825,-0.08331546,0.020469145,1,3,3,03-Mar,100,100,12.456,0.2627,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2830.9,2830.9,2,519.158,545.756,25.3585,26.4355,30.0002,26.4661,26.4428,42.6561,22.7897,35.8704,25.3458,1000,15.9878,100.013,100.627
12,1596049339,909.9000001,20200729 14:02:18,14:02:18,,1596049336,0.005667539,19.61023149,1189.463333,1075.226394,108.1679714,119.6602283,0.38665473,3.018580714,0.361096777,0.227840835,193.7346809,27.06661926,26.01056667,3.376368819,50.2041875,1.838337554,3.661721552,1.538031265,-249.938448,224.299596,15.98814858,184.0839775,0,0,1,0,53047.46708,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.187267,19.61023149,#DIV/0!,#DIV/0!,0.019431707,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1200.005556,1009.187267,0.840985496,0.191970992,2,0.5,0: Broadleaf,2,1596049336,1189.463333,1200.002222,18.2737,16.04847778,1176.182222,18.01133333,500.0823333,100.4842222,0.115960222,27.38885556,26.01056667,999.9,0,0,9996.666667,0,0.00152894,1200.005556,0.967012,0.0329875,0,278.1106667,4.99927,3478.793333,11225.53333,41.78444444,44.111,43.5,43.52066667,44.062,1155.585556,39.42,0,1340.5,0,278.09604,0.25546153,-0.496153856,3478.754,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-10.5674375,0.453204878,0.184197869,1,278.1295758,-0.400986427,0.190849144,1,2.2351905,-0.068419812,0.007639504,1,3,3,03-Mar,100,100,13.28,0.2624,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2832.2,2832.2,2,519.294,545.338,24.9392,26.4087,29.9999,26.4394,26.4162,49.5705,22.2397,35.8704,24.943,1200,16.0561,100.011,100.633
13,1596049413,983.9000001,20200729 14:03:32,14:03:32,,1596049410,0.005490493,19.80443177,1488.897778,1363.25712,137.1424562,149.7817948,0.372459973,3.02132722,0.348702377,0.219947109,193.734169,27.05000475,26.0093,3.376115779,50.24331462,1.833143851,3.648532875,1.542971927,-242.1307229,214.6762359,15.28346519,181.5631473,0,0,1,0,53142.88474,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.182801,19.80443177,#DIV/0!,#DIV/0!,0.019624226,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1698,300,300,300,8187.5,312.63,-0.00577953,-1.85,1200,1009.182801,0.840985667,0.191971335,2,0.5,0: Broadleaf,2,1596049410,1488.897778,1500.088889,18.22226667,16.0662,1474.498889,17.9607,500.0256667,100.4836667,0.115445667,27.32725556,26.0093,999.9,0,0,10013.33333,0,0.00152894,1200,0.967006333,0.032993411,0,278.0887778,4.99927,3478.272222,11225.44444,41.75,44.111,43.486,43.5,44.02066667,1155.573333,39.42666667,0,1414.3,0,278.0788462,-0.494905982,-0.785641032,3478.255385,15,0,--:--:--,1595879410,1595879410,0,0.395,-0.006,12.554,0.215,1000,15,0.62,0.05,-11.164565,0.194530582,0.230757809,1,278.151,-0.98637182,0.21533323,1,2.161903,-0.048950994,0.005661495,1,3,3,03-Mar,100,100,14.4,0.2614,5.706725236,0.010379638,-4.57E-06,1.04E-09,0.013892011,0.009649558,0.000351755,-6.75E-06,-4,2075,1,24,2833.4,2833.4,2,519.301,546.253,25.0234,26.3842,30.0001,26.4128,26.3898,59.5706,22.2397,35.8704,25.0271,1500,15.9844,100.024,100.632
