SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1598313650,0,20200824 19:00:49,19:00:49,1598313642,0.006708349,17.75734799,391.8401667,319.7430656,32.27796638,39.55614706,0.480630889,3.025807047,0.441892523,0.279402665,193.7343927,27.32356958,26.20270333,3.414944024,50.94692802,1.922948762,3.774415529,1.491995262,-295.8381727,278.0923684,19.84565842,195.8342468,1,0,1,0,53186.26712,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-642-20200824-19_00_50,8241.47,251.9828,372.065,0.322745219,0.5,1009.18292,17.75734799,162.8544814,1,0.018586668,4.775012431,-,0,372.065,0.322745219,0.8268402,-3.067324118,1.022532149,0,1,1200,1009.18292,0.840985767,0.191971533,2,0.5,0: Broadleaf,2,1598313642,391.8401667,399.9944667,19.04858333,16.41638333,391.2681667,19.08358333,500.0048667,100.8497333,0.099966113,27.90746,26.20270333,999.9,0,0,10004.04,0,2.09464,1200,0.967005267,0.032994373,0,251.9450333,4.99995,3055.297667,8402.155333,43.30786667,45.5496,44.57886667,44.937,45.43286667,1155.569333,39.43066667,0,184.8,0,251.9828,0.32999998,2.612307687,3055.2688,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-8.11825625,-0.934173321,0.092741982,0,251.9991714,-0.282105675,0.185174896,1,2.62401825,0.237239662,0.024638052,0,1,3,03-Jan,100,100,0.572,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180205.9,202077.8,2,505.243,546.083,22.4677,28.7368,29.9997,28.6572,28.6146,19.8235,14.8055,14.3477,22.4919,400,15.964,99.4686,99.6765
2,1598313770,120.5,20200824 19:02:50,19:02:50,1598313762,0.006299269,20.60158068,390.7390333,300.8206467,30.36687511,39.44384654,0.432779403,3.025548278,0.401095813,0.253337961,193.7357384,26.74641307,25.78048333,3.330676262,49.2238664,1.785467202,3.627238842,1.54520906,-277.7977432,236.0092625,16.75121452,168.6984722,1,0,1,0,53298.68521,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-643-20200824-19_02_51,8242.7,260.2675,416.701,0.375409466,0.5,1009.19018,20.60158068,189.4297734,1,0.021404866,4.156407112,-,0,416.701,0.375409466,0.806066515,28.5090421,0.996841864,0,1,1200.008667,1009.19018,0.840985743,0.191971486,2,0.5,0: Broadleaf,2,1598313762,390.7390333,399.9639,17.68721333,15.21215667,390.1670667,17.72221333,500.017,100.8468,0.09997821,27.22738667,25.78048333,999.9,0,0,10002.76633,0,2.09464,1200.008667,0.967001,0.0329988,0,260.1966,4.99995,3149.766,8402.209667,43.30373333,45.5,44.5727,44.937,45.35193333,1155.578667,39.43,0,120,0,260.2675,6.368786313,63.78871795,3150.299231,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-9.20455275,-0.336244165,0.038002704,1,259.9434848,6.062370489,0.608052835,0,2.49983775,-0.481103077,0.047055539,0,1,3,03-Jan,100,100,0.572,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180207.9,202079.8,2,505.452,544.697,27.0777,28.7861,30.0001,28.6621,28.6121,19.805,19.4303,14.3477,27.1146,400,15.522,99.4685,99.6771
3,1598313843,193.5,20200824 19:04:03,19:04:03,1598313835,0.005886941,15.19577583,293.2167333,219.9082225,22.19832184,29.5983449,0.386697604,3.024065826,0.361177269,0.227888194,193.7339296,27.55374456,26.45892,3.466983076,49.34809373,1.865127007,3.779532027,1.601856069,-259.6141193,239.9466344,17.15721298,191.2236576,1,0,1,0,53128.3713,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-644-20200824-19_04_04,8242.58,253.8723077,397.77,0.361761049,0.5,1009.18066,15.19577583,182.5411269,1,0.016048441,4.401815119,-,0,397.77,0.361761049,0.814877041,-10.70361046,1.007737616,0,1,1199.997333,1009.18066,0.840985752,0.191971504,2,0.5,0: Broadleaf,2,1598313835,293.2167333,299.9852667,18.47692667,16.16574,292.6447333,18.51192667,500.0175,100.8436,0.099973603,27.93068333,26.45892,999.9,0,0,9994.124333,0,2.090975333,1199.997333,0.967001,0.0329988,0,253.8581667,4.99995,3076.362667,8402.133667,43.312,45.4958,44.55386667,44.88326667,45.36856667,1155.567333,39.43,0,72.60000014,0,253.8723077,-0.624888892,-7.801367507,3076.291154,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-6.74379425,-0.348252045,0.047263629,1,253.9145758,-0.802885997,0.187958737,1,2.31224275,-0.073882514,0.017147422,1,3,3,03-Mar,100,100,0.572,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180209.2,202081,2,505.203,545.664,26.7387,28.7542,30.0013,28.6548,28.6072,15.7934,13.5115,16.2597,26.165,300,16.3529,99.4738,99.6805
4,1598313931,281.5999999,20200824 19:05:31,19:05:31,1598313923,0.005705853,8.799805297,196.0627419,153.5399049,15.49906161,19.79152272,0.391206258,3.025413354,0.365119678,0.230398457,193.7352304,26.8475001,26.07973226,3.390211097,51.25048264,1.85368467,3.616911636,1.536526427,-251.6281388,179.2593748,12.73979524,134.1062616,1,0,1,0,53303.10682,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-645-20200824-19_05_32,8242.75,244.77996,356.247,0.312892572,0.5,1009.187507,8.799805297,157.8836371,1,0.009710589,5.031433247,-,0,356.247,0.312892572,0.834201929,-2.027895865,1.031636211,0,1,1200.005484,1009.187507,0.840985746,0.191971491,2,0.5,0: Broadleaf,2,1598313923,196.0627419,200.0300645,18.36334194,16.12295806,195.4907419,18.39834194,500.0102903,100.844871,0.09997211,27.17876774,26.07973226,999.9,0,0,10002.14194,0,2.09464,1200.005484,0.967001,0.0329988,0,244.7695161,4.99995,2971.592258,8402.191935,43.30406452,45.44106452,44.54606452,44.86687097,45.37893548,1155.575484,39.43,0,87.60000014,0,244.77996,-0.308384603,-0.316153852,2971.5364,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-3.96122825,-0.133608968,0.019072952,1,244.825,-0.962992392,0.228655533,1,2.241626,0.007944315,0.011368859,1,3,3,03-Mar,100,100,0.572,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180210.6,202082.5,2,504.824,545.09,20.6251,28.7403,29.9984,28.6344,28.5877,11.5904,19.0537,18.1711,20.7203,200,15.6679,99.4793,99.6846
5,1598314052,402.0999999,20200824 19:07:31,19:07:31,1598314044,0.005300065,1.610043658,99.07253,88.87005659,8.970821954,10.00069159,0.348635028,3.027637866,0.32776886,0.206626129,193.7344416,26.7360871,25.80436,3.335392707,48.83281539,1.74419808,3.571774566,1.591194627,-233.7328499,189.419979,13.41908979,162.8406605,1,0,1,0,53409.90173,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-646-20200824-19_07_32,8242.85,244.35204,324.484,0.246951961,0.5,1009.18043,1.610043658,124.6095429,1,0.0025863,5.621836516,-,0,324.484,0.246951961,0.848984493,-0.923926002,1.049917431,0,1,1199.996667,1009.18043,0.840986028,0.191972056,2,0.5,0: Broadleaf,2,1598314044,99.07253,99.92654667,17.27901667,15.19571333,98.50053,17.31401667,500.0217333,100.8431333,0.099999803,26.96483667,25.80436,999.9,0,0,10015.772,0,2.09464,1199.996667,0.966998333,0.033001533,0,244.3908667,4.99995,2964.885333,8402.123667,43.2059,45.4308,44.48733333,44.7582,45.2437,1155.555667,39.441,0,120,0,244.35204,-2.037692315,-30.08769227,2964.5208,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-0.84310075,-0.173825246,0.024033673,1,244.4705152,-2.118350376,0.231879948,0,2.085711,0.004548968,0.012560969,1,2,3,03-Feb,100,100,0.572,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180212.6,202084.5,2,505.235,543.721,28.3249,28.7887,30,28.6499,28.5951,7.24714,20.3266,17.7987,28.3195,100,15.5771,99.4733,99.6775
6,1598314125,475.5999999,20200824 19:08:45,19:08:45,1598314117,0.005330685,-2.269431666,50.80932258,60.71418153,6.128567135,5.128758005,0.33530368,3.026228263,0.315946814,0.199112713,193.7373733,27.94980563,26.8205871,3.541617793,49.11865415,1.88430016,3.836221071,1.657317633,-235.0832056,222.7950333,15.96854518,197.4177462,1,0,1,0,53149.84327,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-647-20200824-19_08_46,8242.85,245.7771923,320.235,0.2325099,0.5,1009.195955,-2.269431666,117.3240251,1,-0.001257864,5.709697566,-,0,320.235,0.2325099,0.850961986,-0.818407914,1.052362946,0,1,1200.015161,1009.195955,0.840986004,0.191972007,2,0.5,0: Broadleaf,2,1598314117,50.80932258,50.00991613,18.66729032,16.57489032,50.23732258,18.70229032,500.0167742,100.8413226,0.099956397,28.18617097,26.8205871,999.9,0,0,10007.42194,0,2.09464,1200.015161,0.966999194,0.033000652,0,245.7603871,4.99995,2979.582258,8402.247742,43.19512903,45.377,44.47154839,44.69716129,45.25,1155.574516,39.44064516,0,72.60000014,0,245.7771923,-1.001743581,-6.576752129,2979.523462,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,0.809110625,-0.252866758,0.036612636,1,245.8100882,-0.946165423,0.21806426,1,2.090798,-0.093103565,0.028966402,1,3,3,03-Mar,100,100,0.572,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180213.9,202085.7,2,505.183,545.331,27.5463,28.7404,30.0017,28.6417,28.5927,5.0984,12.9454,20.304,26.6874,50,16.8115,99.4792,99.6843
7,1598314246,596.0999999,20200824 19:10:45,19:10:45,1598314238,0.006803743,21.40995499,390.475129,305.7587921,30.86236458,39.41337454,0.483052329,3.021366024,0.443887154,0.280683211,193.7367403,26.11163955,25.67304516,3.309525617,51.16781962,1.801570494,3.520905342,1.507955123,-300.0450796,170.6812822,12.09390794,76.46685092,1,0,1,0,53259.2121,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-648-20200824-19_10_46,8243.58,272.77284,452.121,0.396681773,0.5,1009.192452,21.40995499,200.1641256,1,0.022205829,3.752444589,-,0,452.121,0.396681773,0.789581976,4.384273731,0.976455856,0,1,1200.010968,1009.192452,0.840986023,0.191972047,2,0.5,0: Broadleaf,2,1598314238,390.475129,400.1010323,17.84847097,15.17575806,389.9031613,17.88347097,500.0392581,100.8367097,0.10025559,26.72089032,25.67304516,999.9,0,0,9978.509355,0,2.09464,1200.010968,0.966997129,0.033002768,0,272.6273226,4.99995,3289.980968,8402.222581,43.187,45.37296774,44.427,44.68306452,45.266,1155.569677,39.44129032,0,120,0,272.77284,8.133076905,89.32692294,3291.4412,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-9.628608,0.201666867,0.034143077,1,272.3398788,8.243202907,0.808575618,0,2.63629725,0.134977824,0.103788157,0,1,3,03-Jan,100,100,0.572,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180215.9,202087.7,2,505.521,543.745,24.2622,28.8057,30.0007,28.6358,28.5791,19.7997,27.2541,22.2052,24.2461,400,15.1376,99.4879,99.6888
8,1598314366,716.5999999,20200824 19:12:46,19:12:46,1598314358,0.005248882,22.02237349,390.3393871,274.1688831,27.67320249,39.39885802,0.345023694,3.023734467,0.324549249,0.204581503,193.7313679,26.99129037,26.06716452,3.387692206,49.6059523,1.797216139,3.622984855,1.590476066,-231.4757138,185.8719334,13.21814276,161.3457303,1,0,1,0,53245.95699,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-649-20200824-19_12_47,8243.82,284.67856,480.418,0.407435691,0.5,1009.164261,22.02237349,205.5847693,1,0.022813306,3.472521846,-,0,480.418,0.407435691,0.776412495,2.828434843,0.960169495,0,1,1199.977419,1009.164261,0.840986043,0.191972086,2,0.5,0: Broadleaf,2,1598314358,390.3393871,399.9673871,17.8057,15.74363548,389.7673871,17.8407,500.0253226,100.8348387,0.100038281,27.20737419,26.06716452,999.9,0,0,9992.990968,0,2.09464,1199.977419,0.966995839,0.03300409,0,284.6149355,4.99995,3425.924516,8401.979355,43.129,45.3363871,44.415,44.657,45.19119355,1155.536452,39.44096774,0,120,0,284.67856,4.101769219,44.78076918,3426.6288,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-9.616089,-0.205295685,0.02534345,1,284.4044706,3.913567202,0.424250775,0,2.062625,0.051480675,0.017719228,1,2,3,03-Feb,100,100,0.572,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180217.9,202089.8,2,504.755,543.921,25.0599,28.8725,29.9998,28.6953,28.633,19.8223,21.4517,21.834,25.0591,400,15.7861,99.4639,99.67
9,1598314454,804.5999999,20200824 19:14:14,19:14:14,1598314446,0.005321123,28.79294322,587.2228333,438.1370044,44.22247268,59.27014939,0.357205728,3.025031248,0.335317942,0.211428387,193.7325796,26.86585477,26.00301333,3.374860146,50.39474758,1.814339253,3.600254669,1.560520893,-234.6615455,178.9178235,12.7072371,150.6960948,1,0,1,0,53305.01423,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-650-20200824-19_14_15,8243.84,284.04296,484.965,0.414302146,0.5,1009.17063,28.79294322,209.0507786,1,0.029522206,3.430587774,-,0,484.965,0.414302146,0.774296312,2.724324021,0.957552466,0,1,1199.985,1009.17063,0.840986037,0.191972075,2,0.5,0: Broadleaf,2,1598314446,587.2228333,599.9893,17.97568333,15.88559,586.6508333,18.01068333,500.0229,100.8329667,0.100011453,27.10009333,26.00301333,999.9,0,0,10001.01267,0,2.060126,1199.985,0.9669962,0.03300372,0,284.0579,4.99995,3422.898667,8402.030333,43.15393333,45.3246,44.39966667,44.687,45.20373333,1155.544,39.441,0,87.5999999,0,284.04296,-0.383769237,-1.544615418,3422.8448,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-12.77142,-0.009624765,0.039844725,1,284.0593636,-0.717834869,0.201690405,1,2.09017575,-0.002491295,0.001263222,1,3,3,03-Mar,100,100,0.572,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180219.3,202091.2,2,504.687,544.99,24.0703,28.8651,29.9999,28.7109,28.6536,27.4907,20.3515,21.834,24.5538,600,15.7958,99.4646,99.6688
10,1598314570,920.5999999,20200824 19:16:10,19:16:10,1598314562,0.005422451,31.36672631,785.7515,621.0745297,62.68488864,79.30569187,0.361149915,3.024397566,0.338787957,0.213636121,193.7344573,26.788852,25.95247333,3.364780627,49.8859505,1.790612623,3.589412661,1.574168003,-239.1301088,178.7433808,12.69102828,146.0387575,1,0,1,0,53294.49005,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-651-20200824-19_16_11,8243.47,271.2158,459.347,0.40956227,0.5,1009.18069,31.36672631,206.6611671,1,0.032072281,3.677683755,-,0,459.347,0.40956227,0.786218981,3.908557511,0.972296926,0,1,1199.997,1009.18069,0.840986011,0.191972022,2,0.5,0: Broadleaf,2,1598314562,785.7515,800.002,17.74118,15.61075,785.1794667,17.77618,500.0165,100.8297667,0.09996986,27.04871333,25.95247333,999.9,0,0,9997.5,0,2.09464,1199.997,0.966998333,0.033001533,0,271.2383667,4.99995,3277.413667,8402.122333,43.1912,45.38533333,44.4601,44.7934,45.2248,1155.556667,39.44033333,0,115.1999998,0,271.2158,-4.517846162,-56.35384626,3277.12,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-14.2533275,-0.129024765,0.040732088,1,271.1085429,0.435898239,0.385611377,1,2.1292225,0.02402364,0.002365953,1,3,3,03-Mar,100,100,0.572,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180221.3,202093.1,2,504.753,545.362,25.2227,28.8495,30.0001,28.7207,28.6683,34.738,22.6845,21.834,25.2438,800,15.612,99.4648,99.67
11,1598314691,1041.1,20200824 19:18:10,19:18:10,1598314683,0.005250908,32.15089748,985.0825161,808.005179,81.54765915,99.41913165,0.351355802,3.026116829,0.330163341,0.208149542,193.730199,26.80763083,25.98722903,3.371709352,50.43744999,1.807793687,3.584228955,1.563915666,-231.5650385,169.159288,12.00432621,143.3287748,1,0,1,0,53351.90075,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-652-20200824-19_18_11,8243.31,265.4404231,435.756,0.39085079,0.5,1009.158281,32.15089748,197.2151557,1,0.032850048,3.930924646,-,0,435.756,0.39085079,0.79719828,6.939715968,0.985874744,0,1,1199.970323,1009.158281,0.840986032,0.191972065,2,0.5,0: Broadleaf,2,1598314683,985.0825161,1000.011774,17.91230645,15.84958387,984.5104516,17.94730645,500.0044194,100.8247742,0.099899655,27.0241,25.98722903,999.9,0,0,10008.39032,0,2.09464,1199.970323,0.966997903,0.033001974,0,265.4270323,4.99995,3213.029677,8401.928387,43.24993548,45.5,44.51193548,44.92106452,45.308,1155.53,39.44032258,0,119.5999999,0,265.4404231,2.898837589,27.10769228,3213.223846,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-14.972035,1.222998124,0.131648138,0,264.7794286,10.09145988,1.272563404,0,2.0598025,0.109803377,0.011556806,0,0,3,0/3,100,100,0.572,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180223.3,202095.2,2,504.948,546.202,24.5659,28.8454,29.9994,28.7305,28.683,41.7535,20.9686,21.834,24.5538,1000,15.7374,99.4637,99.6655
12,1598314811,1161.6,20200824 19:20:11,19:20:11,1598314803,0.005209711,30.9960525,1185.119355,1005.731469,101.4987914,119.602683,0.345042444,3.026263661,0.324581868,0.204600787,193.7387634,26.81390569,25.9900871,3.372279676,50.06249318,1.793914257,3.583349816,1.578365419,-229.7482671,168.0196431,11.92279395,143.9329334,1,0,1,0,53357.09027,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-653-20200824-19_20_12,8243.34,258.9794615,421.38,0.385401629,0.5,1009.203271,30.9960525,194.4742924,1,0.03170427,4.099150411,-,0,421.38,0.385401629,0.803888899,15.97462924,0.994148862,0,1,1200.023871,1009.203271,0.840985997,0.191971993,2,0.5,0: Broadleaf,2,1598314803,1185.119355,1199.987097,17.77554194,15.72874516,1184.548387,17.81054194,500.011129,100.8204516,0.099917726,27.01992258,25.9900871,999.9,0,0,10009.70774,0,2.09464,1200.023871,0.966998935,0.033000916,0,259.0022581,4.99995,3139.313226,8402.311935,43.24593548,45.5,44.512,44.883,45.292,1155.583226,39.44064516,0,119.5999999,0,258.9794615,-5.716512811,-61.0803418,3139.044615,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-14.8311275,-0.804061914,0.091491912,0,259.3241471,-6.854166521,0.699385282,0,2.04717225,-0.00565227,0.000823124,1,1,3,03-Jan,100,100,0.57,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180225.3,202097.2,2,505.009,546.326,24.7053,28.8371,30,28.7354,28.6878,48.515,21.5321,21.834,24.7092,1200,15.79,99.4703,99.6705
13,1598314932,1282.1,20200824 19:22:11,19:22:11,1598314924,0.005120745,30.50535186,1484.746774,1297.540606,130.9485644,149.8415214,0.338659794,3.025481342,0.318921168,0.20100323,193.7302839,26.81627625,25.99174839,3.372611224,50.11416018,1.793659705,3.579147487,1.578951519,-225.8248683,164.4461977,11.67116479,144.0227781,1,0,1,0,53336.45724,-,0,411.2138462,2148.68,1737.466154,0.808620248,-1,MPF-654-20200824-19_22_12,8243.43,261.7827692,414.185,0.367956905,0.5,1009.158813,30.50535186,185.6634768,1,0.031219419,4.187730121,-,0,414.185,0.367956905,0.807237467,51.29395469,0.99828995,0,1,1199.970968,1009.158813,0.840986024,0.191972048,2,0.5,0: Broadleaf,2,1598314924,1484.746774,1499.989677,17.77298065,15.76114516,1484.174839,17.80798065,500.0144839,100.8206452,0.0999455,26.99994194,25.99174839,999.9,0,0,10004.95645,0,2.092993548,1199.970968,0.966997387,0.033002503,0,261.5882258,4.99995,3168.926129,8401.943871,43.24593548,45.5,44.542,44.883,45.29,1155.530968,39.44,0,120,0,261.7827692,19.49880339,233.3558974,3171.276154,15,0,--:--:--,1587501294,1586188981,0,0.262,-0.009,0.572,-0.035,400,23,0.22,0.01,-15.2031275,-0.623316698,0.080574273,0,260.9102121,19.7695259,1.899855158,0,2.01598225,-0.096337598,0.009489492,1,1,3,03-Jan,100,100,0.57,-0.035,0.572,0,0,0,-0.035,0,0,0,-1,-1,-1,-1,180227.3,202099.2,2,505.02,546.982,24.5904,28.8157,30,28.7281,28.683,58.2971,20.9782,21.834,24.5937,1500,15.7418,99.4735,99.6757
