,obs,A,Ca,Ci,gsw,Tleaf,Q,ID,Treatment,Rep,Year,Site
1,1,14.13616483,392.9368889,348.8499632,0.702143808,26.04686667,1199.998889,1,wet,2,2010,S02
2,2,16.14986282,392.101,342.801449,0.700044564,25.9944875,1200.00125,1,wet,2,2010,S02
3,3,12.84038343,293.8214444,254.3679146,0.685942743,26.06411111,1200.012222,1,wet,2,2010,S02
4,4,7.55882836,196.297375,172.3574233,0.679933263,26.0095875,1200,1,wet,2,2010,S02
5,5,2.039467068,98.7960875,91.23647687,0.67425953,26.0295625,1199.995,1,wet,2,2010,S02
6,6,-0.283655609,49.9019,49.49881911,0.667885829,26.0100375,1200.02,1,wet,2,2010,S02
7,7,17.15313862,391.764375,337.3862843,0.660000417,25.9779125,1200.0075,1,wet,2,2010,S02
8,8,17.11265978,391.806875,336.1108181,0.638780042,26.018425,1200.0125,1,wet,2,2010,S02
9,9,22.08637419,589.175,514.1066313,0.624585924,26.0124625,1200.02375,1,wet,2,2010,S02
10,10,24.67204749,787.624125,699.2054501,0.609523974,26.023275,1200.00625,1,wet,2,2010,S02
11,11,24.5375966,986.9742222,893.124209,0.598636571,26.00021111,1200.037778,1,wet,2,2010,S02
12,12,24.67846445,1186.445556,1085.859895,0.584391546,25.99094444,1200.018889,1,wet,2,2010,S02
13,13,23.99861027,1485.825556,1377.715518,0.564833951,26.01105556,1200.008889,1,wet,2,2010,S02
14,1,18.2942891,391.5652903,313.8085868,0.459572099,26.03013871,1199.995161,119,dry,2,2010,S11
15,2,20.64273774,390.6361613,303.9611732,0.457179842,26.02722581,1200.007097,119,dry,2,2010,S11
16,3,16.52939065,292.6420333,220.8910996,0.435200624,26.01481333,1200.001,119,dry,2,2010,S11
17,4,10.39228564,195.3733667,145.7473886,0.391460621,25.97402333,1199.986667,119,dry,2,2010,S11
18,5,4.604745262,97.92643226,73.8125686,0.35702804,25.98810968,1199.983226,119,dry,2,2010,S11
19,6,1.537900728,49.27748065,40.63105273,0.349603683,25.98609032,1199.989677,119,dry,2,2010,S11
20,7,21.07797252,390.7012667,275.490334,0.334843408,26.00421667,1199.995667,119,dry,2,2010,S11
21,8,21.2811044,390.6288667,274.8017109,0.336046812,25.98301,1199.998333,119,dry,2,2010,S11
22,9,28.37144015,587.4071935,425.8312275,0.323352615,25.99684839,1199.997419,119,dry,2,2010,S11
23,10,30.58329005,786.0587419,606.7248148,0.321294237,25.99828065,1199.996774,119,dry,2,2010,S11
24,11,29.00125865,986.3602667,805.1224731,0.311532708,26.00473667,1199.996667,119,dry,2,2010,S11
25,12,28.88216826,1186.186333,987.0072398,0.28638324,26.01487333,1199.982,119,dry,2,2010,S11
26,13,28.16495781,1486.113,1266.950005,0.260254971,26.03452667,1200,119,dry,2,2010,S11
27,1,17.27013318,391.1175667,346.8011447,0.903056123,26.09842333,1199.977,119,wet,2,2010,S11
28,2,19.07332123,390.3829,343.9246297,0.937808455,26.00806,1199.994333,119,wet,2,2010,S11
29,3,15.02474607,292.4888667,256.3757017,0.941370347,26.07907,1199.998667,119,wet,2,2010,S11
30,4,9.713093992,195.0967333,170.9183405,0.905097451,26.03907333,1200.012667,119,wet,2,2010,S11
31,5,4.31427043,97.79344,86.4444158,0.867849106,26.02233333,1200.019667,119,wet,2,2010,S11
32,6,1.230113838,49.26953548,45.46964139,0.855138548,26.01333871,1199.989355,119,wet,2,2010,S11
33,7,19.32962317,390.4732667,338.9439275,0.826612954,25.98854667,1199.996333,119,wet,2,2010,S11
34,8,19.29774309,390.4533667,338.5031234,0.816680529,25.99621333,1200.025333,119,wet,2,2010,S11
35,9,25.04162772,587.3351,516.4519897,0.794096344,26.02072333,1200.000667,119,wet,2,2010,S11
36,10,26.61207839,785.8368,706.5045665,0.793279943,25.99402667,1199.998667,119,wet,2,2010,S11
37,11,27.22707903,984.8065806,896.7748974,0.763640094,26.02035161,1200.000968,119,wet,2,2010,S11
38,12,27.44116632,1183.86871,1089.806002,0.757326034,26.00592258,1199.995806,119,wet,2,2010,S11
39,13,26.97925739,1482.810645,1381.25933,0.745741129,26.00722581,1200.004516,119,wet,2,2010,S11
40,1,16.83457742,392.0473333,332.0130275,0.569606039,25.93722222,1199.981111,120,dry,2,2010,S11
41,2,21.28033646,390.275625,317.5847196,0.578906936,26.039825,1199.9075,120,dry,2,2010,S11
42,3,16.20332777,292.5765556,237.3284341,0.578150845,25.98174444,1199.975556,120,dry,2,2010,S11
43,4,9.541440748,195.552,161.5010529,0.558244973,26.01815556,1199.996667,120,dry,2,2010,S11
44,5,3.00733246,98.4867625,86.71618866,0.548301968,25.990025,1199.99625,120,dry,2,2010,S11
45,6,0.10390757,49.8278375,48.30926267,0.552842468,25.9845,1200,120,dry,2,2010,S11
46,7,22.7453992,389.742875,308.8117751,0.545317367,26.009,1200.0325,120,dry,2,2010,S11
47,8,22.7626937,389.666,310.0661889,0.556730803,26.00735,1199.94625,120,dry,2,2010,S11
48,9,28.92640451,586.62025,483.3560611,0.557306085,26.0050125,1200.02,120,dry,2,2010,S11
49,10,26.27670325,787.127,686.7802908,0.554270931,26.01655,1200.01125,120,dry,2,2010,S11
50,11,26.18136279,986.606375,879.7606125,0.540481733,26.0266625,1200.03625,120,dry,2,2010,S11
51,12,26.2567223,1186.13625,1067.657991,0.498702395,26.0233875,1199.99125,120,dry,2,2010,S11
52,13,24.74544352,1486.39,1356.014347,0.446595386,26.0047375,1200.0325,120,dry,2,2010,S11
53,1,15.97470676,391.6587778,326.3793106,0.485535069,26.05475556,1199.994444,120,wet,2,2010,S11
54,2,18.95935526,390.8105,315.1433567,0.485473709,25.9784,1199.95375,120,wet,2,2010,S11
55,3,14.83605925,292.8406667,233.7358221,0.484571359,26.01993333,1200.013333,120,wet,2,2010,S11
56,4,9.133598909,195.543,158.9678577,0.487306277,26.00011111,1200.046667,120,wet,2,2010,S11
57,5,2.921552812,98.33925556,85.87954837,0.492039609,25.99514444,1199.997778,120,wet,2,2010,S11
58,6,0.520861216,49.5364,46.57654236,0.499692884,25.99567778,1199.99,120,wet,2,2010,S11
59,7,22.39869445,389.86025,304.8207187,0.504436014,26.008975,1199.98625,120,wet,2,2010,S11
60,8,23.23376179,389.556125,302.5316636,0.510148965,26.0062875,1199.9725,120,wet,2,2010,S11
61,9,30.25308842,586.1804444,472.0700562,0.515927902,25.99642222,1199.977778,120,wet,2,2010,S11
62,10,32.95777738,784.5922222,656.5223617,0.514172172,26.00426667,1199.958889,120,wet,2,2010,S11
63,11,32.86065027,983.993375,852.2349249,0.518148573,25.9905625,1200.055,120,wet,2,2010,S11
64,12,32.39995635,1183.6225,1047.448656,0.512385432,26.0075,1200.03,120,wet,2,2010,S11
65,13,31.89242171,1483.1075,1339.637157,0.502278105,25.9793125,1200.00375,120,wet,2,2010,S11
66,1,10.74815376,395.2739667,269.5664822,0.151561836,26.06706333,1200.002667,121,dry,2,2010,S11
67,2,12.32671761,394.7148667,230.8262483,0.129831719,26.00143,1200.011333,121,dry,2,2010,S11
68,3,9.8581828,295.8135333,148.019166,0.113490105,25.96178667,1200.015,121,dry,2,2010,S11
69,4,7.03484131,197.0096667,102.656594,0.127469269,25.96907667,1200.010667,121,dry,2,2010,S11
70,5,3.805646791,98.37032903,52.24487021,0.141501605,25.93908065,1199.968387,121,dry,2,2010,S11
71,6,1.950988599,49.15567667,26.30544602,0.146672181,25.97500667,1199.996333,121,dry,2,2010,S11
72,7,16.85804226,392.8059,217.161077,0.165808892,25.99689333,1200.019,121,dry,2,2010,S11
73,8,17.80994999,392.3702333,227.8509864,0.18843373,25.95884,1199.996333,121,dry,2,2010,S11
74,9,23.50473676,589.7887333,386.3067484,0.204615074,25.96052,1200.001333,121,dry,2,2010,S11
75,10,22.42592769,789.8427,604.0562202,0.223680384,25.99769333,1200.007667,121,dry,2,2010,S11
76,11,23.28083612,989.0864667,802.510844,0.239452887,26.02099667,1200.004667,121,dry,2,2010,S11
77,12,25.01518072,1188.418333,951.0142589,0.199277432,26.00277,1199.993333,121,dry,2,2010,S11
78,13,25.24809026,1488.165,1208.860568,0.172169502,25.99238333,1200.001333,121,dry,2,2010,S11
79,1,15.68896594,391.8887419,349.3121605,0.854079917,26.08979355,1199.984194,121,wet,2,2010,S11
80,2,20.49618115,389.9839355,336.1652902,0.828792629,26.11527097,1200.003548,121,wet,2,2010,S11
81,3,16.68069926,292.0207667,247.9982124,0.807124685,26.04362,1200.001333,121,wet,2,2010,S11
82,4,10.49893702,194.9423871,166.2904711,0.7812724,25.99588387,1200.020968,121,wet,2,2010,S11
83,5,4.034635634,97.96372258,86.2305325,0.766916473,26.01062903,1200.01129,121,wet,2,2010,S11
84,6,0.402744935,49.61888065,47.45377216,0.760387143,25.99596774,1200.009355,121,wet,2,2010,S11
85,7,22.20819218,389.4855333,327.0304617,0.743492122,25.99884667,1199.989333,121,wet,2,2010,S11
86,8,22.2456845,389.4566333,326.8565201,0.742644732,25.99989,1200.001333,121,wet,2,2010,S11
87,9,27.79108871,586.4042258,505.6608437,0.742142356,26.00669355,1199.963871,121,wet,2,2010,S11
88,10,29.30727085,784.9988333,695.2570129,0.736852634,26.02207333,1200.020333,121,wet,2,2010,S11
89,11,28.83714605,984.3859,890.0541458,0.728309738,26.01360667,1200.012,121,wet,2,2010,S11
90,12,28.70587875,1183.753871,1082.833554,0.705757373,26.01340323,1200.016452,121,wet,2,2010,S11
91,13,28.4850352,1482.815667,1372.329358,0.680289147,26.00706667,1200.016,121,wet,2,2010,S11
92,1,7.71934642,396.62725,260.0008407,0.098425025,25.9990375,1200.03375,122,dry,2,2010,S11
93,2,8.632742116,396.2873333,221.0388063,0.084014989,25.98083333,1200.027778,122,dry,2,2010,S11
94,3,6.7201254,297.12,166.3367207,0.087683913,25.9457625,1200,122,dry,2,2010,S11
95,4,3.996495426,198.237375,130.5598573,0.103011936,25.9897875,1199.98,122,dry,2,2010,S11
96,5,1.491148775,99.3521125,75.84599576,0.115163042,25.9452375,1200.00875,122,dry,2,2010,S11
97,6,0.175772619,49.83736667,46.31984205,0.131276421,25.97391111,1200.008889,122,dry,2,2010,S11
98,7,14.14983496,393.965375,231.9882245,0.151063163,25.9705375,1200.015,122,dry,2,2010,S11
99,8,14.76271304,393.654375,236.6122929,0.163176169,25.951975,1199.96375,122,dry,2,2010,S11
100,9,22.35048234,590.3708889,374.1477185,0.180980951,25.97885556,1199.97,122,dry,2,2010,S11
101,10,24.59092916,789.136625,564.6871743,0.196647964,25.9944125,1200.05375,122,dry,2,2010,S11
102,11,24.39798637,989.162,717.4685232,0.161191973,26.05135,1199.98875,122,dry,2,2010,S11
103,12,24.02215225,1189.28875,869.1293916,0.134551315,25.9918125,1200.00875,122,dry,2,2010,S11
104,13,21.56448441,1490.075,1177.636015,0.127724968,25.98235,1200.01,122,dry,2,2010,S11
105,1,16.85831365,391.567,346.0931496,0.82351321,26.05485556,1200.024444,122,wet,2,2010,S11
106,2,18.00583441,391.14725,343.5101265,0.829227333,25.9916,1199.97375,122,wet,2,2010,S11
107,3,13.689874,293.308875,257.1244457,0.83001851,26.0191,1199.97875,122,wet,2,2010,S11
108,4,7.617775734,196.1275556,175.1874148,0.826578616,26.00285556,1200.005556,122,wet,2,2010,S11
109,5,1.62280365,98.94863333,93.18177885,0.8254179,25.99825556,1200.005556,122,wet,2,2010,S11
110,6,-1.202539227,50.25775556,51.71305255,0.82534298,26.00752222,1200.017778,122,wet,2,2010,S11
111,7,19.00355585,390.729625,340.5255107,0.822856422,26.0125,1199.98,122,wet,2,2010,S11
112,8,19.44941193,390.622875,339.4285725,0.822617441,26.0154,1199.98125,122,wet,2,2010,S11
113,9,24.32290867,587.7278889,520.720803,0.811331068,26.01974444,1199.983333,122,wet,2,2010,S11
114,10,26.25322829,786.2408889,710.1248826,0.805983606,26.00963333,1200.012222,122,wet,2,2010,S11
115,11,25.50166401,985.751875,905.8649151,0.793282379,26.0122625,1199.97875,122,wet,2,2010,S11
116,12,25.29955717,1185.11875,1100.599875,0.785292509,26.009125,1199.975,122,wet,2,2010,S11
117,13,23.44879208,1484.63625,1396.566392,0.774952395,26.0024125,1200.04,122,wet,2,2010,S11
118,1,9.873454472,394.898625,350.6861591,0.487915541,26.0855,1199.97,123,dry,2,2010,S11
119,2,15.99327827,392.5065,327.1232989,0.489601518,26.0825,1200.015,123,dry,2,2010,S11
120,3,12.79400364,293.99825,242.2203826,0.489628683,26.00255,1200.00625,123,dry,2,2010,S11
121,4,7.494549999,196.43525,164.7540898,0.475713171,25.9949625,1200.02375,123,dry,2,2010,S11
122,5,2.133372647,98.8474625,88.79196618,0.478523431,25.99955,1200.02625,123,dry,2,2010,S11
123,6,-0.063088457,49.88833333,48.86070717,0.480012999,25.99312222,1199.98,123,dry,2,2010,S11
