Rep,Plant_Number,Growth_time,Placement,Stom_number_1,Stom_number_2,Stom_number_3,Trich_number_1,Trich_number_2,Trich_number_3,Stomata,Trichome
1,97,af,be,177,207,183,27,23,21,189,23.66666667
1,98,af,ab,28,40,54,24,21,19,40.66666667,21.33333333
1,98,af,be,136,201,209,34,31,27,182,30.66666667
1,99,af,ab,39,53,69,10,10,11,53.66666667,10.33333333
1,99,af,be,104,134,161,16,14,14,133,14.66666667
1,100,af,ab,86,96,116,11,14,18,99.33333333,14.33333333
1,100,af,be,143,137,161,20,21,22,147,21
1,103,af,ab,42,45,55,21,20,22,47.33333333,21
1,103,af,be,194,105,129,20,22,21,142.6666667,21
1,104,af,ab,117,107,104,17,11,11,109.3333333,13
1,104,af,be,138,145,155,25,22,20,146,22.33333333
1,105,af,ab,45,40,40,23,28,31,41.66666667,27.33333333
1,105,af,be,123,125,130,34,31,33,126,32.66666667
1,108,af,ab,53,64,52,13,19,14,56.33333333,15.33333333
1,108,af,be,156,156,155,19,20,24,155.6666667,21
1,110,af,ab,60,78,77,12,13,18,71.66666667,14.33333333
1,110,af,be,146,135,163,18,15,17,148,16.66666667
1,114,af,ab,84,73,70,14,12,17,75.66666667,14.33333333
1,114,af,be,160,153,170,23,24,21,161,22.66666667
1,117,af,ab,53,66,62,21,12,12,60.33333333,15
1,117,af,be,109,108,120,11,16,15,112.3333333,14
1,120,af,ab,105,96,109,12,12,11,103.3333333,11.66666667
1,120,af,be,184,166,182,17,22,16,177.3333333,18.33333333
1,122,af,ab,59,48,32,12,12,16,46.33333333,13.33333333
1,122,af,be,147,130,145,15,18,12,140.6666667,15
1,123,af,ab,57,62,61,13,18,16,60,15.66666667
1,123,af,be,77,105,122,21,26,27,101.3333333,24.66666667
1,125,af,ab,54,73,83,22,19,17,70,19.33333333
1,125,af,be,121,130,161,24,25,24,137.3333333,24.33333333
1,126,af,ab,86,102,86,13,14,14,91.33333333,13.66666667
1,126,af,be,96,143,167,23,17,18,135.3333333,19.33333333
1,127,af,ab,50,55,70,20,14,16,58.33333333,16.66666667
1,127,af,be,99,148,142,23,26,23,129.6666667,24
1,128,af,ab,44,41,35,16,12,21,40,16.33333333
1,128,af,be,124,100,125,32,33,20,116.3333333,28.33333333
1,129,af,ab,119,129,113,15,15,13,120.3333333,14.33333333
1,129,af,be,176,187,188,23,20,21,183.6666667,21.33333333
1,130,af,ab,40,50,52,14,11,10,47.33333333,11.66666667
1,130,af,be,68,52,66,15,15,12,62,14
1,131,af,ab,88,65,70,17,14,19,74.33333333,16.66666667
1,131,af,be,164,,,24,,,164,24
1,132,af,ab,32,51,54,13,11,11,45.66666667,11.66666667
1,132,af,be,94,95,75,8,12,14,88,11.33333333
1,134,af,ab,71,81,99,16,16,18,83.66666667,16.66666667
1,134,af,be,117,107,121,32,34,22,115,29.33333333
1,135,af,ab,76,69,51,12,10,9,65.33333333,10.33333333
1,135,af,be,112,115,116,15,21,16,114.3333333,17.33333333
1,136,af,ab,86,105,124,14,16,10,105,13.33333333
1,136,af,be,216,193,238,28,23,20,215.6666667,23.66666667
1,137,af,ab,99,95,89,16,17,16,94.33333333,16.33333333
1,137,af,be,133,167,176,20,18,20,158.6666667,19.33333333
1,138,af,ab,82,55,54,20,14,14,63.66666667,16
1,138,af,be,90,138,159,23,25,25,129,24.33333333
1,139,af,ab,77,82,73,9,12,16,77.33333333,12.33333333
1,139,af,be,181,178,147,17,20,15,168.6666667,17.33333333
1,140,af,ab,97,130,131,19,22,22,119.3333333,21
1,140,af,be,312,270,296,33,35,36,292.6666667,34.66666667
1,141,af,ab,56,51,73,8,7,10,60,8.333333333
1,141,af,be,85,102,101,15,17,18,96,16.66666667
1,143,af,ab,63,77,,20,32,,70,26
1,143,af,be,90,,128,35,,31,109,33
1,144,af,ab,73,60,64,13,12,10,65.66666667,11.66666667
1,144,af,be,119,122,113,18,19,20,118,19
1,146,af,ab,58,67,59,15,16,12,61.33333333,14.33333333
1,146,af,be,115,160,118,21,14,16,131,17
