,obs,A,Ca,Ci,gsw,Tleaf,Q,ID,Treatment,Rep,Year,Site
53,1,16.53927388,392.0266,341.6515879,0.70547581,26.25382667,1199.989,120,dry,3,2010,S11
54,2,18.83673192,390.9019032,336.5314958,0.733487219,25.66672258,1200.020968,120,dry,3,2010,S11
55,3,15.15438312,292.848,245.3592957,0.655271483,26.10103226,1200.013226,120,dry,3,2010,S11
56,4,9.276796712,195.5702258,166.7018302,0.671847551,25.92994839,1199.981935,120,dry,3,2010,S11
57,5,2.1038515,98.81071333,90.49950414,0.62184018,25.99747,1200.012,120,dry,3,2010,S11
58,6,-1.795903121,50.52404,54.43209719,0.601861479,26.03930333,1199.983667,120,dry,3,2010,S11
59,7,21.0712756,390.222871,320.4704558,0.607100563,25.9552,1199.999355,120,dry,3,2010,S11
60,8,21.18931118,390.1877742,319.0642821,0.596146511,26.00498065,1200.00871,120,dry,3,2010,S11
61,9,25.69772568,587.7384516,497.4570052,0.586357286,25.97046129,1199.999355,120,dry,3,2010,S11
62,10,26.2711751,786.9079355,687.876261,0.569666156,25.99840645,1200.004516,120,dry,3,2010,S11
63,11,25.45362473,986.6853548,881.5210894,0.543097803,26.01089677,1199.992903,120,dry,3,2010,S11
64,12,24.34182482,1186.554194,1077.650368,0.526980926,25.98630968,1199.994839,120,dry,3,2010,S11
65,13,23.29340784,1486.219032,1370.566492,0.509490712,25.98722258,1199.99,120,dry,3,2010,S11
66,1,12.29216139,394.0937097,334.228044,0.413848022,25.90067097,1200.018065,120,wet,3,2010,S11
67,2,15.89817502,392.6875333,314.4361137,0.390867572,26.01759667,1199.996667,120,wet,3,2010,S11
68,3,12.54821233,294.2804839,233.4566199,0.394554367,25.98042903,1199.994516,120,wet,3,2010,S11
69,4,7.332725435,196.5816774,160.6833201,0.398670353,25.98786129,1199.993226,120,wet,3,2010,S11
70,5,1.008745744,99.34595161,92.55286529,0.398829617,26.00270968,1200.014194,120,wet,3,2010,S11
71,6,-2.121416917,50.72085,58.29029759,0.401842372,25.95757,1200.012333,120,wet,3,2010,S11
72,7,18.53236565,391.6129677,303.4008167,0.39810336,26.00962903,1199.981935,120,wet,3,2010,S11
73,8,19.25435167,391.3300968,301.9396633,0.407517074,25.98763226,1200.012258,120,wet,3,2010,S11
74,9,23.33166661,589.2253871,476.5055165,0.401416203,25.99934194,1200.013226,120,wet,3,2010,S11
75,10,25.07338858,788.0578387,662.4911587,0.39947295,25.98717097,1199.990645,120,wet,3,2010,S11
76,11,24.82891968,987.6916333,855.9096871,0.39173327,25.989,1200.01,120,wet,3,2010,S11
77,12,24.09621351,1187.607742,1049.396274,0.374929691,26.00387419,1200.004516,120,wet,3,2010,S11
78,13,22.60980559,1487.702667,1341.458454,0.350140599,25.9912,1199.998333,120,wet,3,2010,S11
79,1,12.6075911,394.279,302.3022107,0.255806077,26.09622333,1199.999333,121,dry,3,2010,S11
80,2,16.11256146,392.8858333,271.8608614,0.240054255,26.11846667,1200.009667,121,dry,3,2010,S11
81,3,12.9989645,294.2935484,201.3313915,0.251557135,26.00963871,1200.025806,121,dry,3,2010,S11
82,4,8.277041137,196.3313226,138.69502,0.26045697,25.97093871,1199.984516,121,dry,3,2010,S11
83,5,2.90537415,98.63399355,78.69659998,0.278142675,25.98800645,1200.004194,121,dry,3,2010,S11
84,6,-0.152194656,49.94932903,49.42386906,0.293340104,25.97053548,1200.001935,121,dry,3,2010,S11
85,7,21.37353603,390.6387333,268.2480769,0.317297165,25.98472,1200.013667,121,dry,3,2010,S11
