,Vcmax,Jmax,Rd,Ci.transition,Treatment,Year,Site,Rep,ID,PrePeak,Region
24,44.71381215,75.87614225,-5.743873251,337.1925448,wet,2016,S16,1,216,peak,North
26,77.36975021,158.9027074,5.509130538,455.6979694,wet,2010,S16,1,187,pre,North
50,61.92853891,101.3237401,-14.58793682,305.0488904,wet,2010,S16,1,184,pre,North
51,28.15148081,49.12314103,-1.760905867,366.5167341,wet,2010,S16,1,189,pre,North
53,68.43918839,137.1002009,-3.383470372,435.1535349,dry,2010,S16,1,185,pre,North
57,82.96288453,155.2728304,-4.952706683,376.4896709,dry,2010,S16,1,189,pre,North
59,53.76742118,111.1825397,-3.494817173,481.7766848,dry,2010,S16,1,187,pre,North
62,54.85704319,113.6702813,-2.956161598,492.9818898,dry,2016,S16,1,211,peak,North
63,54.62643586,109.0207497,-4.273581715,440.8590354,dry,2016,S16,1,213,peak,North
87,58.01910555,124.4612427,-4.411292063,525.7309944,dry,2010,S16,1,186,pre,North
91,78.00332947,133.408021,1.921556889,317.8654061,dry,2016,S16,1,219,peak,North
92,48.49067595,100.5766892,1.817155342,501.9547761,dry,2016,S16,1,218,peak,North
102,39.51843405,72.02249566,-8.275406772,393.0120212,dry,2010,S16,1,183,pre,North
103,52.39316549,106.7376585,-3.605073545,479.1203794,dry,2010,S16,1,184,pre,North
4,55.75808742,99.83958322,-5.163814851,367.6700722,wet,2011,S36,1,343,pre,North
5,59.53075218,121.1031911,-4.894338687,452.3575054,wet,2011,S36,1,344,pre,North
6,53.05781948,121.800036,-3.965051566,615.5029841,wet,2015,S36,1,375,peak,North
10,56.05371279,107.3788366,1.907565539,419.3685374,wet,2011,S36,1,345,pre,North
23,69.69606556,140.3388826,-4.850414407,448.3843401,wet,2011,S36,1,346,pre,North
25,66.77181391,127.198729,4.969199244,404.9055033,wet,2015,S36,1,373,peak,North
37,21.60371581,28.63693933,-2.415675662,212.6004218,wet,2011,S36,1,348,pre,North
45,49.33365368,91.19134072,-11.49842486,396.8598218,wet,2011,S36,1,342,pre,North
48,31.33693502,47.47767064,-1.994039131,274.7379078,wet,2015,S36,1,376,peak,North
54,64.92103122,123.2863851,-3.52818397,404.275687,dry,2015,S36,1,376,peak,North
55,64.2221527,121.2094913,-4.249455116,392.5492117,dry,2011,S36,1,349,pre,North
58,62.01287209,130.2614928,-3.463230453,497.2125857,dry,2011,S36,1,346,pre,North
60,89.41296692,173.8834908,1.8163932,397.0378359,dry,2015,S36,1,371,peak,North
64,53.249238,108.4042276,1.824260096,477.6899856,dry,2011,S36,1,343,pre,North
74,67.0666978,124.2435067,1.42928266,379.6850587,dry,2015,S36,1,373,peak,North
76,63.5947378,125.6423334,5.013921108,438.2444773,dry,2015,S36,1,374,peak,North
82,70.5671807,136.7023686,-4.311651474,406.4673056,dry,2011,S36,1,342,pre,North
88,98.38869399,192.4562285,2.253899605,385.7396969,dry,2015,S36,1,372,peak,North
90,68.10594141,122.124507,2.389475748,358.9279571,dry,2011,S36,1,344,pre,North
105,46.85879992,91.95890919,-7.093548079,434.5999021,dry,2015,S36,1,375,peak,North
110,65.12044298,95.77870128,1.979000428,245.9990433,dry,2011,S36,1,348,pre,North
