"","Average_prop","Average_thick","be_s","be_t","ab_s","ab_t"
"Average_prop",1,0.0923124513291138,-0.0534949948032539,0.0472783903097888,0.0409328132978607,0.0281386140942891
"Average_thick",0.0923124513291138,1,-0.149780450833401,0.155148260735296,0.0793553452546706,0.0404282855118452
"be_s",-0.0534949948032539,-0.149780450833401,1,0.324653167868727,0.2075330819388,0.140301275830901
"be_t",0.0472783903097888,0.155148260735296,0.324653167868727,1,0.288309358414799,0.507425501535122
"ab_s",0.0409328132978607,0.0793553452546706,0.2075330819388,0.288309358414799,1,0.204305888590107
"ab_t",0.0281386140942891,0.0404282855118452,0.140301275830901,0.507425501535122,0.204305888590107,1
