Treatment,Rep,Timeline,Fs,Fm',PhiPS2,ETR,PhiCO2,NPQ,A,Year,PrePeak,Site,Fv.Fm.,Region
wet,2,3,209.1,268.7,0.22,111.92,0.02,3.71,21.38,2010,Pre,S02,0.221808709,South
wet,3,35,287.3,367,0.22,109.68,0.02,,21.45,2014,Peak,S02,0.217166213,South
wet,3,29,244.9,310.8,0.21,106.9,0.02,,21.83,2014,Peak,S02,0.212033462,South
wet,2,37,243.8,308.4,0.21,105.67,0.02,7.08,19.72,2014,Peak,S02,0.209468223,South
wet,3,35,222.1,280.9,0.21,105.73,0.01,,13.69,2014,Peak,S02,0.209327163,South
wet,1,35,251.13,317.578,0.2092,105.6,0.0138,3.221,13.4,2014,Peak,S02,0.209233637,South
wet,1,5,256.716,324.082,0.2079,104.9,0.0146,2.156,14.7,2010,Pre,S02,0.207867145,South
wet,2,32,253.7,318.4,0.2,102.62,0.02,2.85,21.79,2014,Peak,S02,0.203203518,South
wet,1,36,285.26,355.212,0.1969,99.4,0.0269,-1,26.7,2014,Peak,S02,0.196930284,South
wet,3,28,301.8,375.3,0.2,98.74,0.02,,22.55,2014,Peak,S02,0.195843325,South
wet,2,35,318.3,395.6,0.2,98.59,0.02,2.1,23.58,2014,Peak,S02,0.195399393,South
wet,2,28,278.6,341.6,0.18,93.01,0.02,6.29,19.07,2014,Peak,S02,0.18442623,South
wet,1,37,263.242,320.484,0.1786,90.1,0.0207,-1,19.8,2014,Peak,S02,0.178611101,South
wet,1,1,305.697,368.728,0.1709,86.3,0.0297,0.43,30.2,2010,Pre,S02,0.170941724,South
wet,1,6,319.34,379.102,0.1576,79.5,0.025,-1,24.2,2010,Pre,S02,0.157640952,South
wet,1,7,430.683,506.104,0.149,75.2,0.0289,-1,27.6,2010,Pre,S02,0.149022731,South
wet,1,31,287.663,331.075,0.1311,66.2,0.0256,0.593,25.3,2014,Peak,S02,0.131124368,South
wet,1,34,375.82,426.742,0.1193,60.2,0.0229,-1,21.1,2014,Peak,S02,0.119327369,South
wet,3,37,285.4,319.3,0.11,53.61,0.01,,6.02,2014,Peak,S02,0.106169746,South
wet,2,4,274,303.2,0.25,123.97,0.03,2.37,27.67,2010,Pre,S02,0.096306069,South
dry,2,39B,282.6,492.1,0.43,214.83,0.04,,41.35,2010,Pre,S07,0.425726478,South
dry,1,39B,247.044,378.399,0.345,175.3,0.0411,-1,39.9,2010,Pre,S07,0.347133581,South
dry,1,51,208.129,309.634,0.3278,105.4,0.0257,2.293,25.5,2014,Peak,S07,0.327822526,South
dry,3,38B,295.1,435.8,0.32,162.91,0.03,,28.51,2010,Pre,S07,0.32285452,South
dry,3,38A,290,427.6,0.32,162.31,0.03,,31.14,2010,Pre,S07,0.321796071,South
dry,3,39A,252.7,366.3,0.31,156.54,0.03,,25.96,2010,Pre,S07,0.31012831,South
dry,3,52,262.6,379.2,0.31,155.18,0.03,,26.02,2014,Peak,S07,0.307489451,South
dry,3,40,303,435.7,0.3,153.62,0.03,,30.2,2010,Pre,S07,0.304567363,South
dry,3,39B,271.4,389.1,0.3,152.6,0.03,,28.53,2010,Pre,S07,0.302492932,South
dry,1,49,239.284,341.64,0.2996,151.2,0.0319,-1,31.8,2014,Peak,S07,0.29960192,South
dry,3,49,291.9,415.7,0.3,150.26,0.03,,27.23,2014,Peak,S07,0.297810921,South
dry,2,52,274.5,389.4,0.3,148.96,0.03,5.4,28.7,2014,Peak,S07,0.295069337,South
dry,3,51,267.9,378.7,0.29,147.59,0.03,,26.79,2014,Peak,S07,0.292579879,South
dry,2,38A,287.3,405.5,0.29,147.12,0.03,2.13,32.38,2010,Pre,S07,0.291491985,South
dry,1,40,226.323,314.531,0.2804,141.5,0.0208,2.221,20.6,2010,Pre,S07,0.280442945,South
dry,2,39A,297.1,410.4,0.28,139.32,0.03,5.07,27.25,2010,Pre,S07,0.276072125,South
dry,1,41,196.555,269.353,0.2703,136.4,0.0345,0.957,35.2,2010,Pre,S07,0.270269869,South
dry,3,41,276.6,376.1,0.26,133.54,0.02,,22.97,2010,Pre,S07,0.264557299,South
dry,1,38B,222.871,300.398,0.2581,130.2,0.0352,0.755,36,2010,Pre,S07,0.258080946,South
dry,1,38A,208.66,280.0118,0.2551,128.7,0.0194,2.64,19.3,2010,Pre,S07,0.254817118,South
dry,2,38B,297.6,399.2,0.25,128.52,0.03,2.31,27.83,2010,Pre,S07,0.254509018,South
dry,3,57,252.3,337.9,0.25,127.77,0.02,,21.53,2014,Peak,S07,0.253329387,South
dry,1,57,211.787,282.014,0.249,125.7,0.0369,0.87,37.5,2014,Peak,S07,0.249019552,South
dry,2,49,295.8,391.7,0.24,123.54,0.03,2.24,27.25,2014,Peak,S07,0.244830227,South
dry,2,51,279.8,369.7,0.24,122.78,0.03,2.57,28.6,2014,Peak,S07,0.243170138,South
dry,2,40,316.1,417.5,0.24,122.57,0.03,2.04,28.27,2010,Pre,S07,0.242874251,South
dry,2,54,285.1,375.8,0.24,121.83,0.02,5.63,22.94,2014,Peak,S07,0.241351783,South
dry,2,57,297.3,388.4,0.23,118.36,0.03,2.4,26.13,2014,Peak,S07,0.234552008,South
dry,2,41,297.9,388.1,0.23,117.21,0.02,2.1,22.77,2010,Pre,S07,0.232414326,South
dry,3,55,293.1,376.2,0.22,111.37,0.02,,23.86,2014,Peak,S07,0.220893142,South
dry,3,54,282.5,357.7,0.21,106.11,0.02,,19.3,2014,Peak,S07,0.210232038,South
