Treatment,Rep,Timeline,Fs,Fm',PhiPS2,ETR,PhiCO2,NPQ,A,Year,PrePeak,Site,Fv.Fm.,Region
dry,3,155,259,322.5,0.2,99.36,0.02,,20.16,2010,Pre,S15,0.196899225,North
dry,2,152,263.4,326,0.19,96.92,0.02,6.64,19.79,2010,Pre,S15,0.19202454,North
dry,2,148,265.6,327.6,0.19,95.43,0.02,2.68,20.11,2010,Pre,S15,0.189255189,North
dry,1,155,209.718,256.362,0.1819,91.8,0.0116,2.977,11.8,2010,Pre,S15,0.181945842,North
dry,2,149,287.2,350.4,0.18,91.07,0.02,6.11,18.79,2010,Pre,S15,0.180365297,North
dry,2,166,321.8,388,0.17,86.2,0.02,2.4,22.69,2015,Peak,S15,0.170618557,North
dry,2,167,198,237.2,0.17,83.39,0.01,9.5,13.19,2015,Peak,S15,0.165261383,North
dry,1,164,190.344,221.911,0.1424,119.7,0.0063,-1,0.93,2015,Peak,S15,0.142250722,North
dry,3,169,283.2,299.1,0.29,146.56,0.03,,30.61,2015,Peak,S15,0.053159478,North
wet,3,149,259.4,421.1,0.38,193.77,0.03,,32.51,2010,Pre,S15,0.383994301,North
wet,3,169,263.3,419.7,0.37,188,0.03,,33.1,2015,Peak,S15,0.372647129,North
wet,3,170,278.9,426,0.35,174.27,0.03,,32.82,2015,Peak,S15,0.345305164,North
wet,3,154,277.1,415.1,0.33,167.74,0.03,,28.86,2010,Pre,S15,0.332450012,North
wet,3,172,242.1,360.7,0.33,165.97,0.03,,28.36,2015,Peak,S15,0.328805101,North
wet,3,148,265.6,395.2,0.33,165.42,0.03,,29,2010,Pre,S15,0.327935223,North
wet,2,166,255.4,378.8,0.25,124.21,0.03,6.35,25.48,2015,Peak,S15,0.325765576,North
wet,2,172,242.9,359.5,0.32,163.7,0.03,5.93,30.45,2015,Peak,S15,0.32433936,North
wet,3,152,243.7,358,0.32,161.11,0.03,,27.86,2010,Pre,S15,0.319273743,North
wet,2,170,273.8,401.5,0.32,160.45,0.04,2.29,35.43,2015,Peak,S15,0.318057285,North
wet,1,148,255.912,374.352,0.3164,159.7,0.0344,-1,33.7,2010,Pre,S15,0.316386716,North
wet,3,164,250.3,364.3,0.31,157.87,0.03,,26.62,2015,Peak,S15,0.312928905,North
wet,2,155,216.9,313.6,0.31,155.54,0.03,6.94,24.93,2010,Pre,S15,0.308354592,North
wet,1,164,241.294,343.75,0.2981,150.4,0.0231,-1,23.1,2015,Peak,S15,0.298053818,North
wet,1,172,248.607,351.739,0.2932,147.9,0.0377,-1,37.2,2015,Peak,S15,0.293206042,North
wet,2,152,245.7,345,0.29,145.26,0.03,6.22,28.18,2010,Pre,S15,0.287826087,North
wet,3,166,276.6,383.8,0.28,140.96,0.03,,28.76,2015,Peak,S15,0.279312142,North
wet,2,153,274.6,379.6,0.28,139.6,0.03,2.34,27.71,2010,Pre,S15,0.276606955,North
wet,3,155,238,328.2,0.27,138.75,0.02,,21.75,2010,Pre,S15,0.274832419,North
wet,1,167,282.095,382.413,0.2623,132.21,0.0382,0.379,38.4,2015,Peak,S15,0.262328948,North
wet,1,153,244.652,331.245,0.2614,131.9,0.034,-1,33.4,2010,Pre,S15,0.261416776,North
wet,2,149,266.1,360.1,0.26,131.71,0.03,2.67,27.09,2010,Pre,S15,0.2610386,North
wet,2,167,273.9,369.8,0.26,130.84,0.03,2.43,28.89,2015,Peak,S15,0.259329367,North
wet,2,164,202.6,273.3,0.26,130.49,0.02,8.11,23.49,2015,Peak,S15,0.258690084,North
wet,2,169,269.4,362.2,0.26,129.27,0.03,5.88,25.36,2015,Peak,S15,0.256212038,North
wet,3,153,268.3,360.3,0.26,128.91,0.02,,23.19,2010,Pre,S15,0.25534277,North
wet,1,170,252.382,334.155,0.2447,123.5,0.0339,-1,32.5,2015,Peak,S15,0.244715776,North
wet,1,152,269.361,350.155,0.2307,116.5,0.5588,-1,20,2010,Pre,S15,0.230737816,North
wet,3,167,280.6,363.5,0.23,115.01,0.02,,20.38,2015,Peak,S15,0.228060523,North
wet,1,149,192.132,247.597,0.224,113,0.0304,1.129,29.7,2010,Pre,S15,0.224013215,North
wet,2,148,284.9,366.5,0.22,112.39,0.02,2.46,23.4,2010,Pre,S15,0.222646658,North
wet,1,166,256.414,312.304,0.179,90.3,0.0116,-1,11.2,2015,Peak,S15,0.178960244,North
wet,1,155,274.56,323.034,0.1501,75.7,0.0285,0.632,28.7,2010,Pre,S15,0.150058508,North
wet,1,169,257.717,302.56,0.1482,74.8,0.0235,-1,22.9,2015,Peak,S15,0.148211925,North
wet,2,154,298.6,347.5,0.14,71.04,0.02,6.17,16.07,2010,Pre,S15,0.140719424,North
wet,1,154,186.956,197.52,0.0535,27,0.0045,-1,4.33,2010,Pre,S15,0.053483192,North
dry,3,187,310,500.6,0.38,192.11,0.03,,32.62,2010,Pre,S16,0.380743108,North
dry,3,216,260.4,402,0.35,177.7,0.03,,29.56,2016,Peak,S16,0.352238806,North
dry,1,187,236.539,344.132,0.3127,157.8,0.0229,1.944,23.3,2010,Pre,S16,0.312650378,North
dry,2,212,330.4,476.7,0.31,154.91,0.03,,29.41,2016,Peak,S16,0.306901615,North
dry,3,189,272.3,389.4,0.3,151.74,0.03,,28.32,2010,Pre,S16,0.300719055,North
dry,3,184,270.8,384.6,0.3,149.36,0.03,,25.04,2010,Pre,S16,0.295891836,North
dry,3,183,248.3,347.3,0.28,143.77,0.03,,25.83,2010,Pre,S16,0.285056147,North
dry,3,213,257.9,360.1,0.28,143.29,0.03,,25.18,2016,Peak,S16,0.283810053,North
dry,3,186,292.1,400.4,0.27,136.54,0.03,,24.98,2010,Pre,S16,0.27047952,North
dry,3,211,247.4,337.4,0.27,134.55,0.03,,28.13,2016,Peak,S16,0.266745702,North
dry,3,190,261.1,356,0.27,134.56,0.02,,25.17,2010,Pre,S16,0.266573034,North
dry,3,185,264.8,360.3,0.27,133.76,0.03,,28.06,2010,Pre,S16,0.265056897,North
dry,3,212,268.5,365.3,0.27,133.71,0.03,,27.57,2016,Peak,S16,0.264987681,North
dry,1,184,208.044,282.622,0.2639,133.2,0.0262,-1,26.4,2010,Pre,S16,0.263878962,North
dry,3,219,272,369.5,0.26,133.21,0.02,,23.43,2016,Peak,S16,0.263870095,North
dry,1,217,222.917,298.348,0.2541,128.2,0.021,2.412,21.6,2016,Peak,S16,0.252828911,North
dry,1,219,156.263,206.802,0.2444,123.3,0.0133,3.899,12.9,2016,Peak,S16,0.244383517,North
dry,2,189,273.1,356.1,0.23,117.61,0.02,5.99,23.86,2010,Pre,S16,0.233080595,North
dry,1,185,213.0479,277.68,0.2312,116.7,0.01,-1,8.95,2010,Pre,S16,0.232757491,North
dry,1,216,233.214,301.285,0.2259,114,0.0299,-1,28.8,2016,Peak,S16,0.225935576,North
dry,1,190,207.178,267.073,0.2243,113.2,0.0097,-1,8.85,2010,Pre,S16,0.224264527,North
dry,3,218,261.9,336.7,0.22,112.05,0.02,,18.59,2016,Peak,S16,0.222156222,North
dry,2,211,244.9,314.8,0.22,112.14,0.02,6.91,21.57,2016,Peak,S16,0.222045743,North
dry,1,186,242.646,311.204,0.2203,111.2,0.0247,-1,24,2010,Pre,S16,0.220299225,North
dry,2,187,334.9,428,0.22,109.68,0.02,,21.54,2010,Pre,S16,0.217523364,North
dry,1,212,202.113,256.953,0.2134,107.7,0.0235,-1,22.2,2016,Peak,S16,0.213424245,North
dry,1,218,228.175,288.864,0.2101,106,0.0159,2.53,16,2016,Peak,S16,0.210095408,North
dry,2,183,263.9,332.8,0.21,104.53,0.02,2.62,23.11,2010,Pre,S16,0.20703125,North
dry,3,217,276,345.7,0.2,101.75,0.02,,22.36,2016,Peak,S16,0.201619902,North
dry,2,213,226.5,281.6,0.2,98.71,0.02,3.5,17.79,2016,Peak,S16,0.195667614,North
dry,1,211,243.723,301.166,0.1907,96.2,0.0326,0.751,32.5,2016,Peak,S16,0.190735342,North
dry,2,217,262.5,323.3,0.19,94.95,0.02,6.7,18.96,2016,Peak,S16,0.188060625,North
dry,2,184,274,336.7,0.19,93.98,0.02,6.4,19.81,2010,Pre,S16,0.186219186,North
dry,2,218,273.5,335.8,0.19,93.51,0.02,2.78,19.57,2016,Peak,S16,0.185527099,North
dry,1,213,212.113,260.227,0.1849,93.3,0.0127,2.869,12.7,2016,Peak,S16,0.184892421,North
dry,2,185,295.5,359.9,0.18,90.33,0.02,5.92,17.78,2010,Pre,S16,0.178938594,North
dry,2,219,305.9,372.1,0.18,89.79,0.02,2.55,20.45,2016,Peak,S16,0.177909164,North
dry,2,190,217.3,261.1,0.17,84.71,0.01,8.54,13.05,2010,Pre,S16,0.167751819,North
dry,1,189,220.412,264.164,0.145,88.3,0.0284,0.0284,29.4,2010,Pre,S16,0.165624385,North
dry,1,183,211.439,250.365,0.1555,78.5,0.018,-1,17.3,2010,Pre,S16,0.155477004,North
dry,2,186,318.1,374.6,0.15,76.18,0.02,2.53,18.59,2010,Pre,S16,0.150827549,North
wet,2,213,272.9,407.9,0.33,167.08,0.03,2.17,31.75,2016,Peak,S16,0.330963471,North
wet,3,216,224.9,334.8,0.33,165.65,0.03,,25.37,2016,Peak,S16,0.328255675,North
wet,2,211,225.7,334.2,0.32,163.82,0.03,6.45,28.93,2016,Peak,S16,0.324655895,North
wet,3,217,267.4,387.2,0.31,156.16,0.03,,30.26,2016,Peak,S16,0.309400826,North
wet,3,211,257.7,371.5,0.31,154.53,0.03,,28.77,2016,Peak,S16,0.306325707,North
wet,3,219,274.8,392.4,0.3,151.14,0.03,,29.53,2016,Peak,S16,0.29969419,North
wet,3,189,247.3,349.4,0.29,147.47,0.03,,25.74,2010,Pre,S16,0.292215226,North
wet,3,213,251.3,349.9,0.28,142.24,0.03,,25.56,2016,Peak,S16,0.281794799,North
wet,2,187,235.8,326.3,0.28,139.87,0.03,6.63,26.14,2010,Pre,S16,0.27735213,North
wet,3,190,264.3,364.2,0.27,138.44,0.02,,25.37,2010,Pre,S16,0.274299835,North
wet,3,212,289.1,394,0.27,134.37,0.03,,25.88,2016,Peak,S16,0.266243655,North
wet,1,213,216.935,294.945,0.2645,133.4,0.0192,2.468,19,2016,Peak,S16,0.26448999,North
wet,3,183,233.4,316.7,0.26,132.7,0.02,,23.18,2010,Pre,S16,0.263024945,North
wet,3,187,270,366,0.2,99.12,0.02,,16.43,2010,Pre,S16,0.262295082,North
wet,2,183,184.9,250.3,0.26,131.69,0.02,8.95,21.87,2010,Pre,S16,0.261286456,North
wet,3,218,276.1,369.4,0.25,127.51,0.02,,23.98,2016,Peak,S16,0.252571738,North
wet,2,189,233,311.3,0.25,126.87,0.02,7,23.04,2010,Pre,S16,0.251525859,North
wet,1,211,207.404,276.831,0.2147,108.5,0.031,0.905,32.2,2016,Peak,S16,0.250791999,North
wet,2,218,263.5,350.2,0.25,124.98,0.02,2.69,24.4,2016,Peak,S16,0.247572816,North
wet,2,184,242.7,320.3,0.24,122.22,0.02,6.78,22.93,2010,Pre,S16,0.242272869,North
wet,1,216,228.892,301.947,0.2419,122.1,0.0158,2.387,15.3,2016,Peak,S16,0.241946434,North
wet,1,187,236.65,311.196,0.2395,120.9,0.016,-1,14.9,2010,Pre,S16,0.239546781,North
wet,3,186,282.9,371.3,0.24,120.14,0.02,,21.28,2010,Pre,S16,0.238082413,North
wet,2,212,241.7,314.8,0.26,133.19,0.02,6.91,23.31,2016,Peak,S16,0.232210928,North
wet,2,190,203.7,265.3,0.23,117.21,0.02,3.62,21.91,2010,Pre,S16,0.232189974,North
wet,2,219,240.4,312.8,0.23,116.71,0.02,3.05,23.33,2016,Peak,S16,0.231457801,North
wet,3,185,274,353.6,0.22,113.55,0.02,,22.47,2010,Pre,S16,0.225113122,North
wet,1,219,263.519,339.261,0.2233,112.6,0.0308,-1,29.9,2016,Peak,S16,0.223255841,North
wet,1,190,263.12,337.425,0.2202,111.1,0.0231,-1,22.4,2010,Pre,S16,0.220211899,North
wet,1,185,263.946,334.667,0.2113,106.6,0.033,0.575,33,2010,Pre,S16,0.211317519,North
wet,1,183,233.287,293.941,0.2063,104.1,0.022,-1,20.3,2010,Pre,S16,0.206347532,North
wet,1,218,224.16,281.425,0.2035,102.7,0.0155,2.155,15.5,2016,Peak,S16,0.203482278,North
wet,3,184,271.4,339.1,0.2,100.83,0.02,,16.9,2010,Pre,S16,0.199646122,North
wet,1,217,252.195,314.072,0.197,99.4,0.0278,-1,27.1,2016,Peak,S16,0.197015334,North
wet,2,186,252.3,312.4,0.19,97.04,0.02,3.06,21.44,2010,Pre,S16,0.192381562,North
wet,1,189,280.232,342.378,0.1815,91.6,0.0194,-1,18.7,2010,Pre,S16,0.181512831,North
wet,1,184,230.036,280.613,0.1802,90.9,0.0202,-1,19.1,2010,Pre,S16,0.180237551,North
wet,2,185,271.8,329,0.17,87.82,0.02,2.72,20.61,2010,Pre,S16,0.173860182,North
wet,1,212,240.873,283.094,0.1491,75.3,0.0102,2.931,10.2,2016,Peak,S16,0.149141275,North
wet,1,186,311.563,358.882,0.1321,66.7,0.0227,-1,22.4,2010,Pre,S16,0.131851138,North
wet,2,217,232.3,288.8,0.2,98.7,0.02,7.63,18.57,2016,Peak,S16,0.195637119,North
dry,1,349,220.973,276.35,0.2004,101.1,0.0186,-1,17.9,2011,Pre,S36,0.20038719,North
dry,3,349,239.7,379.2,0.37,185.62,0.03,,30.2,2011,Pre,S36,0.367879747,North
dry,3,346,271.9,413.1,0.34,172.5,0.03,,32.21,2011,Pre,S36,0.341805858,North
dry,3,343,266.5,396.1,0.33,165.09,0.03,,27.42,2011,Pre,S36,0.327190104,North
dry,3,342,223.3,326.4,0.32,159.39,0.03,,24.94,2011,Pre,S36,0.315870098,North
dry,2,343,302.8,442.2,0.32,159.05,0.03,4.63,27.97,2011,Pre,S36,0.315241972,North
dry,3,345,259.7,377.5,0.31,157.36,0.03,,27.7,2011,Pre,S36,0.31205298,North
dry,1,372,224.585,325.699,0.3105,156.7,0.0352,-1,35.2,2015,Peak,S36,0.310452289,North
dry,1,368,182.803,264.344,0.3086,155.7,0.0362,0.994,36.8,2015,Peak,S36,0.308465484,North
dry,1,375,250.806,359.687,0.3027,152.8,0.0228,1.816,23,2015,Peak,S36,0.302710412,North
dry,3,368,263.5,376.5,0.3,151.46,0.03,,25.48,2015,Peak,S36,0.300132802,North
dry,3,348,278.9,398.4,0.3,151.39,0.03,,27.37,2011,Pre,S36,0.299949799,North
dry,2,345,322.1,458.4,0.3,150.01,0.03,1.63,30.01,2011,Pre,S36,0.297338569,North
dry,3,375,278.2,391.9,0.29,146.32,0.03,,29.74,2015,Peak,S36,0.290125032,North
dry,1,343,270.794,380.173,0.2877,145.2,0.0311,-1,30,2011,Pre,S36,0.287708491,North
dry,3,372,264.5,369.2,0.28,143.2,0.03,,24.6,2015,Peak,S36,0.283586132,North
dry,1,376,239.367,330.709,0.2762,139.4,0.029,-1,28.2,2015,Peak,S36,0.276200527,North
dry,3,371,267.3,367.7,0.27,137.78,0.03,,24.97,2015,Peak,S36,0.273048681,North
dry,1,373,234.061,321.126,0.2711,136.8,0.0389,-1,39.1,2015,Peak,S36,0.271124107,North
dry,3,344,247.3,337.2,0.27,134.43,0.02,,20.44,2011,Pre,S36,0.266607355,North
dry,1,345,229.44,312.621,0.267,134.7,0.0286,-1,27.6,2011,Pre,S36,0.266076175,North
dry,3,376,270,367.3,0.27,133.75,0.02,,24.41,2015,Peak,S36,0.264906071,North
dry,2,375,306.9,414.9,0.26,131.35,0.02,1.9,24.67,2015,Peak,S36,0.260303688,North
dry,2,368,304.5,411.6,0.26,131.23,0.03,2.08,29.28,2015,Peak,S36,0.260204082,North
dry,2,372,200.1,266.4,0.25,125.68,0.02,8.35,17.69,2015,Peak,S36,0.248873874,North
dry,3,373,299.9,397.9,0.25,124.35,0.02,,24.42,2015,Peak,S36,0.246293038,North
dry,2,374,290.8,384.5,0.24,122.92,0.02,5.48,21.76,2015,Peak,S36,0.243693108,North
dry,2,344,283.4,371.6,0.24,119.69,0.03,5.7,27.22,2011,Pre,S36,0.237351991,North
dry,1,346,250.384,326.927,0.2341,118.2,0.0253,-1,24.4,2011,Pre,S36,0.23412872,North
dry,1,374,242.88,316.929,0.2336,117.9,0.0324,0.664,35.4,2015,Peak,S36,0.233645391,North
dry,3,374,264.6,344.9,0.23,117.43,0.02,,20.02,2015,Peak,S36,0.232821108,North
dry,2,349,319.5,410.7,0.22,122.05,0.03,2.22,26.66,2011,Pre,S36,0.222059898,North
dry,1,348,233.687,300.325,0.2219,112,0.0308,0.956,30.8,2011,Pre,S36,0.22188629,North
dry,2,346,291,373.5,0.22,111.39,0.02,5.67,23.63,2011,Pre,S36,0.220883534,North
dry,2,376,319.8,406.4,0.21,107.57,0.02,2.05,22.71,2015,Peak,S36,0.213090551,North
dry,2,342,330.1,416.8,0.21,104.98,0.02,1.89,23,2011,Pre,S36,0.208013436,North
dry,2,373,302.8,376.6,0.2,98.93,0.02,5.6,21.16,2015,Peak,S36,0.195963887,North
dry,1,371,238.244,293.966,0.1896,95.6,0.0274,-1,26.6,2015,Peak,S36,0.189552533,North
dry,1,344,245.193,295.572,0.1704,86,0.0132,2.407,12.8,2011,Pre,S36,0.17044578,North
dry,2,348,300.8,362.1,0.17,85.41,0.02,2.65,21.48,2011,Pre,S36,0.169290251,North
dry,2,371,294.6,353.7,0.17,84.31,0.02,2.59,20.84,2015,Peak,S36,0.167090755,North
dry,1,342,169.49,182.72,0.0729,36.8,0.0015,4.542,1.37,2011,Pre,S36,0.072405867,North
wet,3,375,284.4,486.4,0.42,209.58,0.04,,39.1,2015,Peak,S36,0.415296053,North
wet,3,373,287.3,454.1,0.37,185.31,0.03,,33.76,2015,Peak,S36,0.367319974,North
wet,3,349,256.7,399.4,0.36,180.34,0.03,,29.46,2011,Pre,S36,0.357285929,North
wet,3,368,265.3,407.5,0.35,176.07,0.03,,30.25,2015,Peak,S36,0.348957055,North
wet,3,372,238.3,363,0.34,173.41,0.03,,30.16,2015,Peak,S36,0.343526171,North
wet,3,344,267.7,403,0.34,169.44,0.03,,30.05,2011,Pre,S36,0.33573201,North
wet,3,374,280.1,419,0.33,167.23,0.03,,29.9,2015,Peak,S36,0.33150358,North
wet,3,342,238.1,354.4,0.33,165.63,0.03,,28.03,2011,Pre,S36,0.328160271,North
wet,3,376,268,398,0.33,164.79,0.03,,28.67,2015,Peak,S36,0.326633166,North
wet,3,371,237.1,345.3,0.31,158.14,0.03,,26,2015,Peak,S36,0.31335071,North
wet,2,342,258.6,373.3,0.31,155,0.03,2.46,32.84,2011,Pre,S36,0.307259577,North
wet,2,373,253.5,362.2,0.3,151.42,0.03,5.88,30.48,2015,Peak,S36,0.300110436,North
wet,1,373,238.855,335.095,0.2872,144.9,0.0215,2.052,21.3,2015,Peak,S36,0.287202137,North
wet,1,376,251.23,352.251,0.2878,145.2,0.0217,1.9,21.7,2015,Peak,S36,0.286786979,North
wet,3,348,264.9,370.9,0.29,144.19,0.03,,28.3,2011,Pre,S36,0.285791318,North
wet,2,368,263.3,367.4,0.28,143.05,0.03,2.6,30.1,2015,Peak,S36,0.283342406,North
wet,2,371,246.1,340.9,0.28,140.25,0.03,2.79,27.38,2015,Peak,S36,0.278087416,North
wet,3,345,250.5,346.2,0.28,139.53,0.02,,23.97,2011,Pre,S36,0.276429809,North
wet,3,346,275.5,378.1,0.27,136.95,0.03,,26.1,2011,Pre,S36,0.271356784,North
wet,2,344,241.6,327.1,0.26,131.88,0.02,6.61,23.87,2011,Pre,S36,0.261387955,North
wet,2,375,260.8,352.2,0.26,130.94,0.03,2.6,25.65,2015,Peak,S36,0.259511641,North
wet,3,343,279.4,376.6,0.26,130.3,0.02,,22.47,2011,Pre,S36,0.258098779,North
wet,1,343,256.446,345.256,0.2572,129.8,0.0344,-1,33.7,2011,Pre,S36,0.257229418,North
wet,1,372,270.586,363.381,0.2554,128.9,0.0268,-1,26.6,2015,Peak,S36,0.25536558,North
wet,2,376,268.4,358.9,0.25,127.21,0.03,2.53,26.47,2015,Peak,S36,0.252159376,North
wet,2,345,252.4,336.5,0.25,126.22,0.03,2.76,25.75,2011,Pre,S36,0.249925706,North
wet,2,348,238.4,315.8,0.25,123.71,0.02,6.89,23.37,2011,Pre,S36,0.24509183,North
wet,1,344,251.734,330.814,0.239,120.6,0.0326,-1,32,2011,Pre,S36,0.239046715,North
wet,2,349,274.9,357.3,0.23,116.43,0.03,2.43,28.5,2011,Pre,S36,0.230618528,North
wet,1,374,264.945,343.99,0.2298,116,0.0352,0.533,34.5,2015,Peak,S36,0.229788657,North
wet,2,343,253.2,325.6,0.22,112.19,0.02,6.65,20.99,2011,Pre,S36,0.222358722,North
wet,1,345,203.673,261.701,0.2217,111.9,0.0286,-1,27.7,2011,Pre,S36,0.221733964,North
wet,2,346,239.6,306.2,0.22,109.76,0.22,7.13,20.13,2011,Pre,S36,0.217504899,North
wet,1,368,309.509,393.984,0.2144,108.2,0.0299,-1,29.9,2015,Peak,S36,0.21441226,North
wet,1,346,298.356,375.32,0.2051,103.5,0.0131,-1,12.6,2011,Pre,S36,0.205062347,North
wet,1,371,266.49,334.709,0.2038,102.8,0.0287,-1,28.5,2015,Peak,S36,0.203815852,North
wet,2,374,270.8,340,0.2,102.66,0.02,6.33,19.68,2015,Peak,S36,0.203529412,North
wet,2,372,297.5,371,0.2,99.97,0.02,2.3,23.46,2015,Peak,S36,0.198113208,North
wet,1,375,308.009,381.458,0.1925,97.2,0.0295,-1,28.8,2015,Peak,S36,0.192548066,North
wet,1,348,274.142,339.096,0.1916,96.7,0.0319,0.555,33,2011,Pre,S36,0.191550475,North
wet,1,342,273.003,294.376,0.0725,36.6,0.0093,-1,8.38,2011,Pre,S36,0.072604424,North
wet,1,349,253.973,348.76,0.211,106.4,0.0323,0.638,33,2011,Pre,S36,0.271782888,North
