"","...1","X","obs","A","Ca","Ci","gsw","Tleaf","Q","ID","Treatment","Rep","Year","Site","PrePeak","Region"
"47",47,939,1,20.98709429,390.8081613,300.2068432,0.426296952,26.85005161,1200.006452,"185","wet",1,2010,"S16","Pre","North"
"48",48,40,1,4.62719816,394.2335484,127.3170197,0.028746691,26.16055484,1199.999677,"185","dry",1,2010,"S16","Pre","North"
"49",49,926,1,16.3592441,392.675871,316.1567095,0.399573456,26.09618387,1199.998387,"186","wet",1,2010,"S16","Pre","North"
"50",50,523,1,11.23150752,395.3215484,193.4169108,0.093125493,26.08760645,1199.989355,"186","dry",1,2010,"S16","Pre","North"
"51",51,1095,1,9.903274679,395.0960323,348.3071658,0.437352233,26.36062581,1199.999032,"187","wet",1,2010,"S16","Pre","North"
"52",52,118,1,11.79636934,394.6060968,322.071705,0.305618214,26.12425806,1200.005161,"187","dry",1,2010,"S16","Pre","North"
"53",53,1446,1,11.11180343,394.7510645,340.4055252,0.403218442,26.26644839,1200.003871,"189","wet",1,2010,"S16","Pre","North"
"54",54,92,1,15.81557319,393.3804516,175.2592943,0.121533282,25.96537742,1200,"189","dry",1,2010,"S16","Pre","North"
"55",55,445,1,9.812016946,395.5884194,316.2802013,0.226851124,26.33463226,1200.004516,"190","wet",1,2010,"S16","Pre","North"
"56",56,1836,1,3.357515362,395.8669032,-147.9987381,0.009981029,26.49367742,1200.019677,"190","dry",1,2010,"S16","Pre","North"
"57",57,1368,1,3.741961217,398.0714839,357.5555165,0.191935533,26.16123871,1199.987097,"342","wet",1,2011,"S36","Pre","North"
"58",58,458,1,-1.239625219,400.2838065,415.3261554,0.081441834,26.02837097,1199.972581,"342","dry",1,2011,"S36","Pre","North"
"59",59,1342,1,21.92932824,390.1664839,318.2056995,0.583569052,26.55513871,1199.988387,"343","wet",1,2011,"S36","Pre","North"
"60",60,196,1,15.83535347,392.904871,317.3413093,0.390017826,26.17453548,1200.004194,"343","dry",1,2011,"S36","Pre","North"
"61",61,14,1,17.99735845,391.7343226,332.3732093,0.594805395,26.09993226,1200.026452,"344","wet",1,2011,"S36","Pre","North"
"62",62,562,1,5.2667104,397.5370323,331.7123088,0.150036338,26.01850968,1199.965806,"344","dry",1,2011,"S36","Pre","North"
"63",63,731,1,16.15992773,392.7569355,314.2335686,0.382225963,26.12544516,1199.996129,"345","wet",1,2011,"S36","Pre","North"
"64",64,1992,1,10.70110917,395.3360645,281.8286485,0.165272049,26.03204516,1200.014194,"345","dry",1,2011,"S36","Pre","North"
"65",65,1056,1,16.84835667,392.3299355,308.8904483,0.382694511,26.12213226,1199.985161,"346","wet",1,2011,"S36","Pre","North"
"66",66,105,1,15.50464252,392.437,295.8215116,0.288233843,26.00702581,1199.985806,"346","dry",1,2011,"S36","Pre","North"
"67",67,1251,1,18.79717205,391.5475161,321.7253416,0.512357975,26.00052903,1199.992258,"348","wet",1,2011,"S36","Pre","North"
"68",68,848,1,9.660291038,396.0969355,-299.9050163,0.022310027,25.98604194,1200.003871,"348","dry",1,2011,"S36","Pre","North"
"69",69,1576,1,20.80076958,390.7329677,306.961748,0.46421623,26.7348871,1199.990968,"349","wet",1,2011,"S36","Pre","North"
"70",70,66,1,5.86311691,397.4830968,250.3426243,0.067783542,25.98495806,1200.006452,"349","dry",1,2011,"S36","Pre","North"
"71",71,1420,1,19.14853718,391.472129,289.1667701,0.336823147,26.16515484,1199.974516,"38A","wet",1,2010,"S07","Pre","South"
"72",72,1966,1,8.457527251,396.1756129,314.0307704,0.18802661,26.10725806,1200.02129,"38A","dry",1,2010,"S07","Pre","South"
"73",73,1303,1,17.24180991,392.0919677,332.8434044,0.568149712,26.40464516,1200.008065,"38B","wet",1,2010,"S07","Pre","South"
"74",74,692,1,15.58922206,393.5069355,181.057625,0.122948595,25.98866452,1200,"38B","dry",1,2010,"S07","Pre","South"
"75",75,1784,1,16.5679783,391.6396129,359.5483858,1.187202711,26.80330323,1199.975806,"39A","wet",1,2010,"S07","Pre","South"
"76",76,1797,1,2.900034481,398.7436129,249.8265748,0.033049072,26.12361613,1200.009677,"39A","dry",1,2010,"S07","Pre","South"
"77",77,1524,1,19.6688288,391.3917742,301.3092051,0.399715781,26.17453548,1199.995806,"39B","wet",1,2010,"S07","Pre","South"
"78",78,274,1,18.73548179,391.9990968,256.579175,0.240644104,26.24351935,1199.985161,"39B","dry",1,2010,"S07","Pre","South"
"79",79,1,1,14.13616483,392.9368889,348.8499632,0.702143808,26.04686667,1199.998889,"1","wet",2,2010,"S02","Pre","South"
"80",80,14,1,18.2942891,391.5652903,313.8085868,0.459572099,26.03013871,1199.995161,"119","dry",2,2010,"S11","Pre","South"
"81",81,27,1,17.27013318,391.1175667,346.8011447,0.903056123,26.09842333,1199.977,"119","wet",2,2010,"S11","Pre","South"
"82",82,40,1,16.83457742,392.0473333,332.0130275,0.569606039,25.93722222,1199.981111,"120","dry",2,2010,"S11","Pre","South"
"83",83,53,1,15.97470676,391.6587778,326.3793106,0.485535069,26.05475556,1199.994444,"120","wet",2,2010,"S11","Pre","South"
"84",84,66,1,10.74815376,395.2739667,269.5664822,0.151561836,26.06706333,1200.002667,"121","dry",2,2010,"S11","Pre","South"
