ID,Treatment,Growth_time,Placement,Stom_number_1,Stom_number_2,Stom_number_3,Stomata,Trich_number_1,Trich_number_2,Trich_number_3,Trichome,Guard_Cell_Length_1,Guard_Cell_Length_2,Guard_Cell_Length_3,Guard_Cell_Length_4,Guard_Cell_Length_5,Guard_Cell_Length_6,Guard_Cell_Length_7,Guard_Cell_Length_8,Guard_Cell_Length_9,Guard_Cell_Length_10,Guard_Cell_Length_11,Guard_Cell_Length_12,Guard_Cell_Length_13,Guard_Cell_Length_14,Guard_Cell_Length_15,Avg_Guard_Cell_Length,Notes
120,w,af,ab,67,60,69,65.3,8,7,7,7.3,84.524,84.433,88.459,86.788,78.006,98.794,89.922,95.334,95.634,83.815,79.31,86.904,85.128,89.3,81.371,87.18146667,
120,w,af,be,88,83,67,79.3,12,12,14,12.7,78.102,101.116,88.529,86.143,91.315,98.793,97.326,101.414,86.752,89.306,77.77,91.884,91.08,89.499,84.264,90.21953333,
121,w,af,ab,67,63,66,65.3,8,11,11,10,91.351,85.094,96.607,93.193,105.019,98.184,89.994,84.413,86.49,92.309,93.941,84.149,96.938,91.012,88.527,91.81473333,
121,w,af,be,91,88,96,91.7,12,21,18,17,90.139,94.202,102.453,89.874,78.525,88.895,92.753,99.016,99.05,85.336,89.805,87.449,94.384,97.675,88.49,91.86973333,
122,w,af,ab,86,74,62,74,16,16,10,14,69.08,92.346,78.146,92.164,80.576,103.298,87.27,81.744,76.956,86.093,89.051,92.449,90.159,88.409,90.427,86.54453333,
122,w,af,be,99,106,98,101,26,25,29,26.7,83.493,90.535,76.689,87.023,87.036,85.615,87.452,88.97,77.581,80.828,75.738,78.558,87.506,78.272,82.63,83.19506667,
124,w,af,ab,74,79,87,80,17,16,18,17,103.2,85.037,109.162,88.173,78.27,99.298,97.739,107.278,99.647,106.116,85.802,105.03,95.667,97.591,83.47,96.09866667,
124,w,af,be,,,,,,,,,,,,,,,,,,,,,,,,,Sliver
125,w,af,ab,51,84,72,69,4,5,8,5.7,93.815,88.551,84.1,81.376,97.538,86.367,77.075,73.384,95.93,84.554,85.399,84.795,87.382,77.078,90.471,85.85433333,
125,w,af,be,122,104,98,108,11,13,13,12.3,88.76,84.592,83.816,86.169,89.736,86.267,72.777,82.908,80.843,79.535,85.693,85.032,83.217,86.087,82.223,83.84366667,
144,w,af,ab,71,76,72,73,12,15,12,13,85.593,85.386,83.35,83.28,79.845,90.416,79.202,81.025,96.509,76.026,83.385,89.376,80.189,85.006,84.513,84.20673333,
144,w,af,be,96,106,94,98.7,17,19,20,18.7,98.226,89.981,83.345,83.376,85.402,86.954,87.135,88.754,88.945,82.769,86.013,90.312,84.482,86.977,85.852,87.23486667,
145A,w,af,ab,76,79,64,73,13,12,10,11.7,99.479,90.934,102.078,101.097,98.6,102.774,100.8,96.831,93.404,90.827,107.005,104.216,105.948,105.102,105.675,100.318,
145A,w,af,be,104,94,90,96,19,22,19,20,89.894,86.667,91.902,85,97.93,96.128,96.418,90.443,94.112,92.721,97.453,88.023,93.648,94.812,106.425,93.4384,
145B,w,af,ab,47,55,42,48,9,10,8,9,89.177,89.889,93.193,97.514,96.607,81.763,78.003,93.184,94.799,78.151,100.045,97.259,83.204,88.235,82.564,89.57246667,
145B,w,af,be,76,84,71,77,10,16,14,13.3,85.44,88.056,88.9,77.77,86.721,86.796,82.712,83.024,85.669,84.81,84.524,83.487,68.743,82.419,81.863,83.3956,
146A,w,af,ab,68,,,68,8,,,8,93.398,99.409,105.741,100.028,102.022,102.416,107.989,96.001,99.107,88.685,88.827,86.7,92.045,95.259,85.33,96.19713333,Highlighted have no photos
146A,w,af,ab,61,66,69,65.3,7,10,9,8.7,92.65,93.134,87.878,115.582,93.646,86.077,90.648,92.472,106.053,106.36,104.235,100.292,107.695,88.121,87.031,96.7916,
146A,w,af,be,86,91,97,91.3,15,16,14,15,101.541,83.002,89.332,90.792,85.636,85.424,90.805,87.95,85.05,84.387,95.708,92.439,91.998,93.762,98.153,90.3986,
147A,w,af,ab,59,59,67,61.7,9,10,11,10,90.589,99.298,88.569,93.039,86.174,102.303,98.119,95.688,98.9,96.835,91.444,95.613,90.211,98.876,94.641,94.6866,
147A,w,af,be,102,83,89,91.3,17,15,11,14.3,81.817,91.713,95.718,86.157,82.76,98.185,90.515,84.828,88.615,96.591,92.616,92.724,85.094,84.646,98.067,90.00306667,
149,w,af,ab,70,85,96,83.7,8,7,7,7.3,88.278,90.758,84.22,90.477,92.404,77.987,86.95,83.358,82.006,98.184,99.02,87.036,99.85,95.975,94.458,90.06406667,
149,w,af,be,136,139,115,130,10,9,8,9,104.007,103.299,84.504,99.932,96.624,114.527,93.391,78.282,92.603,100.325,93.408,107.761,91.984,84.217,91.236,95.74,
153,w,af,ab,72,67,63,67.3,5,7,5,5.7,86.523,88.862,101.065,107.251,99.505,96.131,103.763,89.448,95.259,95.694,91.117,95.906,92.015,85.997,94.023,94.83726667,
153,w,af,be,127,135,122,128,9,11,7,9,70.336,86.783,80.668,79,99.751,91.81,81.781,74.603,78.409,73.246,78.64,86.831,88.216,107.311,75.158,83.50286667,
154,w,af,ab,100,90,95,95,15,12,18,15,85.298,69.554,81.69,87.484,80.525,72.459,96.534,83.607,85.803,92.03,91.579,78.203,82.884,82.608,80.399,83.37713333,
154,w,af,be,142,131,139,137.3,16,16,12,14.7,98.329,70.574,93.078,79,102.552,95.197,92.574,91.928,81.275,88.998,84.77,85.677,93.804,83.744,84.243,88.38286667,
164,w,af,ab,65,71,74,70,7,8,5,6.7,104.845,95.635,92.96,96.097,107.562,93.358,87.128,81.133,96.853,84.095,85.951,98.508,80.2,92.906,103.327,93.37053333,
164,w,af,be,125,124,125,124.7,10,11,11,10.7,74.821,90.362,79.491,104.564,104.164,103.078,96.005,75.456,95.222,88.978,83.22,93.338,110.506,78.378,77.806,90.35926667,
166,w,af,ab,51,60,56,55.7,10,10,11,10.3,83.464,80.59,88.255,98.082,87.043,80.948,81.437,78.528,85.391,81.248,78.27,76.159,82.514,94.366,83.483,83.9852,
166,w,af,be,157,147,152,152,14,15,18,15.7,93.941,71.596,87.021,85.441,68.18,97.012,68.779,87.479,90.808,81.69,75.755,79.903,78.351,84.902,89.067,82.66166667,
183,w,af,ab,70,64,71,68.3,13,11,11,11.7,80.523,90.515,101.494,84.784,74.632,82.718,83.986,83.39,88.65,85.558,83.632,92.386,77.807,85.013,86.437,85.435,
183,w,af,be,142,148,136,142,16,17,17,16.7,66.297,75.769,78.45,73.686,78.378,79.803,79.611,84.987,76.577,91.5,80.971,79.083,79.903,78.366,78.545,78.79506667,
