SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1581890081.1,120.5,"20200216 15:54:41",15:54:41,1581890073.1,0.004820704833860655,12.374133566917896,394.279483870968,328.61842255366815,33.22257987646282,39.860764788421186,0.36116178402793614,3.4275875350598555,0.3412735529208161,0.21499153378964755,193.73705182546345,26.56340936466203,26.56340936466203,3.4884034101422903,59.85431789568084,2.099802344796202,3.508188579570675,1.388601065346088,-212.5930831732549,17.74269576929651,1.112800592715298,-0.0005349857796446145,-0.0418761945201932,0.0470096969050441,3.50107291933054,0,0,1,0,53459.72696459508,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1938353579102,12.374133566917896,#DIV/0!,#DIV/0!,0.01226140423512339,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1200.01258064516,1009.1938353579102,0.8409860460090675,0.19197209201813514,2,0.5,"0: Broadleaf",1581890073.1,394.279483870968,399.989129032258,20.7700225806452,18.8818870967742,500.025419354839,100.997741935484,0.0999981677419355,26.6594258064516,26.0916096774194,999.9,0,0,9998.88483870968,0,0.00191117,1200.01258064516,0.966991129032258,0.0330085774193548,0,365.862709677419,4.99916,5101.62322580645,11812.2451612903,42.137,44.7235806451613,43.6147096774193,43.776,44,1155.57129032258,39.4422580645161,0,646.799999952316,365.613961538462,-19.5753504534519,-274.531966001977,5098.17,15,0,--:--:--,0,0,0,0,0,0,0,-5.72851951219512,-0.0585250871077303,0.0788737495034797,1,363.909,0,0,0,1.88927682926829,-0.0178561672473864,0.00433462375728185,1,2,3,2/3,0,0,0,0,2,513.271,523.445,23.3233,27.3245,30.0003,27.2046,27.1593,20.9538,20.2726,17.2222,23.2343,400,18.8299,100.828,100.725
3,1581890201.6,241,"20200216 15:56:41",15:56:41,1581890193.6,0.004867802848982171,8.972637792870112,295.846709677419,249.18241727405206,25.191667991878184,29.909301660262845,0.3712476598376409,3.4290589106030773,0.35027620663185,0.22070804957932486,193.73305074974553,26.386967810812493,26.386967810812493,3.4522997230774224,60.039918281352186,2.085828272865936,3.4740691402869106,1.3664714502114865,-214.67010564011375,19.70327658488278,1.2331198658834517,-0.0006584396019846395,-0.0418990901509698,0.0470353992563583,3.50258447269424,0,0,1,0,53517.37533771576,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1729511688593,8.972637792870112,#DIV/0!,#DIV/0!,0.008891080347008596,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1199.98774193548,1009.1729511688593,0.8409860500251007,0.19197210005020166,2,0.5,"0: Broadleaf",1581890193.6,295.846709677419,300.01164516129,20.6318903225806,18.7250193548387,500.020290322581,100.997322580645,0.0999709903225806,26.4935483870968,26.0371193548387,999.9,0,0,10004.3932258065,0,0.00191117,1199.98774193548,0.966991129032258,0.0330085774193548,0,317.776387096774,4.99916,4446.10806451613,11811.9903225806,42.120935483871,44.687,43.5783225806451,43.764,43.9878064516129,1155.54741935484,39.4416129032258,0,766.799999952316,317.711807692308,-12.8896752390498,-158.264273603502,4445.515,15,0,--:--:--,0,0,0,0,0,0,0,-4.17245048780488,0.157472195122038,0.035565063629657,1,316.18,0,0,0,1.90106097560976,0.011384738675947,0.0157967904743998,1,2,3,2/3,0,0,0,0,2,513.389,522.906,23.1218,27.3268,30.0002,27.2068,27.1616,16.635,20.8301,17.2222,23.0908,300,18.7363,100.83,100.724
4,1581890322.1,361.5,"20200216 15:58:42",15:58:42,1581890314.1,0.004780543402386622,4.402888891022989,197.863258064516,173.6601311528282,17.556719941144475,20.003611568299387,0.3675367992666029,3.4281164668923925,0.3469647160614154,0.21860525517657914,193.73702658675847,26.295942474786994,26.295942474786994,3.4338019175652987,60.23010718627761,2.078829962234321,3.4514797654352285,1.3549719553309778,-210.82196404525004,16.078945829617496,1.005553208228985,-0.00043842064509647116,-0.0418844245481151,0.0470189358323765,3.5016162934201,0,0,1,0,53519.19251006353,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1926044169652,4.402888891022989,#DIV/0!,#DIV/0!,0.004362783547712028,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1200.01096774194,1009.1926044169652,0.8409861505815754,0.19197230116315112,2,0.5,"0: Broadleaf",1581890314.1,197.863258064516,200.00264516129,20.5624903225806,18.6897032258065,500.029451612903,100.998129032258,0.100032212903226,26.3829419354839,26.0125709677419,999.9,0,0,10000.8116129032,0,0.00191117,1200.01096774194,0.966990870967742,0.0330088225806452,0,296.633838709677,4.99916,4159.13387096774,11812.2161290323,42.0924838709677,44.620935483871,43.524,43.6992580645161,43.937,1155.56741935484,39.4464516129032,0,887.400000095367,296.580076923077,-6.28950427971585,-87.096752136796,4158.60923076923,15,0,--:--:--,0,0,0,0,0,0,0,-2.1344043902439,-0.0451649477351155,0.0367257889087445,1,295.939,0,0,0,1.87391902439024,0.00496871080139609,0.00754864833802137,1,2,3,2/3,0,0,0,0,2,513.454,522.743,23.0066,27.3152,29.9999,27.1999,27.1547,12.1355,21.1081,17.2222,22.9933,200,18.6368,100.828,100.723
5,1581890442.6,482,"20200216 16:00:42",16:00:42,1581890434.6,0.004855872985194527,-0.034749573472688866,99.8185,97.8262953006395,9.890203987850716,10.09161518104451,0.37606545894762405,3.428827902683668,0.35456172851621526,0.22343057304931307,193.73481172406127,26.209234063120242,26.209234063120242,3.4162619315878455,60.199220557417355,2.0692224691485865,3.4372911309956,1.347039462439259,-214.14399864707866,19.208482923409225,1.2000788804017963,-0.0006251192063579936,-0.0418954952071242,0.0470313636169572,3.50234715627825,0,0,1,0,53545.27633783658,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1799782478058,-0.034749573472688866,#DIV/0!,#DIV/0!,-3.443347492190937E-05,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1199.99580645161,1009.1799782478058,0.8409862541369649,0.19197250827392986,2,0.5,"0: Broadleaf",1581890434.6,99.8185,99.9984741935484,20.4671580645161,18.5646516129032,500.023225806452,100.999677419355,0.0999702516129032,26.3131451612903,26.0014774193548,999.9,0,0,10003.3016129032,0,0.00191117,1199.99580645161,0.966989322580645,0.0330102935483871,0,289.448451612903,4.99916,4060.27193548387,11812.0677419355,42.062,44.5884193548387,43.4918064516129,43.683,43.921,1155.54580645161,39.45,0,1008,289.388692307692,-3.26632477712444,-52.2386324381562,4059.86461538462,15,0,--:--:--,0,0,0,0,0,0,0,-0.16969912195122,-0.190932125435559,0.0374393309985538,1,289.184,0,0,0,1.89279975609756,0.104933937282272,0.0200164821703789,0,1,3,1/3,0,0,0,0,2,513.407,522.343,22.9403,27.2944,30,27.1861,27.141,7.48395,21.3835,17.2222,22.9428,100,18.5547,100.831,100.725
6,1581890563.5,602.900000095367,"20200216 16:02:43",16:02:43,1581890555.5,0.0048072486920074705,-2.515660183059125,50.907364516129,61.092825874117246,6.1765778054784155,5.146812138852715,0.3709854443530287,3.4275246043687986,0.3500339018256304,0.22055493803608886,193.7331823952511,26.201696195429587,26.201696195429587,3.4147408220947923,60.108721217024176,2.063866944281962,3.4335565663263976,1.3508738778128304,-211.99966731752946,17.191641525184735,1.0743423267517807,-0.0005010703418406592,-0.0418752153755502,0.0470085977294045,3.50100827041219,0,0,1,0,53523.74944065719,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1713169575014,-2.515660183059125,#DIV/0!,#DIV/0!,-0.002492797943012748,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1199.98548387097,1009.1713169575014,0.8409862706855993,0.1919725413711988,2,0.5,"0: Broadleaf",1581890555.5,50.907364516129,49.9990387096774,20.4138064516129,18.5302612903226,500.026709677419,101.001516129032,0.100007938709677,26.2947322580645,25.9949419354839,999.9,0,0,9998.27741935484,0,0.00191117,1199.98548387097,0.966989064516129,0.0330105387096774,0,286.995838709677,4.99916,4025.93774193548,11811.9741935484,42.024,44.562,43.441129032258,43.679,43.879,1155.53516129032,39.4503225806452,0,1129.20000004768,286.990076923077,-1.89825641225952,-24.2482051335224,4025.66692307692,15,0,--:--:--,0,0,0,0,0,0,0,0.914311975609756,-0.173181958215059,0.0384158837585526,1,287.036,0,0,0,1.88334219512195,0.00591650320686652,0.00102432014858905,1,2,3,2/3,0,0,0,0,2,513.424,522.253,22.9963,27.2643,30,27.1651,27.1227,5.16617,21.3835,17.2222,23.0018,50,18.5546,100.836,100.726
7,1581890684,723.400000095367,"20200216 16:04:44",16:04:44,1581890676,0.004815939382142896,13.249882713349896,393.946225806452,325.64020931204436,32.92278132341168,39.828636251062214,0.36885382220514185,3.4264574715317138,0.3481290754614239,0.21934561270233127,193.7359472770588,26.249752556688254,26.249752556688254,3.4244485339373623,59.929315121449115,2.0637917725048833,3.4437099244710674,1.360656761432479,-212.38292675250173,17.548907301748514,1.097549563471285,-0.0005226102231148388,-0.0418586130127528,0.0469899601227176,3.49991200333729,0,0,1,0,53494.45731469302,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1856976026614,13.249882713349896,#DIV/0!,#DIV/0!,0.013129281107357376,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1200.00258064516,1009.1856976026614,0.8409862727629226,0.19197254552584525,2,0.5,"0: Broadleaf",1581890676,393.946225806452,400.004774193548,20.4130258064516,18.526064516129,500.024193548387,101.001677419355,0.100030483870968,26.3447516129032,26.0116225806452,999.9,0,0,9994.29741935484,0,0.00191117,1200.00258064516,0.966989064516129,0.0330105387096774,0,279.799,4.99916,3933.05096774193,11812.1322580645,42.014,44.554,43.437129032258,43.635,43.879,1155.55161290323,39.4509677419355,0,1249.79999995232,279.824076923077,1.92574359203364,21.4441026059982,3933.34846153846,15,0,--:--:--,0,0,0,0,0,0,0,-6.06175390243902,0.0897990940766601,0.0281201713798032,1,280.125,0,0,0,1.88692902439024,-0.00834501742160211,0.0018477749373009,1,2,3,2/3,0,0,0,0,2,513.405,523.046,23.0975,27.2551,30.0001,27.1579,27.1158,20.9685,21.3835,16.849,23.1076,400,18.5546,100.835,100.725
8,1581890804.5,843.900000095367,"20200216 16:06:44",16:06:44,1581890796.5,0.004824312435094755,13.048130621832536,394.014161290323,326.70340077509775,33.03040300340199,39.83566288440913,0.3694355243682169,3.4271144048576643,0.34865107964730413,0.21967682220615514,193.7320497639045,26.24966909172907,26.24966909172907,3.424431652577175,59.91278932192432,2.0634418734244178,3.4440757921269536,1.3609897791527574,-212.7521783876787,17.900265711735265,1.1193193694422214,-0.0005435425966950902,-0.0418688332447658,0.0470014332284937,3.50058687137974,0,0,1,0,53506.6733825065,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1653556671783,13.048130621832536,#DIV/0!,#DIV/0!,0.012929626000890775,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1199.97838709677,1009.1653556671783,0.8409862765184921,0.1919725530369843,2,0.5,"0: Broadleaf",1581890796.5,394.014161290323,399.993451612903,20.4094838709677,18.5192387096774,500.025161290323,101.002096774194,0.100012738709677,26.3465516129032,26.0016,999.9,0,0,9996.69612903226,0,0.00191117,1199.97838709677,0.966988290322581,0.0330112741935484,0,280.305451612903,4.99916,3940.3064516129,11811.8935483871,42.018,44.528,43.4392258064516,43.651,43.891,1155.52806451613,39.4503225806452,0,1369.79999995232,280.317884615385,-0.716000002652499,-6.64820517894159,3940.31538461539,15,0,--:--:--,0,0,0,0,0,0,0,-5.98930731707317,0.108362717770021,0.0545763049194022,1,280.245,0,0,0,1.89063512195122,-0.00890111498257692,0.00163098522065835,1,2,3,2/3,0,0,0,0,2,513.604,522.731,23.0461,27.2621,29.9999,27.1585,27.1181,20.9676,21.3835,16.849,23.0653,400,18.5546,100.833,100.722
9,1581890925,964.400000095367,"20200216 16:08:45",16:08:45,1581890917,0.004813913613072179,16.479940192378848,592.256064516129,505.0194603664373,51.05980720472292,59.879832052569384,0.36857323432817374,3.4261658750315838,0.3478774016828278,0.2191859159582838,193.73393650893144,26.245502514839888,26.245502514839888,3.4235890261979143,59.90735953650883,2.0624650447960198,3.4427573853244344,1.3611239814018945,-212.2935903364831,17.466684813171874,1.0924512174743208,-0.0005177969054770415,-0.0418540767925594,0.0469848678181558,3.49961244656551,0,0,1,0,53489.79630034483,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1753717962031,16.479940192378848,#DIV/0!,#DIV/0!,0.016330105403827545,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1199.99032258065,1009.1753717962031,0.8409862586440797,0.19197251728815956,2,0.5,"0: Broadleaf",1581890917,592.256064516129,599.988,20.3993129032258,18.5131419354839,500.030290322581,101.004580645161,0.100052367741935,26.340064516129,25.9985290322581,999.9,0,0,9992.92709677419,0,0.00191117,1199.99032258065,0.966988548387097,0.0330110290322581,0,285.800935483871,4.99916,4015.62870967742,11812.0064516129,42.012,44.562,43.4451935483871,43.659,43.883,1155.54032258065,39.45,0,1490.40000009537,285.792346153846,-2.94444445703848,-22.8119658419966,4015.44346153846,15,0,--:--:--,0,0,0,0,0,0,0,-7.73016317073171,-0.149655888501777,0.0732395007189169,1,285.522,0,0,0,1.88502292682927,0.0534652264808321,0.00756516607716802,1,2,3,2/3,0,0,0,0,2,513.415,523.217,23.0507,27.2748,30,27.1677,27.1273,29.1501,21.3835,16.4785,23.0506,600,18.5546,100.834,100.72
10,1581891045.5,1084.90000009537,"20200216 16:10:45",16:10:45,1581891037.5,0.004778372276053753,17.303341991488242,791.557870967742,695.6002775158886,70.32900269512034,80.03084161990213,0.36532350366457284,3.427698323710924,0.34498875363434955,0.21735059076240548,193.73574134408696,26.249107915120256,26.249107915120256,3.4243181526478286,59.90717895869708,2.0619201264115694,3.441858158323825,1.3623980262362592,-210.7262173739705,15.990377882024795,0.9996645746399594,-0.0004335732188067709,-0.041877918311513,0.047011632011813,3.50118673293335,0,0,1,0,53519.83415778914,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1846137316951,17.303341991488242,#DIV/0!,#DIV/0!,0.017145863854884893,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1200.00129032258,1009.1846137316951,0.8409862738234305,0.1919725476468611,2,0.5,"0: Broadleaf",1581891037.5,791.557870967742,799.991838709677,20.3937516129032,18.5214516129032,500.018516129032,101.005483870968,0.100000080645161,26.3356387096774,26.0001,999.9,0,0,9998.53,0,0.00191117,1200.00129032258,0.966988032258065,0.0330115193548387,0,285.729870967742,4.99916,4013.20032258065,11812.1161290323,42.036,44.54,43.4472903225806,43.671,43.879,1155.55032258065,39.4509677419355,0,1611,285.720961538462,3.33090597847962,55.4642734150768,4013.57269230769,15,0,--:--:--,0,0,0,0,0,0,0,-8.40883024390244,-0.364035470383319,0.0717315398700993,1,285.965,0,0,0,1.8729987804878,-0.011989965156795,0.00143519556774263,1,2,3,2/3,0,0,0,0,2,513.477,523.326,23.0427,27.299,30.0002,27.1884,27.1457,36.8999,21.1014,16.4785,23.0417,800,18.5562,100.829,100.711
11,1581891166,1205.40000009537,"20200216 16:12:46",16:12:46,1581891158,0.00474043775690667,16.36537298451201,991.563225806452,894.7994122985455,90.4697268181604,100.25314380930045,0.36175796560872,3.42881293749838,0.3418126756827332,0.2153332383831172,193.73412722858941,26.249898021460595,26.249898021460595,3.4244779553585,59.887995108797895,2.06031771527553,3.440285004586599,1.36416024008297,-209.05330507958416,14.417797854482625,0.9010277503762241,-0.0003522461359075635,-0.0418952623228472,0.0470311021839545,3.50233178242186,0,0,1,0,53542.49336105343,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1762040542759,16.36537298451201,#DIV/0!,#DIV/0!,0.016216566461600634,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1199.99129032258,1009.1762040542759,0.8409862739778641,0.19197254795572838,2,0.5,"0: Broadleaf",1581891158,991.563225806452,999.989129032258,20.3777677419355,18.5203258064516,500.025129032258,101.006161290323,0.0999923064516129,26.3278935483871,26.0094870967742,999.9,0,0,10002.6038709677,0,0.00191117,1199.99129032258,0.966987774193548,0.033011764516129,0,286.32464516129,4.99916,4020.92129032258,11812.0193548387,42.008,44.526,43.425064516129,43.653,43.875,1155.54064516129,39.4506451612903,0,1731.59999990463,286.359,5.89524786584962,88.5856410448666,4021.71961538462,15,0,--:--:--,0,0,0,0,0,0,0,-8.43367853658537,0.235920627177695,0.0661109545020754,1,286.611,0,0,0,1.85814731707317,-0.0128918466898956,0.00175101646353256,1,2,3,2/3,0,0,0,0,2,513.454,523.865,22.9839,27.3181,30.0001,27.2068,27.1639,44.332,21.1014,16.4785,22.9759,1000,18.5604,100.826,100.708
12,1581891286.5,1325.90000009537,"20200216 16:14:46",16:14:46,1581891278.5,0.0046492019421785,16.243266246293725,1191.24774193548,1089.482935300485,110.15257517329309,120.44154359092622,0.35538374579893334,3.4281850435864403,0.33611171798712214,0.21171420362116172,193.73809143830022,26.252821835472176,26.252821835472176,3.4250693670887675,60.07228350323418,2.0645152300386678,3.4367184159522055,1.3605541370500998,-205.02980565007184,10.627305667125997,0.6642171090816376,-0.00019143556397516193,-0.0418854916246417,0.0470201337192586,3.50168674264649,0,0,1,0,53533.6428083304,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.19706857039,16.243266246293725,#DIV/0!,#DIV/0!,0.016095237245688433,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1200.01612903226,1009.19706857039,0.8409862535633134,0.19197250712662695,2,0.5,"0: Broadleaf",1581891278.5,1191.24774193548,1199.96,20.4194419354839,18.5978161290323,500.022322580645,101.005387096774,0.0999828032258065,26.3103225806452,26.0102903225806,999.9,0,0,10000.3477419355,0,0.00191117,1200.01612903226,0.966988032258065,0.0330115193548387,0,285.415129032258,4.99916,4007.8135483871,11812.2612903226,42.014,44.534,43.4411935483871,43.653064516129,43.879,1155.56548387097,39.4506451612903,0,1852.20000004768,285.509769230769,11.7480341958399,157.282735176239,4009.41461538462,15,0,--:--:--,0,0,0,0,0,0,0,-8.61677317073171,-1.93236146341466,0.203515378569622,0,286.953,0,0,0,1.82237048780488,-0.0134575609756088,0.00237257804746538,1,1,3,1/3,0,0,0,0,2,513.544,524.388,22.9039,27.3315,30.0002,27.2184,27.1767,51.4923,20.8272,16.4785,22.8951,1200,18.5865,100.825,100.703
13,1581891407,1446.40000009537,"20200216 16:16:47",16:16:47,1581891399,0.004587579242260297,15.075877401753361,1491.25548387097,1387.4880569488002,140.2841824068343,150.77575281951906,0.3504693582310106,3.4277760034238196,0.33170943342260323,0.20892017948793748,193.73830210848027,26.237723625501445,26.237723625501445,3.4220163495078237,60.09061177015508,2.0616203920698095,3.4308527261387356,1.3603959574380142,-202.3122445836791,8.069529635658855,0.5043024556293053,-0.00011038391067863529,-0.0418791269669788,0.0470129888334574,3.50126653362482,0,0,1,0,53531.040858571214,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.2022943765132,15.075877401753361,#DIV/0!,#DIV/0!,0.01493840975764652,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1292,300,300,300,7221.42,308.303,-0.00510274,0.858551,1200.02290322581,1009.2022943765132,0.8409858609061982,0.1919717218123965,2,0.5,"0: Broadleaf",1581891399,1491.25548387097,1500.02193548387,20.390564516129,18.5930322580645,500.022838709677,101.006580645161,0.100006690322581,26.2813903225806,25.998164516129,999.9,0,0,9998.71,0,0.00191117,1200.02290322581,0.966998612903226,0.0330010290322581,0,286.401806451613,4.99916,4020.63935483871,11812.364516129,42.016,44.508,43.410935483871,43.659,43.875,1155.58774193548,39.4351612903226,0,1972.20000004768,286.395615384615,-2.76157265559885,-44.0827349950197,4020.64923076923,15,0,--:--:--,0,0,0,0,0,0,0,-8.67425682926829,-1.85305233449468,0.213029414199863,0,287.142,0,0,0,1.79789756097561,-0.00662843205574907,0.000829386433478444,1,1,3,1/3,0,0,0,0,2,513.666,524.959,22.8988,27.3407,30.0001,27.2299,27.1868,61.8072,20.8272,16.4785,22.9013,1500,18.5865,100.823,100.7
