SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1581714683,0,"20200214 15:11:23",15:11:23,1581714675,0.006003538992812495,16.84835666874923,392.329935483871,308.89044829566893,31.186156687216425,39.61036318408252,0.3826945113570706,3.4221149469673424,0.3604091477400568,0.22714974966572923,193.73198848371499,26.312618110177873,26.1221322580645,3.3987211941881137,50.12025283979433,1.7599073583466889,3.511369673197983,1.6388138358414248,-264.75606958303104,101.96693427062839,6.391828324400481,37.334681495712815,-0.0417910768909425,0.0469141449094963,3.49545096471212,0,0,1,0,53347.662949153026,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1704363513401,16.84835666874923,#DIV/0!,#DIV/0!,0.01669525390543993,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.98516129032,1009.1704363513401,0.8409857629124341,0.1919715258248684,2,0.5,"0: Broadleaf",1581714675,392.329935483871,400.011129032258,17.4314064516129,15.0719419354839,500.019290322581,100.761903225806,0.199964838709677,26.6748193548387,26.1221322580645,999.9,0,0,10001.9164516129,0,0.00152894,1199.98516129032,0.967006806451613,0.0329931419354839,0,269.554580645161,4.99912,3757.15838709677,8874.48290322581,39.9452903225806,42.276,41.1589354838709,41.8143548387097,41.7497096774193,1155.55516129032,39.43,0,1581714700.9,269.545576923077,0.0342905972899582,7.1466666508355,3757.20153846154,15,1581714648.5,15:10:48,21,0.142,0.062,400,15,0.34,0.03,-7.70119,0.251816027874559,0.0438489977636667,1,269.555696969697,-0.00927972165346035,0.132504427564333,1,2.35001024390244,0.0535963066202104,0.0260008078193272,1,3,3,3/3,100,100,0.142,0.062,2,503.54,490.995,24.0006,27.4112,30.0004,27.3572,27.3238,20.0028,43.195,0,24,400,15.0757,101.125,100.653
2,1581714784,101,"20200214 15:13:04",15:13:04,1581714776,0.005944495106240588,16.81114526106229,392.338709677419,308.18120473469224,31.113971885034406,39.61051288907403,0.3779884173528724,3.4233673451382645,0.35623852645886106,0.22449885931674773,193.73132565013483,26.400245056691666,26.1703096774194,3.4084135137774054,50.099784061063744,1.7668900681216622,3.5267418836937527,1.6415234456557433,-262.1522341852099,106.80997067971342,6.697071593463184,45.08613373810152,-0.0418105504920195,0.0469360057326864,3.49673753564097,0,0,1,0,53358.247690530014,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1678911899793,16.81114526106229,#DIV/0!,#DIV/0!,0.016658422654766702,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.98225806452,1009.1678911899793,0.8409856765863274,0.19197135317265485,2,0.5,"0: Broadleaf",1581714776,392.338709677419,399.99564516129,17.5008935483871,15.1648387096774,500.027741935484,100.760032258065,0.199959483870968,26.749035483871,26.1703096774194,999.9,0,0,10006.7629032258,0,0.00152894,1199.98225806452,0.967005548387097,0.0329943322580645,0,269.659419354839,4.99912,3760.87129032258,8874.46451612903,40.3061935483871,42.626935483871,41.5562580645161,42.165,42.1005806451613,1155.55580645161,39.4264516129032,0,1581714801.8,269.663884615385,0.359213686384323,-1.64341881054815,3760.85884615385,15,1581714744.5,15:12:24,22,0.137,0.073,400,15,0.49,0.11,-7.69516853658537,0.101750174215965,0.104573747709707,1,269.657303030303,0.165883546015534,0.190859854160615,1,2.33496073170732,0.0993303135888727,0.0181147706057447,1,3,3,3/3,100,100,0.137,0.073,2,503.707,490.798,24.0004,27.4851,30.0003,27.4349,27.4003,20.0087,42.9756,0,24,400,15.1496,101.112,100.644
3,1581714904.5,221.5,"20200214 15:15:04",15:15:04,1581714896.5,0.006003501015948113,12.703450878986118,294.216290322581,230.99581563978757,23.320522340405077,29.703038353206622,0.3804488083324626,3.420006396507741,0.358403404386688,0.22587629492663924,193.73699928269585,26.45354661942109,26.2270774193548,3.4198650030966826,50.05482222060469,1.7722612110969245,3.5406403069140993,1.6476037919997581,-264.7543948033118,108.56555565986523,6.81805831529309,44.36621845454235,-0.0417582983189314,0.0468773480908533,3.49328489360176,0,0,1,0,53282.32705675203,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1938073193116,12.703450878986118,#DIV/0!,#DIV/0!,0.01258772179025739,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200.01258064516,1009.1938073193116,0.8409860226438136,0.19197204528762724,2,0.5,"0: Broadleaf",1581714896.5,294.216290322581,300.003870967742,17.5547064516129,15.1955967741936,500.028580645161,100.756451612903,0.200019290322581,26.8158935483871,26.2270774193548,999.9,0,0,9994.61225806452,0,0.00152894,1200.01258064516,0.966991548387097,0.0330082064516129,0,259.766290322581,4.99912,3633.71161290323,8874.65290322581,40.6711612903226,42.9817096774194,41.9433225806451,42.4855806451613,42.425064516129,1155.57129032258,39.4412903225807,0,1581714922.4,259.784884615385,-0.363316235532867,-4.20307692204877,3633.66,15,1581714861.5,15:14:21,23,-0.002,0.074,300,15,1.12,0.08,-5.72341853658537,-0.860199721254347,0.153370797909892,0,259.806181818182,-0.593276747383521,0.167625205045041,1,2.35198707317073,0.0230629965156753,0.0195392042731732,1,2,3,2/3,100,100,-0.002,0.074,2,504.035,490.747,24.0004,27.5385,30.0003,27.4968,27.4618,15.961,42.7952,0,24,300,15.2267,101.11,100.64
4,1581715007,324,"20200214 15:16:47",15:16:47,1581714999,0.006021735207925033,7.447902199956024,196.557709677419,159.03114697745727,16.05518150143436,19.843720958791394,0.3824497046643583,3.4186180088472558,0.36017060941713624,0.2270000915590637,193.73219320611545,26.49087860960891,26.2592612903226,3.426372216320137,50.20731070478311,1.782013193554224,3.5493101871804824,1.644359022765913,-265.558522669494,110.25513400969191,6.929537888698829,45.35834243501222,-0.0417367201272437,0.0468531246803304,3.49185863999557,0,0,1,0,53248.521574543985,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1685976419069,7.447902199956024,#DIV/0!,#DIV/0!,0.007380235787517871,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.98258064516,1009.1685976419069,0.8409860392301165,0.191972078460233,2,0.5,"0: Broadleaf",1581714999,196.557709677419,200.010096774194,17.6513483870968,15.2853225806452,500.032032258065,100.756193548387,0.200014129032258,26.8574838709677,26.2592612903226,999.9,0,0,9989.47322580645,0,0.00152894,1199.98258064516,0.96699335483871,0.0330065806451613,0,256.996096774194,4.99912,3597.94419354839,8874.43032258064,40.9211612903226,43.257935483871,42.2135806451613,42.6711612903226,42.7113548387097,1155.54161290323,39.4409677419355,0,1581715025,256.984538461538,-1.02659828830844,-6.68512820223513,3597.89230769231,15,1581714968.5,15:16:08,24,-0.159,0.076,200,15,0.5,0.04,-3.45165170731707,-0.0390188153310073,0.0216088361445981,1,257.036727272727,-0.983540222789632,0.18747998240253,1,2.36704853658537,0.0178245993031329,0.0121445885893578,1,3,3,3/3,100,100,-0.159,0.076,2,503.97,490.248,23.8858,27.5756,30.0003,27.5437,27.5102,11.7517,42.7192,0,23.8762,200,15.2396,101.099,100.633
5,1581715127.5,444.5,"20200214 15:18:47",15:18:47,1581715119.5,0.005240533465767767,2.1306845305608704,98.9473258064516,88.35142288919592,8.919617238978645,9.98933853188671,0.41879375357068244,3.4209751272242457,0.39225391641518087,0.24740290953494398,193.73522779584462,26.15946464656557,26.1949419354839,3.4133783437679432,61.00307563791656,2.1014382035881662,3.4448069734405555,1.311940140179777,-231.1075258403585,28.62497591770473,1.792697784349234,-6.954624342459923,-0.0417733566185918,0.0468942523514015,3.49428004899581,0,0,1,0,53383.67841438088,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1848266741301,2.1306845305608704,#DIV/0!,#DIV/0!,0.002111292673298265,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200.00193548387,1009.1848266741301,0.8409859991327449,0.1919719982654897,2,0.5,"0: Broadleaf",1581715119.5,98.9473258064516,100.006958064516,20.8153612903226,18.7628903225806,500.026548387097,100.756129032258,0.19999535483871,26.3501483870968,26.1949419354839,999.9,0,0,9998.24838709678,0,0.00152894,1200.00193548387,0.966998,0.0330024,0,260.478935483871,4.99912,3645.35806451613,8874.58225806452,41.2153548387097,43.536,42.5038064516129,42.9110967741935,42.9433225806452,1155.56193548387,39.44,0,1581715145.6,260.483769230769,0.414564106859839,-1.02735042983689,3645.32115384615,15,1581715153,15:19:13,25,-0.254,0.117,100,19,0.19,0.05,-0.950976609756098,-0.141434738675949,0.033446553488184,1,260.469666666667,0.464839009549569,0.153747464461311,1,1.9605943902439,0.747676933797863,0.0979782945611731,0,2,3,2/3,100,100,-0.254,0.117,2,504.704,493.066,22.6921,27.637,30.001,27.5955,27.5607,7.3997,29.9863,0,22.6075,100,18.6513,101.097,100.636
6,1581715258,575,"20200214 15:20:58",15:20:58,1581715250,0.004884882546055151,-0.8032325827290978,50.2207838709677,52.665761878377936,5.317210644871675,5.070362168294026,0.38019987743938016,3.4223709410446785,0.3581966841746081,0.2257436407521236,193.73351513997352,26.337384748494877,26.2262032258065,3.4196884017474902,60.04288650233088,2.080336976394125,3.464751775904987,1.3393514253533652,-215.42332028103215,40.92362203010431,2.563538872138175,21.79735576118385,-0.0417950570896738,0.0469186130312568,3.49571394334086,0,0,1,0,53392.937776196704,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1758774231515,-0.8032325827290978,#DIV/0!,#DIV/0!,-0.0007959292336436805,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.99129032258,1009.1758774231515,0.8409860017832849,0.19197200356656988,2,0.5,"0: Broadleaf",1581715250,50.2207838709677,49.9976290322581,20.605264516129,18.6916516129032,500.020483870968,100.761451612903,0.19997864516129,26.4480032258065,26.2262032258065,999.9,0,0,10002.9138709677,0,0.00152894,1199.99129032258,0.966998903225807,0.0330014580645161,0,264.332451612903,4.99912,3697.70580645161,8874.51258064516,41.3909032258064,43.6890967741935,42.7436451612903,43.0884193548387,43.1186774193548,1155.55870967742,39.44,0,1581715275.8,264.342961538462,0.730837601168134,6.10051283489275,3697.77153846154,15,1581715221.5,15:20:21,26,-0.249,0.117,50,19,0.26,0.04,0.221841756097561,0.00370329616725481,0.0228456046706972,1,264.283545454546,0.939347587255895,0.193511739665661,1,1.91335804878049,-0.0531566550522646,0.0115031410809973,1,3,3,3/3,100,100,-0.249,0.117,2,504.715,492.711,23.5445,27.6252,30.0002,27.6055,27.57,5.24551,30.0659,0,23.5435,50,18.6257,101.096,100.63
7,1581715378.5,695.5,"20200214 15:22:58",15:22:58,1581715370.5,0.004860050523961367,17.004281372146824,392.442709677419,310.22431667749726,31.322494576927177,39.623859203804344,0.3834548342509397,3.4244881652902914,0.36109814258506023,0.22758630172895672,193.73389628532422,26.399894384796152,26.2033709677419,3.4150787328737975,60.2125263500929,2.0932203525921973,3.4763868574814714,1.3218583802816002,-214.3282281066963,55.66144664420362,3.4851850306665244,38.55229985349807,-0.0418279809529186,0.0469555729520379,3.49788894319789,0,0,1,0,53423.253939356306,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1802202223241,17.004281372146824,#DIV/0!,#DIV/0!,0.016849598348648524,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.99677419355,1009.1802202223241,0.8409857775663915,0.19197155513278324,2,0.5,"0: Broadleaf",1581715370.5,392.442709677419,400.007064516129,20.7316774193548,18.8280290322581,500.018129032258,100.767258064516,0.199986903225806,26.5048612903226,26.2033709677419,999.9,0,0,10010.2167741935,0,0.00152894,1199.99677419355,0.967000709677419,0.0329995741935484,0,263.10164516129,4.99912,3688.42096774194,8874.55709677419,41.4958064516129,43.8526451612903,42.8747741935484,43.1771290322581,43.2013548387097,1155.56580645161,39.4309677419355,0,1581715396.4,263.163653846154,3.92468376199188,58.2529914400953,3688.86153846154,15,1581715339.5,15:22:19,27,0.356,0.112,400,19,0.24,0.04,-7.54879536585366,-0.348284529616714,0.0533485007948797,1,262.976606060606,3.87127865540571,0.413527980028318,0,1.90488804878049,0.0295248083623683,0.0103200700081555,1,2,3,2/3,100,100,0.356,0.112,2,504.945,493.703,23.196,27.6065,30,27.5992,27.5653,20.082,29.8015,0,23.2071,400,18.7759,101.103,100.64
8,1581715486,803,"20200214 15:24:46",15:24:46,1581715478,0.004916320810377065,17.270860401217973,392.319096774194,309.37668727575664,31.237782726734,39.61248280371364,0.38602865013017673,3.4204947619573685,0.36335556483568204,0.22902326215173632,193.7362645145302,26.433732496449988,26.2315516129032,3.420768987840245,60.00963703717994,2.0919048720387923,3.485948216521821,1.3288641158014527,-216.80974773762856,58.99317235419622,3.699496149176882,39.61918528027476,-0.0417658894033437,0.0468858697481216,3.4937865800745,0,0,1,0,53338.95500937894,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1926847384447,17.270860401217973,#DIV/0!,#DIV/0!,0.017113541013918578,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200.01161290323,1009.1926847384447,0.840985765376778,0.19197153075355614,2,0.5,"0: Broadleaf",1581715478,392.319096774194,399.998451612903,20.7180709677419,18.7924096774194,500.032290322581,100.770032258065,0.200027903225806,26.5514612903226,26.2315516129032,999.9,0,0,9995.08193548387,0,0.00152894,1200.01161290323,0.967001612903226,0.0329986322580645,0,267.711064516129,4.99912,3752.43580645161,8874.67032258065,41.6651612903226,43.995935483871,42.9997741935484,43.3242903225806,43.3343225806451,1155.58064516129,39.4309677419355,0,1581715503.8,267.731346153846,1.31011965503879,15.2283760817858,3752.44038461538,15,1581715433.5,15:23:53,28,0.297,0.115,400,19,0.33,0.05,-7.68075536585366,0.0431234843205613,0.0234360100343375,1,267.68903030303,0.990943125158539,0.16751435666171,1,1.92838536585366,-0.0441271777003503,0.00529613070797042,1,3,3,3/3,100,100,0.297,0.115,2,504.978,493.752,23.298,27.5992,29.9999,27.5962,27.563,20.0833,29.9362,0,23.306,400,18.8026,101.101,100.64
9,1581715606.5,923.5,"20200214 15:26:46",15:26:46,1581715598.5,0.004956608237696481,23.294119004929893,589.524451612903,477.5963094017191,48.22423256268615,59.52592952735309,0.3908492013384756,3.422778840648844,0.3676391093229904,0.2317448344074194,193.73710930296966,26.468125431779338,26.2394387096774,3.4223630379582293,60.03764104492383,2.0982361044678655,3.494867666265963,1.3241269334903638,-218.5864232824148,65.58036379667155,4.110894176518232,44.84194399374462,-0.0418013993994106,0.0469257328295532,3.49613297258738,0,0,1,0,53374.78326481313,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1967879642699,23.294119004929893,#DIV/0!,#DIV/0!,0.023081840214650595,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200.0164516129,1009.1967879642699,0.8409857936596151,0.19197158731923036,2,0.5,"0: Broadleaf",1581715598.5,589.524451612903,600.010419354839,20.7802129032258,18.8388612903226,500.023677419355,100.772806451613,0.199985032258065,26.5948322580645,26.2394387096774,999.9,0,0,10003.304516129,0,0.00152894,1200.0164516129,0.967001612903226,0.0329986322580645,0,285.918032258065,4.99912,4002.60709677419,8874.70290322581,41.8122580645161,44.1026451612903,43.165,43.4654516129032,43.5178064516129,1155.58419354839,39.4322580645161,0,1581715624.4,285.898692307692,-2.20793160960424,-21.9658119671517,4002.44307692308,15,1581715544,15:25:44,29,0.312,0.114,600,19,0.12,0.05,-10.4957756097561,0.128199303135918,0.0377142903658404,1,285.964272727273,-1.94023625803171,0.239026215466923,0,1.9430312195122,-0.032878536585367,0.00341745176433706,1,2,3,2/3,100,100,0.312,0.114,2,504.969,494.081,23.3525,27.5737,30.0001,27.5774,27.5446,27.7605,30.0638,0,23.3525,600,18.8188,101.101,100.645
10,1581715727,1044,"20200214 15:28:47",15:28:47,1581715719,0.005012257342782899,25.05441185562376,788.387322580645,666.1189338924022,67.26296400880919,79.6093090972087,0.3961625107723701,3.421098859147948,0.3723267763639325,0.2347261789870042,193.73355111597013,26.466310886098313,26.2391290322581,3.4223004372545756,60.053265444684264,2.100115448101578,3.4970878478473706,1.3221849891529978,-221.04054881672585,67.59365542998938,4.239400188597158,44.526057917830826,-0.0417752800930071,0.0468964116199383,3.4944071562801,0,0,1,0,53340.9761707297,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1785750610219,25.05441185562376,#DIV/0!,#DIV/0!,0.02482653959841428,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.99483870968,1009.1785750610219,0.8409857630272499,0.1919715260545,2,0.5,"0: Broadleaf",1581715719,788.387322580645,799.989258064516,20.7978741935484,18.8347483870968,500.020225806452,100.777451612903,0.19995735483871,26.6056129032258,26.2391290322581,999.9,0,0,9996.59322580645,0,0.00152894,1199.99483870968,0.967003193548387,0.0329969838709677,0,280.521193548387,4.99912,3933.16451612903,8874.54677419355,41.8908387096774,44.1951290322581,43.2982258064516,43.5078064516129,43.534064516129,1155.56451612903,39.4303225806452,0,1581715745,280.520384615385,-1.21962393622188,-26.6239315928918,3932.94653846154,15,1581715668,15:27:48,30,0.306,0.117,800,19,0.1,0.08,-11.6019707317073,0.0317602787456446,0.0344216412634476,1,280.645242424242,-1.89841858638006,0.276205131313345,0,1.96513804878049,-0.0375119163763075,0.00405083322926026,1,2,3,2/3,100,100,0.306,0.117,2,504.965,494.47,23.3216,27.562,30,27.5681,27.5351,35.0524,30.1203,0,23.3279,800,18.8436,101.103,100.648
11,1581715847.5,1164.5,"20200214 15:30:47",15:30:47,1581715839.5,0.005131743853201868,25.341187010659702,987.831225806451,862.6282750828088,87.10565941055894,99.74828416324705,0.4061309341423191,3.422258063009031,0.38112911552617235,0.24032364190616187,193.73609192985265,26.442531867880653,26.2328870967742,3.421038855012904,59.998769458683945,2.098584880336765,3.4977132019047197,1.3224539746761388,-226.30990392620237,69.32824991566218,4.346649479800787,41.101087399113254,-0.0417933020438999,0.0469166428386251,3.49559798550738,0,0,1,0,53362.49851881533,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1918621577895,25.341187010659702,#DIV/0!,#DIV/0!,0.025110375896687076,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200.01064516129,1009.1918621577895,0.8409857581072931,0.19197151621458633,2,0.5,"0: Broadleaf",1581715839.5,987.831225806451,999.994806451613,20.7827903225806,18.7728548387097,500.025193548387,100.777064516129,0.199986580645161,26.6086483870968,26.2328870967742,999.9,0,0,10000.9441935484,0,0.00152894,1200.01064516129,0.967004322580645,0.0329958064516129,0,274.182258064516,4.99912,3848.66935483871,8874.66709677419,41.9797096774194,44.312064516129,43.3727096774193,43.5823870967742,43.6630322580645,1155.58,39.4306451612903,0,1581715865.6,274.203615384615,2.02105982652337,29.7658119672942,3848.95653846154,15,1581715784.5,15:29:44,31,0.387,0.117,1000,19,0.12,0.06,-12.1404975609756,-0.691392334494807,0.0783917289309456,0,274.077848484848,2.70275078171287,0.30567442783301,0,2.01721414634146,-0.147805296167258,0.0151681251113385,0,0,3,0/3,100,100,0.387,0.117,2,504.965,494.545,23.3248,27.5573,30.0002,27.5611,27.5296,42.0684,30.5603,0,23.3316,1000,18.8114,101.102,100.658
12,1581715968.1,1285.09999990463,"20200214 15:32:48",15:32:48,1581715960.1,0.005082385632444195,25.51509106927961,1187.3735483871,1056.4378829160921,106.68044989590794,119.90250102238828,0.4027154239470127,3.423994382902914,0.37813035436199677,0.23841516707589816,193.7336874307542,26.46332076010203,26.2470838709677,3.423908809940009,60.11334951499244,2.1037850321866536,3.4996969045319353,1.3201237777533552,-224.133206390789,68.51964937823283,4.294286849038893,42.4144172672369,-0.0418203015616788,0.0469469521626195,3.49738168482439,0,0,1,0,53393.936965167246,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1793782868159,25.51509106927961,#DIV/0!,#DIV/0!,0.02528300876757317,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.99580645161,1009.1793782868159,0.8409857541677261,0.19197150833545246,2,0.5,"0: Broadleaf",1581715960.1,1187.3735483871,1199.99290322581,20.8334161290323,18.8429032258065,500.022096774194,100.78135483871,0.199925387096774,26.6182741935484,26.2470838709677,999.9,0,0,10006.9790322581,0,0.00152894,1199.99580645161,0.967005,0.0329951,0,270.099,4.99912,3793.57096774193,8874.55709677419,42.0783870967742,44.375,43.405,43.6771935483871,43.7356451612903,1155.56580645161,39.43,0,1581715986.2,270.135115384615,4.61535042407829,57.8663248192385,3794.19115384615,15,1581715915.6,15:31:55,32,0.271,0.116,1200,19,0.12,0.05,-12.6274536585366,0.0944404181184567,0.0607635204168123,1,269.802666666667,6.33522405230258,0.632253433395504,0,1.99567,-0.091530940766548,0.00948759215386334,1,2,3,2/3,100,100,0.271,0.116,2,504.618,494.97,23.2257,27.5573,30,27.5587,27.5282,48.8867,30.3072,0,23.2243,1200,18.8502,101.101,100.653
13,1581716088.6,1405.59999990463,"20200214 15:34:48",15:34:48,1581716080.6,0.005129818229076309,24.632269404510588,1487.09290322581,1354.7177884943842,136.8019658015233,150.1694553792512,0.4075913848839829,3.4223987424155995,0.38241637530077277,0.24114242026728616,193.73660676228855,26.430763093090754,26.2323387096774,3.420928037740608,60.17932131147704,2.10338668955536,3.4951984231736666,1.317541348185248,-226.22498390226522,67.17949424050418,4.2114872650077055,38.902604365535225,-0.0417954893539165,0.0469190982857376,3.49574250325979,0,0,1,0,53367.456721051305,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1945718352051,24.632269404510588,#DIV/0!,#DIV/0!,0.024407849677309676,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200.01387096774,1009.1945718352051,0.8409857554574344,0.19197151091486891,2,0.5,"0: Broadleaf",1581716080.6,1487.09290322581,1499.9964516129,20.8293451612903,18.8202774193548,500.029677419355,100.781903225806,0.199989064516129,26.5964387096774,26.2323387096774,999.9,0,0,10000.9874193548,0,0.00152894,1200.01387096774,0.967005677419355,0.0329944032258064,0,266.837419354839,4.99912,3749.97064516129,8874.69290322581,42.1267741935484,44.4613870967742,43.5078387096774,43.7256451612903,43.7799677419355,1155.58322580645,39.4306451612903,0,1581716106.8,266.902961538462,6.49179488083713,84.9958974883711,3750.93653846154,15,1581716033.1,15:33:53,33,0.345,0.12,1500,19,0.21,0.05,-12.8387048780488,-1.14161811846702,0.137192451529567,0,266.739060606061,4.87172157772624,0.528253321886839,0,2.01244048780488,-0.0615940766550562,0.00663483047046437,1,1,3,1/3,100,100,0.345,0.12,2,504.91,495.394,23.2344,27.5643,30.0002,27.5634,27.5304,58.7324,30.6567,0,23.2296,1500,18.7788,101.102,100.656
