SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
,s,s,,,s,"mol m⁻² s⁻¹","µmol m⁻² s⁻¹","µmol mol⁻¹","µmol mol⁻¹",Pa,Pa,"mol m⁻² s⁻¹","mol m⁻² s⁻¹","mol m⁻² s⁻¹","mol m⁻² s⁻¹","W m⁻²",°C,°C,kPa,%,kPa,kPa,kPa,"W m⁻²","W m⁻²","W m⁻²","W m⁻²",,,,"µmol s⁻¹",%,,%,"µmol s⁻¹",,,,,,"µmol m⁻² s⁻¹",,,,,,"µmol m⁻² s⁻¹","µmol m⁻² s⁻¹","µmol m⁻² s⁻¹",,"µmol µmol⁻¹",,,,,,,,,,ms,ms,ms,"µmol m⁻² s⁻¹",,"mol m⁻² s⁻²",,"µmol m⁻² s⁻¹","µmol m⁻² s⁻¹",,J/µmol,cm²,,,s,"µmol mol⁻¹","µmol mol⁻¹","mmol mol⁻¹","mmol mol⁻¹","µmol s⁻¹",kPa,kPa,°C,°C,°C,°C,°C,rpm,"µmol m⁻² s⁻¹","µmol m⁻² s⁻¹","µmol m⁻² s⁻¹",,,,,"µmol m⁻² s⁻¹",,,°C,°C,°C,°C,°C,"µmol m⁻² s⁻¹","µmol m⁻² s⁻¹","µmol m⁻² s⁻¹",s,,min⁻¹,min⁻¹,,s,secs,,,µmol/mol,mmol/mol,µmol/mol,mmol/mol,%,%,"µmol mol⁻¹","µmol mol⁻¹ min⁻¹","µmol mol⁻¹",,," min⁻¹",,,"mmol mol⁻¹","mmol mol⁻¹ min⁻¹","mmol mol⁻¹",,,,,%,%,µmol/mol,mmol/mol,,"µmol s⁻¹","µmol s⁻¹",°C,°C,°C,°C,°C,%,%,%,°C,"µmol mol⁻¹","mmol mol⁻¹",%,%
1,1581722038.1,0,"20200214 17:13:58",17:13:58,1581722030.1,0.00636963525919518,8.160213946893975,395.707612903226,358.8264279286346,36.253631964352856,39.97988176762537,0.48924432457889194,3.4245319439421538,0.45346782500593663,0.28641344548837466,193.7321651270177,27.264672261629816,27.264672261629816,3.6351761485428336,60.505874710306394,2.2573886030530557,3.730858555241312,1.3777875454897779,-280.90091493050744,81.96658010144678,5.190660306762608,-0.011509395280356216,-0.0418286618308181,0.0469563372971283,3.49793391667117,0,0,1,0,53213.82224762436,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1739395375162,8.160213946893975,#DIV/0!,#DIV/0!,0.008086033167516826,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1199.98967741936,1009.1739395375162,0.8409855172319457,0.19197103446389155,2,0.5,"0: Broadleaf",1581722030.1,395.707612903226,399.979806451613,22.3428838709677,19.8520129032258,500.011387096774,100.933903225806,0.0999926709677419,27.7086387096774,26.2866612903226,999.9,0,0,9993.85225806452,0,0.00191117,1199.98967741936,0.967009677419355,0.0329901064516129,0,266.541161290323,4.99916,3775.05322580645,11812.0806451613,42.629,45.125,44.0642903225806,44.195129032258,44.542,1155.56935483871,39.4203225806452,0,353.399999856949,266.430423076923,-11.8068034191417,-155.547350405918,3773.61230769231,15,0,--:--:--,0,0,0,0,0,0,0,-4.24591804878049,-0.442885923344988,0.05692610058576,1,267.260942857143,-12.9720802550745,1.3202232482827,0,2.49866048780488,-0.140553658536559,0.0196992208526396,0,1,3,1/3,100,100,0,0,2,517.997,502.915,25.0576,27.6473,29.9999,27.5154,27.4704,21.0076,27.2254,0,25.2649,400,19.6526,100.748,100.863
2,1581722158.6,120.5,"20200214 17:15:58",17:15:58,1581722150.6,0.006147713841480959,8.782271854014862,395.500193548387,355.2247055582022,35.89045709394353,39.9597283215117,0.4691036182614052,3.4273730805107623,0.43613093743768183,0.27535092271032097,193.73566598760635,27.193724257876617,27.193724257876617,3.620085831244741,60.389654981654125,2.237162571369435,3.7045460386370253,1.382923259875306,-271.1141804093103,72.76945898775435,4.6000052970652945,-0.009050136884269477,-0.0418728578352783,0.0470059511839175,3.50085260948404,0,0,1,0,53289.25302617921,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1923653439517,8.782271854014862,#DIV/0!,#DIV/0!,0.00870227734136861,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1200.01161290323,1009.1923653439517,0.8409854992172763,0.19197099843455276,2,0.5,"0: Broadleaf",1581722150.6,395.500193548387,399.985483870968,22.1422483870968,19.7377129032258,500.020870967742,100.935967741936,0.0999583419354839,27.5875483870968,26.3210967741935,999.9,0,0,10004.2070967742,0,0.00191117,1200.01161290323,0.967009677419355,0.0329901064516129,0,256.890161290323,4.99916,3642.64516129032,11812.3096774194,42.625,45.125,44.0662580645161,44.162935483871,44.534,1155.59129032258,39.4203225806452,0,474,256.859269230769,-1.53241025556085,-22.3760683871114,3642.45846153846,15,0,--:--:--,0,0,0,0,0,0,0,-4.48242024390244,0.0169394425087766,0.0421692035060038,1,256.982857142857,-1.99375242229297,0.291596212287488,0,2.40899292682927,-0.102090731707308,0.0101361748314716,0,1,3,1/3,100,100,0,0,2,517.646,502.773,23.8838,27.6605,30,27.5197,27.4727,21.0186,27.4975,0,23.879,400,19.6388,100.745,100.859
3,1581722270.1,232,"20200214 17:17:50",17:17:50,1581722262.1,0.005976313835212397,5.9314827117369235,296.90864516129,268.24486241402184,27.101931104784963,29.99795624475565,0.4519218506309422,3.4260430610086976,0.4212245671817244,0.26584942197253225,193.73565369579873,27.113772539996457,27.113772539996457,3.6031460161724924,60.095654718815474,2.2109211369664137,3.6790033277966634,1.3922248792060787,-263.5554401328667,65.66406537418648,4.148351453324516,-0.007369609556960199,-0.0418521662896522,0.0469827231112732,3.49948627994476,0,0,1,0,53284.926260764434,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1918717955994,5.9314827117369235,#DIV/0!,#DIV/0!,0.005877457872488969,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1200.01096774194,1009.1918717955994,0.8409855400693504,0.19197108013870107,2,0.5,"0: Broadleaf",1581722262.1,296.90864516129,299.990838709677,21.8828774193548,19.5447903225806,500.027129032258,100.934290322581,0.100006703225806,27.4692806451613,26.3136935483871,999.9,0,0,9999.42967741935,0,0.00191117,1200.01096774194,0.967007612903226,0.0329920677419355,0,255.233483870968,4.99916,3616.86870967742,11812.2838709677,42.5863870967742,45.1026451612903,44.036064516129,44.183064516129,44.495935483871,1155.58903225806,39.421935483871,0,585.599999904633,255.238730769231,-0.31319657122819,-12.8331623908935,3616.70576923077,15,0,--:--:--,0,0,0,0,0,0,0,-3.05472975609756,-0.463960766550578,0.0590715920535869,1,255.286971428571,-0.841571971164595,0.21345839149108,1,2.34061487804878,-0.0557356097561109,0.00560040901030352,1,3,3,3/3,100,100,0,0,2,517.283,502.387,24.2556,27.6519,30.0001,27.5174,27.4704,16.7016,28.0751,0,24.2492,300,19.5244,100.745,100.86
4,1581722345.1,307,"20200214 17:19:05",17:19:05,1581722337.1,0.005874157028776155,2.0691575619943148,198.701870967742,186.50171239651925,18.842629478031224,20.075235144632423,0.44558031281840127,3.426237277789281,0.4157095381882165,0.2623351747171604,193.73843009074457,27.066248962833754,27.066248962833754,3.59310975311963,60.222358554063796,2.2064596375705015,3.66385457253336,1.3866501155491284,-259.0503249690284,61.427265965643265,3.878183060155516,-0.006445852485036596,-0.0418551875529633,0.0469861147440172,3.4996857985131,0,0,1,0,53301.06756754189,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.2045541229479,2.0691575619943148,#DIV/0!,#DIV/0!,0.002050285597246955,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1200.02580645161,1009.2045541229479,0.8409857093882783,0.19197141877655666,2,0.5,"0: Broadleaf",1581722337.1,198.701870967742,199.99635483871,21.8392290322581,19.5409903225806,500.023774193548,100.931935483871,0.1000027,27.3988,26.2812612903226,999.9,0,0,10000.3848387097,0,0.00191117,1200.02580645161,0.96700735483871,0.0329923129032258,0,257.710709677419,4.99916,3647.55064516129,11812.4258064516,42.5640322580645,45.062,44.0018064516129,44.141,44.4796774193548,1155.60129032258,39.4293548387097,0,660.599999904633,257.703461538462,-1.30694018047834,-17.0803419240693,3647.26307692308,15,0,--:--:--,0,0,0,0,0,0,0,-1.27711853658537,-0.422362369337949,0.0500306182623409,1,257.753428571429,-0.749848848926434,0.199824106327014,1,2.29911512195122,-0.0196940069686457,0.00203212507051142,1,3,3,3/3,100,100,0,0,2,517.532,502.234,24.4287,27.6416,30.0001,27.5127,27.4658,12.2028,28.0751,0,24.4273,200,19.4663,100.748,100.861
5,1581722434.1,396,"20200214 17:20:34",17:20:34,1581722426.1,0.005845583747274432,-1.6316298416671744,100.403225806452,104.37132381407392,10.544455319188595,10.143565202875934,0.44200922776636353,3.426787674438534,0.41260277321758865,0.2603555784469477,193.73458070695165,27.05321667363962,27.05321667363962,3.5903617970950794,60.116029850485475,2.200053418465844,3.659678498293375,1.3903083786292356,-257.7902432548025,60.24702427486204,3.802440444539404,-0.0061978284493875435,-0.041863750027724,0.04699572687205,3.50025122080533,0,0,1,0,53314.90364887786,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1839943764229,-1.6316298416671744,#DIV/0!,#DIV/0!,-0.001616781331015225,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1200.00129032258,1009.1839943764229,0.8409857576945919,0.191971515389184,2,0.5,"0: Broadleaf",1581722426.1,100.403225806452,99.9853580645161,21.7766096774194,19.4893935483871,500.021548387097,100.928322580645,0.0999573516129032,27.3793258064516,26.2849225806452,999.9,0,0,10002.7887096774,0,0.00191117,1200.00129032258,0.967006322580645,0.0329932935483871,0,261.756387096774,4.99916,3700.26935483871,11812.1935483871,42.556,45.038,43.9836774193548,44.129,44.429,1155.57096774194,39.4303225806452,0,749.399999856949,261.761807692308,-0.797025628159055,-10.4888889121249,3700.19153846154,15,0,--:--:--,0,0,0,0,0,0,0,0.425928097560976,-0.0969397839721324,0.0260979559603344,1,261.807828571429,-0.848716074344853,0.182630068829902,1,2.28747195121951,-0.00237219512193988,0.00101295804336628,1,3,3,3/3,100,100,0,0,2,517.509,502.046,24.4206,27.6208,30.0001,27.4979,27.4519,7.55617,28.0843,0,24.4205,100,19.5059,100.748,100.862
6,1581722505.1,467,"20200214 17:21:45",17:21:45,1581722497.1,0.005841431279047828,-3.8272495191955254,51.4051967741935,64.79385218673988,6.545995043766703,5.193365604161244,0.44228571182022425,3.426763524975503,0.4128435785067455,0.26050899303369013,193.73293324315637,27.04410745057634,27.04410745057634,3.5884421384423266,60.14772599284923,2.199920809207773,3.65752947911832,1.3885213292345537,-257.6071194060092,60.076670767334164,3.7913528795033176,-0.006162516015351116,-0.0418633743232762,0.0469953051108939,3.50022641204682,0,0,1,0,53316.21929997287,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1753234086926,-3.8272495191955254,#DIV/0!,#DIV/0!,-0.0037924525406231894,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1199.99096774194,1009.1753234086926,0.8409857661742979,0.1919715323485957,2,0.5,"0: Broadleaf",1581722497.1,51.4051967741935,49.9944741935484,21.7753516129032,19.489764516129,500.023129032258,100.928064516129,0.0999624161290323,27.3692967741935,26.2785064516129,999.9,0,0,10002.724516129,0,0.00191117,1199.99096774194,0.967005806451613,0.0329937838709677,0,264.096935483871,4.99916,3730.83322580645,11812.0870967742,42.504,45,43.9634838709677,44.1006129032258,44.425,1155.56064516129,39.4303225806452,0,820.200000047684,264.095653846154,-0.00714530049478538,-10.3271795025981,3730.77884615385,15,0,--:--:--,0,0,0,0,0,0,0,1.43577585365854,-0.436685435540099,0.0534532303879327,1,264.138657142857,-0.735428571428996,0.217865481807617,1,2.2859512195122,-0.0026544250871081,0.00109036175496597,1,3,3,3/3,100,100,0,0,2,517.61,502.058,24.4597,27.5994,29.9999,27.4824,27.4379,5.2391,28.0843,0,24.4673,50,19.5059,100.749,100.866
7,1581722598.1,560,"20200214 17:23:18",17:23:18,1581722590.1,0.0058195914314681015,9.393552078483957,395.349741935484,350.55040286088985,35.416362582658095,39.94247244640542,0.43800809123583373,3.4257197873224916,0.4091045797634453,0.25812811891985754,193.73647037361386,27.08840912956501,27.08840912956501,3.597786605756615,60.0616524386392,2.201855549641111,3.665992293319923,1.3959310561155038,-256.6439821277433,59.16500931224513,3.736520259683378,-0.005982182200938269,-0.0418471375737128,0.0469770779370916,3.49915418174316,0,0,1,0,53289.441509722354,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1937685699804,9.393552078483957,#DIV/0!,#DIV/0!,0.00930797669489631,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1200.01290322581,1009.1937685699804,0.8409857642839673,0.19197152856793487,2,0.5,"0: Broadleaf",1581722590.1,395.349741935484,400.027225806452,21.7939193548387,19.516935483871,500.02635483871,100.930709677419,0.100018838709677,27.4087612903226,26.2719806451613,999.9,0,0,9998.58290322581,0,0.00191117,1200.01290322581,0.967005806451613,0.0329937838709677,0,252.913935483871,4.99916,3583.96161290323,11812.2967741935,42.495935483871,45,43.9430967741935,44.066064516129,44.383,1155.58193548387,39.4309677419355,0,913.200000047684,252.932615384615,0.590290602147341,6.05914533371829,3583.96884615385,15,0,--:--:--,0,0,0,0,0,0,0,-4.68022634146341,-0.0722550522648004,0.0427431748798593,1,252.854314285714,0.934802348336837,0.191937753515277,1,2.27600024390244,0.0177213240418153,0.00214937142008709,1,3,3,3/3,100,100,0,0,2,517.665,502.887,24.8093,27.5687,30,27.4568,27.4125,21.0346,28.0843,0,24.8163,400,19.5059,100.755,100.869
8,1581722658.6,620.5,"20200214 17:24:18",17:24:18,1581722650.6,0.005830694845384493,9.517109779537924,395.269774193548,349.9250838106615,35.35178889598523,39.93281493879667,0.43742056223306175,3.424074891925372,0.40857893275759255,0.2577944978677317,193.73210951125716,27.10996181409001,27.10996181409001,3.6023403469129205,59.981532173033955,2.202037388205614,3.671192296077407,1.4003029587073064,-257.13364268145614,59.6270781127072,3.768372286858067,-0.00608277063370366,-0.0418215536175731,0.0469483577050471,3.49746439098557,0,0,1,0,53253.812239974046,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1709879248187,9.517109779537924,#DIV/0!,#DIV/0!,0.009430621662150805,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1199.98580645161,1009.1709879248187,0.8409857704142054,0.19197154082841095,2,0.5,"0: Broadleaf",1581722650.6,395.269774193548,399.998322580645,21.7965806451613,19.5152225806452,500.018451612903,100.926709677419,0.100025848387097,27.4329709677419,26.2894612903226,999.9,0,0,9992.86612903226,0,0.00191117,1199.98580645161,0.96700529032258,0.0329942741935484,0,252.616548387097,4.99916,3580.03612903226,11812.0290322581,42.4715483870968,44.9878064516129,43.909,44.058,44.379,1155.55548387097,39.4303225806452,0,973.799999952316,252.608615384615,-0.329777783017047,-6.54803414834659,3580.025,15,0,--:--:--,0,0,0,0,0,0,0,-4.7237887804878,0.0783802787456687,0.0396185933311265,1,252.585714285714,-0.0212535967027285,0.168916136661036,1,2.28106146341463,0.00963554006968747,0.00123449320296779,1,3,3,3/3,100,100,0,0,2,517.754,503.121,24.6189,27.5526,30.0001,27.4435,27.4009,21.0322,28.0843,0,24.6245,400,19.5059,100.758,100.872
9,1581722779.1,741,"20200214 17:26:19",17:26:19,1581722771.1,0.005865976315789741,13.593105023529429,593.185,527.9981495757769,53.339415479859234,59.92471980601021,0.4395172122355603,3.426765326037738,0.41042952977657976,0.2589712774003483,193.73477142657438,27.128949738678003,27.128949738678003,3.606356362623124,59.94258221825637,2.204043338935746,3.6769242454564686,1.4023130236873778,-258.6895555263276,61.08974820807726,3.858660035265367,-0.006375856410578251,-0.0418634023431985,0.0469953365657113,3.50022826227911,0,0,1,0,53300.093465002945,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1848266345041,13.593105023529429,#DIV/0!,#DIV/0!,0.013469391002300945,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1200.00225806452,1009.1848266345041,0.8409857730286402,0.19197154605728053,2,0.5,"0: Broadleaf",1581722771.1,593.185,600.013774193548,21.817464516129,19.5223709677419,500.022806451613,100.921967741935,0.100006525806452,27.4596225806452,26.3000290322581,999.9,0,0,10003.335483871,0,0.00191117,1200.00225806452,0.967005032258064,0.0329945193548387,0,262.252,4.99916,3714.87806451613,11812.1935483871,42.441064516129,44.937,43.882935483871,44.042,44.3526451612903,1155.57129032258,39.4309677419355,0,1094.39999985695,262.214423076923,-2.09822223158602,-16.268717938301,3714.73384615385,15,0,--:--:--,0,0,0,0,0,0,0,-6.83471146341463,0.0681152613240005,0.0447314317689734,1,262.303514285714,-1.23699199004595,0.237181349715913,0,2.29414292682927,0.0178971428571449,0.00208497089399168,1,2,3,2/3,100,100,0,0,2,517.845,503.284,24.6285,27.5526,30.0001,27.4429,27.4009,29.2072,28.0843,0,24.6189,600,19.5058,100.757,100.867
10,1581722899.6,861.5,"20200214 17:28:19",17:28:19,1581722891.6,0.005849099899232807,14.425183923399779,792.352903225806,719.5847792985224,72.693958290501,80.0451462503195,0.43957906573718236,3.4253826110902588,0.41047257529167014,0.258999685294662,193.73487147146832,27.106255029334225,27.106255029334225,3.601556803920114,60.017178933564416,2.2033843307624075,3.6712560801990173,1.3981724731577065,-257.9453055561668,60.389184962869635,3.8150146731729278,-0.006234448655888514,-0.0418418928277088,0.046971190250237,3.49880780190062,0,0,1,0,53278.502026039125,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1856105054463,14.425183923399779,#DIV/0!,#DIV/0!,0.01429388585532347,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1200.00322580645,1009.1856105054463,0.8409857480401632,0.19197149608032663,2,0.5,"0: Broadleaf",1581722891.6,792.352903225806,799.976225806452,21.8109161290323,19.5224774193548,500.037483870968,100.922032258065,0.100057677419355,27.4332677419355,26.2670064516129,999.9,0,0,9998.18935483871,0,0.00191117,1200.00322580645,0.967004258064516,0.0329952548387097,0,263.223903225806,4.99916,3727.46838709677,11812.2129032258,42.417,44.877,43.8283870967742,44.016,44.3323225806451,1155.57322580645,39.43,0,1215,263.246807692308,-1.38868374825575,-31.3487179935779,3727.12730769231,15,0,--:--:--,0,0,0,0,0,0,0,-7.64442926829268,0.319067247386913,0.0740518358129593,1,263.3518,-2.20691729323249,0.291345528784737,0,2.2892956097561,-0.0128466898954725,0.0020989289356665,1,2,3,2/3,100,100,0,0,2,517.782,504.236,24.6535,27.5397,29.9997,27.4237,27.3768,36.9626,28.0843,0,24.667,800,19.5007,100.752,100.869
11,1581722973.1,935,"20200214 17:29:33",17:29:33,1581722965.1,0.005853090540813509,14.187581023835339,992.000548387097,915.4949270737429,92.48777062643718,100.21674229674397,0.4385128801207102,3.4264399825028327,0.4095507296127899,0.25841176826593176,193.73246989396316,27.12231917887768,27.12231917887768,3.6049535310657537,59.93813092699647,2.2026569951418526,3.6748843533753965,1.402296535923901,-258.1212928498757,60.55746270209513,3.8250941873560134,-0.006266066461428466,-0.0418583409397169,0.0469896546968999,3.4998940368679,0,0,1,0,53295.658940332265,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1728846990142,14.187581023835339,#DIV/0!,#DIV/0!,0.014058622896974472,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1199.98806451613,1009.1728846990142,0.8409857685592415,0.1919715371184828,2,0.5,"0: Broadleaf",1581722965.1,992.000548387097,999.997774193548,21.8031129032258,19.5130129032258,500.01964516129,100.924935483871,0.0999505,27.4501419354839,26.2663161290323,999.9,0,0,10001.8319354839,0,0.00191117,1199.98806451613,0.967001967741935,0.0329976774193548,0,261.517064516129,4.99916,3703.84935483871,11812.0258064516,42.3526451612903,44.816064516129,43.774,43.937,44.274,1155.55774193548,39.4303225806452,0,1288.20000004768,261.538923076923,-0.277128204301591,-11.1326495723407,3703.82653846154,15,0,--:--:--,0,0,0,0,0,0,0,-8.01846756097561,0.415346132404216,0.0718879478273768,1,261.599228571429,-0.89483365949114,0.217406674324447,1,2.28896609756098,0.0153083623693389,0.00214947171961129,1,3,3,3/3,100,100,0,0,2,517.755,504.992,24.9848,27.4767,29.9996,27.37,27.3209,44.3895,28.0843,0,24.9932,1000,19.5007,100.766,100.884
12,1581723093.6,1055.5,"20200214 17:31:33",17:31:33,1581723085.6,0.005832441359343839,13.502844319147446,1191.81193548387,1112.603245463856,112.40808000686934,120.41066026295785,0.43294303732066375,3.426265043034291,0.4046851859637694,0.2553132430200171,193.73691421115248,27.16266620149955,27.16266620149955,3.6134971495315473,59.72155107799292,2.1992880154089773,3.682570153840836,1.41420913412257,-257.2106639470633,59.6953918817793,3.772266787789716,-0.006091066341838314,-0.0418556194794176,0.0469865996193009,3.49971432171336,0,0,1,0,53286.14882298868,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1940054167957,13.502844319147446,#DIV/0!,#DIV/0!,0.013379830088834891,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1200.01290322581,1009.1940054167957,0.8409859616541911,0.19197192330838253,2,0.5,"0: Broadleaf",1581723085.6,1191.81193548387,1199.99322580645,21.7683193548387,19.4862161290323,500.01935483871,100.931612903226,0.0999816612903226,27.4858387096774,26.2843677419355,999.9,0,0,10000.52,0,0.00191117,1200.01290322581,0.966999258064516,0.0330005806451613,0,257.473322580645,4.99916,3646.43806451613,11812.2612903226,42.294,44.7256129032258,43.7053225806451,43.8241935483871,44.195129032258,1155.57903225806,39.4390322580645,0,1408.79999995232,257.498807692308,-0.0595897452315387,-1.8123077055344,3646.37346153846,15,0,--:--:--,0,0,0,0,0,0,0,-8.15612146341463,-0.519684668989399,0.069475504423729,0,257.574685714286,-1.24413562485473,0.211876348228812,0,2.28322048780488,-0.0193496864111453,0.002239301885137,1,1,3,1/3,100,100,0,0,2,517.978,506.152,24.8329,27.3488,29.9998,27.2627,27.2202,51.5543,28.0843,0,24.8359,1200,19.5009,100.79,100.901
13,1581723214.1,1176,"20200214 17:33:34",17:33:34,1581723206.1,0.005696734032927363,12.625938530221072,1491.54096774194,1407.6048578251643,142.20570170592237,150.6854915722508,0.42126816590619837,3.4262659870988807,0.39446318927660484,0.24880554860585488,193.74222050287088,27.175218917286692,27.175218917286692,3.6161588316404134,59.780514384941284,2.1991489870681225,3.6787053602571342,1.417009844572291,-251.2259708520967,54.0625323476322,3.41622246953026,-0.004995532063375663,-0.0418556341656648,0.0469866161059,3.49971529154974,0,0,1,0,53289.24278872724,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.2216734767882,12.625938530221072,#DIV/0!,#DIV/0!,0.012510570137405462,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1220,300,300,300,7212.56,295.697,-0.00509639,0.93457,1200.04580645161,1009.2216734767882,0.8409859590784575,0.1919719181569151,2,0.5,"0: Broadleaf",1581723206.1,1491.54096774194,1499.98967741935,21.7679935483871,19.5390161290323,500.025483870968,100.926709677419,0.100010225806452,27.4678967741935,26.2935258064516,999.9,0,0,10001.0093548387,0,0.00191117,1200.04580645161,0.966998806451613,0.033001064516129,0,255.99335483871,4.99916,3625.04709677419,11812.6032258065,42.258,44.683,43.653,43.804,44.163,1155.61064516129,39.44,0,1529.39999985695,255.973,-1.16827350996908,-31.1282051534776,3624.77,15,0,--:--:--,0,0,0,0,0,0,0,-8.43338268292683,-0.390780418118591,0.0721413408432056,1,256.222057142857,-3.45452367991282,0.418373171965424,0,2.24226024390244,-0.251472752613362,0.0308045602806931,0,1,3,1/3,100,100,0,0,2,518.043,507.288,24.715,27.2791,30.0001,27.193,27.1547,61.8746,27.8079,0,24.7181,1500,19.5383,100.8,100.902
