SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1581882838.6,0,"20200216 13:53:58",13:53:58,1581882830.6,0.006172658607462006,24.249096535973067,389.296129032258,307.223223887631,31.100370644660575,39.40865456142451,0.5539670555239139,3.4285392830621335,0.5086174033616471,0.32165042262103566,193.73279259291343,26.91444137721067,26.137464516129,3.401803118932943,60.54568172085102,2.207290295981227,3.645660983979093,1.1945128229517161,-272.2142445890745,217.43613787978626,13.649199008823656,152.60388489244883,-0.0418910038670093,0.0470263216942152,3.50205065514174,35,7,1,0,53362.038177588314,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.171839429475,24.249096535973067,#DIV/0!,#DIV/0!,0.024028709074642874,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1199.9864516129,1009.171839429475,0.8409860278614384,0.19197205572287698,2,0.5,"0: Broadleaf",1581882830.6,389.296129032258,399.956548387097,21.8045903225806,19.3894580645161,500.019516129032,101.030516129032,0.200016677419355,27.3138161290323,26.137464516129,999.9,0,0,9999.17612903226,0,0.00155360032258064,1199.9864516129,0.966996612903226,0.0330034129032258,0,324.557903225806,4.99927,4007.10741935484,11225.2870967742,42.191064516129,44.687,43.937,44.0640322580645,44.437,1155.54580645161,39.4406451612903,0,304.799999952316,324.199576923077,-32.9142905599249,-405.551794362261,4002.66884615385,15,0,--:--:--,0,0,0,0,0,0,0,-10.6316756097561,-0.395004878048792,0.0555940064346641,1,320.834,0,0,-1,2.40931073170732,0.0775705923344954,0.0127562865210087,1,2,2,2/2,100,100,0,0,2,454.332,570.911,23.841,27.8898,30.0016,27.8041,27.78,20.2906,29.2352,60.8055,23.7335,400,19.314,100.35,100.452
2,1581882909.6,71,"20200216 13:55:09",13:55:09,1581882901.6,0.006330985547379648,25.246062061104748,388.915032258065,305.2830796609748,30.904398442646393,39.3706232608291,0.5660337284049363,3.4277396724196785,0.5187670884843709,0.3281466032499215,193.7381164235516,26.606039478974598,25.990835483871,3.372429029978274,60.50575233199068,2.170828500430272,3.5878051536638917,1.201600529548002,-279.1964626394425,194.08201729720523,12.160457532871817,120.78412861418616,-0.0418785616740992,0.0470123542426776,3.50122921063072,39,8,1,0,53395.35772056559,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1995168488364,25.246062061104748,#DIV/0!,#DIV/0!,0.02501592761353476,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1200.01935483871,1009.1995168488364,0.840986033083174,0.19197206616634832,2,0.5,"0: Broadleaf",1581882901.6,388.915032258065,399.997741935484,21.4441064516129,18.9661516129032,500.027129032258,101.031935483871,0.20000464516129,27.0410838709677,25.990835483871,999.9,0,0,9996.06580645161,0,0.00152894,1200.01935483871,0.966997129032258,0.0330029290322581,0,304.409741935484,4.99927,3763.44806451613,11225.5838709677,42.25,44.75,43.9491935483871,44.125,44.5,1155.57741935484,39.441935483871,0,375.599999904633,304.352846153846,-8.89586325235235,-101.090940248392,3762.67961538462,15,0,--:--:--,0,0,0,0,0,0,0,-11.0606048780488,-0.435054355400699,0.0696360852320731,1,303.247,0,0,-1,2.48056853658537,0.0152914285714278,0.0130273153105266,1,2,2,2/2,100,100,0,0,2,448.403,568.815,25.1814,27.9943,29.9971,27.8616,27.8362,20.2969,30.9357,59.2766,24.9976,400,18.8404,100.336,100.439
3,1581882982.6,144,"20200216 13:56:22",13:56:22,1581882974.6,0.0059217241166580415,20.067164522578622,291.270838709677,218.33026389664033,22.102586920319716,29.486700171730632,0.506363341932932,3.4280213679213283,0.4681798884794996,0.2958027565243704,193.7373394651556,26.70825007292228,26.1882516129032,3.412029231028611,60.358479061195055,2.1668554216006215,3.589976843856077,1.2451738094279894,-261.14803354461964,159.51794927498233,10.004370497822064,102.11162569334036,-0.0418829447922558,0.0470172746767907,3.50151859773677,36,7,1,0,53398.94172373713,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1956933139727,20.067164522578622,#DIV/0!,#DIV/0!,0.019884314464999893,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1200.01483870968,1009.1956933139727,0.8409860118055822,0.1919720236111646,2,0.5,"0: Broadleaf",1581882974.6,291.270838709677,299.987419354839,21.4042870967742,19.0863548387097,500.01235483871,101.034612903226,0.200032838709677,27.0513903225806,26.1882516129032,999.9,0,0,9996.84709677419,0,0.00157826129032258,1200.01483870968,0.966998419354839,0.0330017193548387,0,291.545935483871,4.99927,3609.26774193548,11225.5516129032,42.312,44.796,44,44.187,44.554,1155.57483870968,39.4409677419355,0,448.799999952316,291.483769230769,-5.11644443197791,-67.9586323907727,3608.50884615385,15,0,--:--:--,0,0,0,0,0,0,0,-8.68482146341463,-0.497461254355408,0.0578350464076962,1,291.063,0,0,-1,2.32749634146341,-0.0767951916376343,0.0266689862589212,1,2,2,2/2,100,100,0,0,2,451.87,569.04,22.656,28.0287,30.0005,27.9064,27.8802,16.1553,29.8225,57.3843,22.5022,300,18.8994,100.332,100.43
4,1581883086.6,248,"20200216 13:58:06",13:58:06,1581883078.6,0.006040339133207019,13.656631885802788,194.058967741936,144.11641366259283,14.589693899257533,19.64565219052232,0.5028670523957596,3.428928277321058,0.4651972174562638,0.29389724157031594,193.73605709381772,26.357921672033974,26.0365967741935,3.381572483619925,59.69627335472164,2.102688618084693,3.5223113603596197,1.278883865535232,-266.3789557744295,127.75283524073595,7.991008233503169,63.10094479362732,-0.0418970572229245,0.0470331171165331,3.50245027197969,44,9,1,0,53473.910429004805,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1886781391639,13.656631885802788,#DIV/0!,#DIV/0!,0.013532288046457435,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1200.0064516129,1009.1886781391639,0.8409860436856298,0.19197208737125976,2,0.5,"0: Broadleaf",1581883078.6,194.058967741936,199.990225806452,20.7702741935484,18.4044290322581,500.022548387097,101.035516129032,0.199961,26.7276741935484,26.0365967741935,999.9,0,0,10000.1261290323,0,0.00155360064516129,1200.0064516129,0.966996870967742,0.0330031709677419,0,286.156,4.99927,3545.19,11225.4709677419,42.3241935483871,44.812,44.062,44.25,44.562,1155.56451612903,39.441935483871,0,552.599999904633,286.160192307692,-2.8409230712881,-24.9011965807152,3545.00384615385,15,0,--:--:--,0,0,0,0,0,0,0,-5.93315,0.00125477351917514,0.0174511309298769,1,285.599,0,0,-1,2.37056365853659,-0.0956690592334537,0.00950314575801283,1,2,2,2/2,100,100,0,0,2,442.608,566.542,23.3368,28.0441,30.0002,27.9472,27.9213,11.8138,31.9404,54.745,23.3338,200,18.503,100.331,100.431
5,1581883161.6,323,"20200216 13:59:21",13:59:21,1581883153.6,0.005795957753594403,6.8465896188123425,97.0250516129032,71.22826181066392,7.210905029955598,9.822483588985166,0.4853755461064323,3.427581544960801,0.4501697048554359,0.28430607929473234,193.7313329271464,26.283439019648267,26.0045,3.3751570402032502,60.2760309858698,2.1070227231585523,3.4956228681554875,1.268134317044698,-255.60173693351317,109.7639390936447,6.862940030223378,54.75647511750131,-0.0418761013193127,0.0470095922788909,3.50106676568027,39,8,1,0,53471.32374721359,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1642426552847,6.8465896188123425,#DIV/0!,#DIV/0!,0.0067844155880888,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1199.97741935484,1009.1642426552847,0.8409860272186248,0.19197205443724993,2,0.5,"0: Broadleaf",1581883153.6,97.0250516129032,99.9884451612903,20.8128612903226,18.5428709677419,500.030967741935,101.036612903226,0.199958741935484,26.5985,26.0045,999.9,0,0,9995.01580645161,0,0.00154897677419355,1199.97741935484,0.966995064516129,0.033004864516129,0,288.228741935484,4.99927,3569.49032258065,11225.2032258065,42.375,44.8485806451613,44.062,44.254,44.562,1155.53709677419,39.4403225806452,0,627.599999904633,288.238769230769,-2.47692307963159,-29.3411965984376,3569.29269230769,15,0,--:--:--,0,0,0,0,0,0,0,-2.93868195121951,-0.497172125435526,0.0620288699196577,1,287.85,0,0,-1,2.2668243902439,0.0596939372822283,0.00795777394072062,1,2,2,2/2,100,100,0,0,2,448.629,566.825,22.9937,28.0345,30.0001,27.9671,27.9414,7.33474,30.5469,52.8579,22.9986,100,18.499,100.337,100.427
6,1581883229.6,391,"20200216 14:00:29",14:00:29,1581883221.6,0.005840117472156033,3.161737503814282,48.5995870967742,36.63414482972038,3.7085891495311474,4.919888323217247,0.4867179787268077,3.4269067294784508,0.4513183088892989,0.28503961084044,193.73064551002847,26.24727593999973,25.9922161290323,3.3727045771396096,60.11431400075619,2.0981314031485194,3.4902359579818656,1.2745731739910902,-257.54918052208103,107.17547653183941,6.701125005124765,50.05806652491161,-0.0418656022402474,0.0469978061428702,3.5003735261537,38,8,1,0,53463.06111597595,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1607103972144,3.161737503814282,#DIV/0!,#DIV/0!,0.0031330366622872134,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1199.97322580645,1009.1607103972144,0.8409860225997969,0.19197204519959404,2,0.5,"0: Broadleaf",1581883221.6,48.5995870967742,49.9777129032258,20.7257387096774,18.4382741935484,500.036322580645,101.033193548387,0.199936548387097,26.5723225806452,25.9922161290323,999.9,0,0,9992.84806451613,0,0.00152894,1199.97322580645,0.966994806451613,0.0330051064516129,0,290.072741935484,4.99927,3589.81774193548,11225.1548387097,42.375,44.875,44.070129032258,44.25,44.562,1155.53322580645,39.44,0,695.399999856949,290.066269230769,-1.20652991973273,-18.1388034162441,3589.75076923077,15,0,--:--:--,0,0,0,0,0,0,0,-1.35061951219512,-0.452450801393677,0.0640763996336089,1,289.692,0,0,-1,2.28826634146341,-0.00330146341463325,0.00404918345041447,1,2,2,2/2,100,100,0,0,2,450.306,566.513,23.3442,28.0076,29.9998,27.9647,27.939,5.13285,30.5469,51.3612,23.3495,50,18.4447,100.34,100.438
7,1581883309.6,471,"20200216 14:01:49",14:01:49,1581883301.6,0.005757055373444602,25.913316277757673,388.743741935484,289.63706410376665,29.31988996311346,39.35243499538407,0.4796551967586927,3.429511318814806,0.4452606456319292,0.28117231673731474,193.74148096932387,26.307946799221597,25.9627096774194,3.366820000764201,59.82733393478207,2.0932550637347487,3.4988272517986703,1.2735649370294522,-253.88614196890694,120.42838855434505,7.524504962367991,67.80823251712997,-0.0419061308478981,0.0470433030554592,3.50304923609548,41,8,1,0,53505.175582880496,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.2171394294788,25.913316277757673,#DIV/0!,#DIV/0!,0.025676651005359208,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1200.04032258065,1009.2171394294788,0.84098602391892,0.19197204783783992,2,0.5,"0: Broadleaf",1581883301.6,388.743741935484,400.003612903226,20.6782580645161,18.4231870967742,500.029451612903,101.029774193548,0.199984,26.6140548387097,25.9627096774194,999.9,0,0,10002.8603225806,0,0.00152894,1200.04032258065,0.966995064516129,0.033004864516129,0,283.078516129032,4.99927,3509.48741935484,11225.7903225806,42.370935483871,44.870935483871,44.0782580645161,44.25,44.562,1155.59806451613,39.4422580645161,0,775.799999952316,283.156615384615,8.47760682511541,94.0782904666358,3510.45730769231,15,0,--:--:--,0,0,0,0,0,0,0,-11.2915585365854,0.489522648083576,0.0650555896460856,1,284.402,0,0,-1,2.26319,-0.0964990243902336,0.0171740016218503,1,2,2,2/2,100,100,0,0,2,445.734,567.125,23.7562,27.9552,29.9999,27.9475,27.9219,20.3269,30.2678,49.4769,23.7663,400,18.4637,100.349,100.448
8,1581883370.1,531.5,"20200216 14:02:50",14:02:50,1581883362.1,0.005791320902351344,26.337643331052032,388.569193548387,288.17127754738806,29.171413508488644,39.33463708851401,0.48089563503449945,3.428840926091716,0.44632359039896297,0.28185100922445966,193.73624197021906,26.36567725368071,26.0131322580645,3.3768813939590543,59.75757248670328,2.0988935665047737,3.5123474384301683,1.2779878274542806,-255.39725179369427,123.19080136887428,7.703082477999451,69.23287402339852,-0.0418956978743554,0.0470315911286788,3.50236053533178,41,8,1,0,53480.702317874915,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.189994268175,26.337643331052032,#DIV/0!,#DIV/0!,0.026097804655852794,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1200.00806451613,1009.189994268175,0.8409860101024429,0.19197202020488616,2,0.5,"0: Broadleaf",1581883362.1,388.569193548387,400.00335483871,20.7340258064516,18.4657322580645,500.044935483871,101.029451612903,0.199976096774194,26.6795483870968,26.0131322580645,999.9,0,0,10000.4019354839,0,0.00156438967741936,1200.00806451613,0.966995064516129,0.033004864516129,0,289.065096774194,4.99927,3578.01838709677,11225.4677419355,42.370935483871,44.8587419354839,44.062,44.25,44.562,1155.56741935484,39.4406451612903,0,836.399999856949,289.093423076923,2.94943589484286,29.0728205233166,3578.37076923077,15,0,--:--:--,0,0,0,0,0,0,0,-11.4253463414634,-0.0737435540069667,0.0343887467240267,1,289.608,0,0,-1,2.26486146341463,0.0578958188153297,0.00778668236469557,1,2,2,2/2,100,100,0,0,2,446.44,566.972,23.5027,27.9163,29.9992,27.9269,27.9034,20.329,29.7107,47.9798,23.5255,400,18.5776,100.355,100.454
9,1581883458.6,620,"20200216 14:04:18",14:04:18,1581883450.6,0.005796041254991344,35.0561865589804,584.620129032258,450.8415222354556,45.63872375588558,59.181142940731334,0.4856750609685401,3.428881565696174,0.4504397721766069,0.28447729195700233,193.7331167057102,26.36033991897388,25.9931032258065,3.3728816330046865,59.96210582559307,2.105548782118921,3.5114657050957487,1.2673328508857655,-255.60541934511826,126.10645622386711,7.884344615836939,72.11849820029597,-0.041896330300657,0.047032301082606,3.50240228473359,38,8,1,0,53482.2516458909,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.17371684882,35.0561865589804,#DIV/0!,#DIV/0!,0.034737514437498986,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1199.98870967742,1009.17371684882,0.8409860098767973,0.19197201975359462,2,0.5,"0: Broadleaf",1581883450.6,584.620129032258,599.997161290323,20.799635483871,18.529564516129,500.027161290323,101.030096774194,0.199984096774194,26.6752838709677,25.9931032258065,999.9,0,0,10000.4890322581,0,0.00152894,1199.98870967742,0.966993774193548,0.0330060741935484,0,310.401419354839,4.99927,3831.95903225806,11225.2967741935,42.312,44.812,44.062,44.2215483870968,44.562,1155.54870967742,39.44,0,924.599999904633,310.403692307692,2.20540172236775,19.2707692696007,3832.15807692308,15,0,--:--:--,0,0,0,0,0,0,0,-15.4012585365854,0.471029268292674,0.0576283211861708,1,310.914,0,0,-1,2.26967317073171,0.0192794425087136,0.00503594612372837,1,2,2,2/2,100,100,0,0,2,449.551,567.435,23.6355,27.8585,29.9999,27.8879,27.8626,28.1252,29.4246,46.0968,23.6399,600,18.5686,100.37,100.464
10,1581883536.6,698,"20200216 14:05:36",14:05:36,1581883528.6,0.005714332204886792,37.714787422644335,783.10035483871,633.5601754308734,64.13697990781579,79.27532959270386,0.47620607841779294,3.4290528871907364,0.4422814650680525,0.27927224665487815,193.7361390037324,26.394084868247734,26.0112322580645,3.3765017896820986,59.86287264858462,2.1039672933042635,3.5146447208694203,1.2725344963778351,-252.00205023550754,125.60288165169959,7.853786320492105,75.19075674041656,-0.0418989964132475,0.0470352940275531,3.50257828478862,38,8,1,0,53482.82918851252,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.189452332692,37.714787422644335,#DIV/0!,#DIV/0!,0.03737136504495608,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1200.00741935484,1009.189452332692,0.840986010632553,0.19197202126510618,2,0.5,"0: Broadleaf",1581883528.6,783.10035483871,799.975,20.7834838709677,18.5454193548387,500.036387096774,101.032709677419,0.199947290322581,26.6906548387097,26.0112322580645,999.9,0,0,10000.8667741935,0,0.00157826129032258,1200.00741935484,0.966993774193548,0.0330060741935484,0,312.638419354839,4.99927,3860.74774193548,11225.4709677419,42.312,44.81,44.062,44.191064516129,44.562,1155.56677419355,39.4406451612903,0,1002.59999990463,312.595961538462,-5.72317949490573,-75.7213675891108,3860.08346153846,15,0,--:--:--,0,0,0,0,0,0,0,-16.8986170731707,0.225079442508721,0.0729107570183897,1,312.255,0,0,-1,2.24450682926829,-0.0924489198606328,0.0147498926724536,1,2,2,2/2,100,100,0,0,2,449.768,567.957,23.5726,27.8082,29.9999,27.8491,27.8257,35.5205,28.8696,44.589,23.5661,800,18.5943,100.377,100.474
11,1581883605.6,767,"20200216 14:06:45",14:06:45,1581883597.6,0.005627650172390706,37.522370002610295,982.774903225806,827.8620829031813,83.80805763359945,99.49055214796691,0.4686490996578417,3.428206017061725,0.4357452748707531,0.27510431794746115,193.73691125238335,26.392049042337696,26.0143709677419,3.3771288979733014,59.97039972440217,2.105089048616833,3.510213469129613,1.2720398493564682,-248.17937260243016,121.03121610953887,7.569101029996913,74.15785578948898,-0.0418858179809645,0.0470205000828214,3.50170828881994,41,8,1,0,53470.55266384731,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1935168488202,37.522370002610295,#DIV/0!,#DIV/0!,0.037180549989830385,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1200.01225806452,1009.1935168488202,0.8409860066567418,0.1919720133134839,2,0.5,"0: Broadleaf",1581883597.6,982.774903225806,999.995032258064,20.7942225806452,18.5901129032258,500.032064516129,101.034322580645,0.200000580645161,26.6692258064516,26.0143709677419,999.9,0,0,9997.56161290323,0,0.00152894,1200.01225806452,0.966993774193548,0.0330060741935484,0,308.145322580645,4.99927,3808.92290322581,11225.5129032258,42.312,44.75,44.056,44.187,44.54,1155.57161290323,39.4406451612903,0,1071.59999990463,308.1755,4.97870085649545,63.8488889284247,3809.29230769231,15,0,--:--:--,0,0,0,0,0,0,0,-17.2501195121951,0.404675958188221,0.0772068467187324,1,308.709,0,0,-1,2.20622121951219,-0.0441597909407658,0.00541786709680511,1,2,2,2/2,100,100,0,0,2,446.51,567.658,23.3983,27.7782,30,27.8233,27.8005,42.6518,28.584,43.0812,23.3963,1000,18.6206,100.382,100.481
12,1581883673.6,835,"20200216 14:07:53",14:07:53,1581883665.6,0.005451013417545349,38.186747124591705,1182.16032258065,1016.3097913688401,102.88901067176654,119.67936064250407,0.4528511562576605,3.4287871137005648,0.4220549763619733,0.2663765490915198,193.73383747111703,26.385629980193933,26.0147032258064,3.3771952884635548,60.13285207305989,2.1050698118531823,3.500698435683004,1.2721254766103725,-240.3896917137499,112.46979249298977,7.030877440791889,72.8448156911488,-0.0418948604607988,0.0470306510586001,3.50230525342656,42,8,1,0,53489.92821251594,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1775103972025,38.186747124591705,#DIV/0!,#DIV/0!,0.03783947494981509,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1199.99322580645,1009.1775103972025,0.8409860061659842,0.1919720123319685,2,0.5,"0: Broadleaf",1581883665.6,1182.16032258065,1200.01129032258,20.7933096774194,18.6584,500.036967741936,101.037838709677,0.200003870967742,26.6231322580645,26.0147032258064,999.9,0,0,9999.37193548387,0,0.00152894,1199.99322580645,0.966993258064516,0.0330065580645161,0,306.061258064516,4.99927,3782.13032258064,11225.3387096774,42.312,44.75,44.05,44.125,44.504,1155.55322580645,39.44,0,1139.39999985695,306.040653846154,0.850017081433563,2.89504271537962,3782.13076923077,15,0,--:--:--,0,0,0,0,0,0,0,-17.8809756097561,0.444351219512196,0.0979615424304862,1,306.051,0,0,-1,2.13489146341463,0.0147714982578388,0.00394747314112219,1,2,2,2/2,100,100,0,0,2,445.132,567.801,23.2306,27.7664,30,27.8068,27.7865,49.5505,28.0167,41.9592,23.2178,1200,18.6843,100.386,100.48
13,1581883742.6,904,"20200216 14:09:02",14:09:02,1581883734.6,0.005296028684779569,38.19041567109768,1481.58935483871,1304.9814800338304,132.11685380870185,149.99670661431938,0.43778995911733076,3.4300264546975785,0.40894790550119525,0.2580252735517664,193.73632680175265,26.35486101477292,26.0030161290323,3.374860704101328,60.197642175619734,2.0992051055003835,3.487188251287638,1.2756555986009444,-233.554864998779,102.53433147334363,6.404977626359855,69.12077090267712,-0.041914148278148,0.0470523033232802,3.50357844116361,48,10,1,0,53525.327748971715,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1905265262333,38.19041567109768,#DIV/0!,#DIV/0!,0.03784262204933109,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1602,300,300,300,8200.44,321.404,-0.00578963,0.400574,1200.00870967742,1009.1905265262333,0.8409860015078712,0.19197200301574233,2,0.5,"0: Broadleaf",1581883734.6,1481.58935483871,1500.00322580645,20.7348548387097,18.6604709677419,500.024741935484,101.040419354839,0.199985838709677,26.5574967741935,26.0030161290323,999.9,0,0,10003.72,0,0.00155360064516129,1200.00870967742,0.966994032258064,0.0330058322580645,0,304.421290322581,4.99927,3762.48548387097,11225.5032258065,42.316064516129,44.7418709677419,44.054,44.125,44.508,1155.56838709677,39.4403225806452,0,1208.39999985695,304.413307692308,-2.22071795461037,-21.5887180314388,3762.31884615385,15,0,--:--:--,0,0,0,0,0,0,0,-18.4358585365854,0.198878048780483,0.0912401200147032,1,304.083,0,0,-1,2.07459097560976,-0.00564961672474021,0.00242231778229648,1,2,2,2/2,100,100,0,0,2,437.738,567.536,23.3378,27.764,30.0002,27.7997,27.7794,59.5441,27.7437,40.8374,23.3082,1500,18.6876,100.384,100.478
