SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1581795668.1,0,"20200215 13:41:08",13:41:08,1581795660.1,0.0034049062077635356,17.841917828660527,392.309709677419,273.17331832161193,27.525662792996545,39.53015926059674,0.2641855566418861,3.414146605873164,0.2533313758138593,0.15927015464643934,193.73312083798743,26.539282805946325,26.0643548387097,3.3871292993495388,60.195208775924044,2.069496758804583,3.437975880286852,1.3176325405449556,-150.1563637623719,46.414276307463545,2.9102066372119584,92.90124002029103,-0.0416672532503756,0.0467751420254133,3.48726533482384,0,0,1,0,53255.41559967669,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1763974937993,17.841917828660527,#DIV/0!,#DIV/0!,0.017679682038709347,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.99225806452,1009.1763974937993,0.840985756959391,0.19197151391878226,2,0.5,"0: Broadleaf",1581795660.1,392.309709677419,399.980548387097,20.538335483871,19.2043870967742,500.015612903226,100.56264516129,0.199987741935484,26.3165193548387,26.0643548387097,999.9,0,0,9992.04096774193,0,0.00152894,1199.99225806452,0.967002,0.0329979,0,272.717612903226,4.99927,3384.27612903226,11225.3516129032,41.411,43.812,43.125,43.1128064516129,43.625,1155.56225806452,39.43,0,1581795682,272.657923076923,-9.26372646917619,-110.621880192164,3383.08038461538,15,0,--:--:--,0,0,0,0,0,0,0,-7.61557219512195,-0.964792473867605,0.0990446747318725,0,273.241735294118,-9.99360101437113,1.00660963602707,-1,1.32679414634146,0.120852543554002,0.0161239906056706,0,0,2,0/2,100,100,0,0,2,501.565,576.178,22.9824,26.6777,30.0002,26.6321,26.6092,20.2975,33.777,89.8782,22.9507,400,19.1902,100.539,100.658
2,1581795731.1,63,"20200215 13:42:11",13:42:11,1581795723.1,0.0035289804488774076,18.987482856919236,391.832548387097,270.08475397623664,27.214383988921018,39.481982134031,0.27499033172288423,3.417315167097426,0.2632617509339378,0.16555067435807466,193.73523165097876,26.411560791815756,25.9959870967742,3.3734572816208175,60.24805779694425,2.0591658000797857,3.417812748453819,1.3142914815410318,-155.62803779549367,40.702704566853505,2.547574204123577,81.35747262646217,-0.0417164751304527,0.0468303978978734,3.49052027182349,0,0,1,0,53333.499117053594,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1875071712093,18.987482856919236,#DIV/0!,#DIV/0!,0.01881462336978573,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200.00548387097,1009.1875071712093,0.8409857460949084,0.19197149218981707,2,0.5,"0: Broadleaf",1581795723.1,391.832548387097,399.980193548387,20.4358580645161,19.0531903225806,500.027967741936,100.562387096774,0.199998,26.2169161290323,25.9959870967742,999.9,0,0,10003.8703225806,0,0.00155267548387097,1200.00548387097,0.967002,0.0329979,0,265.450548387097,4.99927,3297.51258064516,11225.4709677419,41.437,43.758,43.125,43.120935483871,43.629,1155.57548387097,39.43,0,1581795745,265.404730769231,-3.16947008149401,-42.9254700184581,3297.09038461538,15,0,--:--:--,0,0,0,0,0,0,0,-8.14893097560975,-0.0587964459930326,0.0312541608394769,1,265.6375,-3.56982248520727,0.38491032187037,-1,1.37672829268293,0.0629596515679442,0.0208839987646557,1,2,2,2/2,100,100,0,0,2,501.94,575.414,23.621,26.6868,30,26.6467,26.6246,20.3141,34.0509,87.983,23.5678,400,19.0879,100.544,100.661
3,1581795809.1,141,"20200215 13:43:29",13:43:29,1581795801.1,0.0034092811209875343,15.790258109692711,293.260935483871,187.9903000984368,18.942364900002186,29.5496929785351,0.2616313578207339,3.417557303017958,0.25099165803010925,0.15778966684143703,193.7345623688102,26.435412307273488,26.0558806451613,3.3854320272065266,60.098866633420776,2.0536913576117883,3.417188164526446,1.3317406695947382,-150.34929743555026,29.10038295942727,1.821776860329672,74.30742475301687,-0.0417202374391711,0.0468346214190061,3.49076900993663,0,0,1,0,53338.66489094733,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1839845905643,15.790258109692711,#DIV/0!,#DIV/0!,0.01564656034062904,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200.00129032258,1009.1839845905643,0.8409857495397185,0.19197149907943714,2,0.5,"0: Broadleaf",1581795801.1,293.260935483871,299.97664516129,20.3815129032258,19.0456580645161,500.023612903226,100.562451612903,0.20000735483871,26.2138225806452,26.0558806451613,999.9,0,0,10004.7661290323,0,0.00152894,1200.00129032258,0.967001774193549,0.0329981387096774,0,262.027483870968,4.99927,3254.21258064516,11225.4290322581,41.437,43.75,43.125,43.0842903225806,43.625,1155.57129032258,39.43,0,1581795823,261.987423076923,-2.63866666402935,-27.0441025227358,3253.95153846154,15,0,--:--:--,0,0,0,0,0,0,0,-6.69368926829268,-0.401670104529615,0.0474905104970402,1,262.148617647059,-2.41742180896028,0.282331992176283,-1,1.33772048780488,-0.035004459930314,0.00368420488242781,1,2,2,2/2,100,100,0,0,2,502.098,574.517,22.5882,26.6891,30.0001,26.6611,26.6381,16.1891,34.0509,86.0993,22.5692,300,19.0908,100.542,100.665
4,1581795887.1,219,"20200215 13:44:47",13:44:47,1581795879.1,0.0034915135776976964,10.97233193471666,195.331225806452,123.89112240163837,12.483675168674635,19.682213914905468,0.2678157169921105,3.418994493648044,0.2566830604941583,0.16138857541849994,193.73440791907998,26.329932454229958,26.0408677419355,3.382426959059307,60.26261743697724,2.0487400239335476,3.399686424301307,1.3336869351257592,-153.9757487764684,15.86442199899608,0.9922387454820837,56.615319887089754,-0.0417425710224547,0.0468596928227713,3.49224539209232,0,0,1,0,53381.565754368276,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1831716873436,10.97233193471666,#DIV/0!,#DIV/0!,0.01087248801064631,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200.00032258065,1009.1831716873436,0.840985750334678,0.19197150066935628,2,0.5,"0: Broadleaf",1581795879.1,195.331225806452,199.992806451613,20.3322096774194,18.9640451612903,500.016387096774,100.563322580645,0.199951870967742,26.126935483871,26.0408677419355,999.9,0,0,10010.0351612903,0,0.00152894,1200.00032258065,0.967001548387097,0.0329983774193548,0,260.621677419355,4.99927,3235.49064516129,11225.4322580645,41.437,43.75,43.125,43.153,43.625,1155.57032258065,39.43,0,1581795901,260.619846153846,-1.65770940398136,-26.6964102237049,3235.19192307692,15,0,--:--:--,0,0,0,0,0,0,0,-4.63510731707317,-0.376875261324068,0.0488360900646427,1,260.727970588235,-1.9710228233306,0.26776729199878,-1,1.36094853658537,0.0742670383275343,0.0155184072543569,1,2,2,2/2,100,100,0,0,2,502.223,573.598,22.8508,26.6935,30.0002,26.6736,26.6515,11.8667,34.329,83.4449,22.8145,200,18.9425,100.547,100.664
5,1581795962.1,294,"20200215 13:46:02",13:46:02,1581795954.1,0.0035658237310791786,6.05041552309297,97.4283870967742,58.91739617446218,5.936595388731857,9.817014177910957,0.27292424489949196,3.4144069127731225,0.2613578660581353,0.1643470116877056,193.7349078906355,26.21192403280609,25.9947709677419,3.3732145200085144,60.23012882293869,2.035377956051616,3.3793352194797914,1.3378365639568983,-157.25282654059177,5.639897248603873,0.35295932176378764,42.47493792041139,-0.0416712961902295,0.0467796805795802,3.48753273637488,0,0,1,0,53312.19527846542,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1831949946398,6.05041552309297,#DIV/0!,#DIV/0!,0.005995358972584859,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200,1009.1831949946398,0.8409859958288666,0.19197199165773315,2,0.5,"0: Broadleaf",1581795954.1,97.4283870967742,99.9874387096774,20.1999903225806,18.8025161290323,500.015548387097,100.56135483871,0.199978387096774,26.0254096774194,25.9947709677419,999.9,0,0,9993.13870967742,0,0.0015536,1200,0.966999290322581,0.033000764516129,0,262.761548387097,4.99927,3258.05774193548,11225.435483871,41.437,43.75,43.125,43.143,43.625,1155.56580645161,39.44,0,1581795976,262.765576923077,-0.971726493450117,-18.5275213330465,3257.86884615385,15,0,--:--:--,0,0,0,0,0,0,0,-2.54055073170732,-0.297199024390277,0.0407532060322084,1,262.891029411765,-2.0079712595097,0.278634958882438,-1,1.38552756097561,0.0760574216027975,0.0297751494666018,1,2,2,2/2,100,100,0,0,2,502.606,572.62,22.7149,26.6935,29.999,26.6803,26.6592,7.40195,34.6166,81.2065,22.7764,100,18.8569,100.549,100.667
6,1581796031.5,363.400000095367,"20200215 13:47:11",13:47:11,1581796023.5,0.0034908191233942133,3.4572759990281354,48.5353387096774,26.196242670324164,2.6395445347245245,4.890441337118188,0.2664674301840568,3.417478802055575,0.25543943182397855,0.16060243482589048,193.73455287220443,26.23683717209129,25.9946677419355,3.373193914950868,60.135092005531455,2.0331496984444644,3.38097046273322,1.3400442165064037,-153.94512334168482,7.17062325397673,0.44837089001156166,47.408423674507915,-0.0417190176776035,0.0468332521297895,3.49068836850641,0,0,1,0,53369.27288281907,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1813010830023,3.4572759990281354,#DIV/0!,#DIV/0!,0.003425822491278784,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.99774193548,1009.1813010830023,0.840986000069709,0.1919720001394183,2,0.5,"0: Broadleaf",1581796023.5,48.5353387096774,49.9859612903226,20.1780580645161,18.8099612903226,500.02035483871,100.560419354839,0.200005258064516,26.0335870967742,25.9946677419355,999.9,0,0,10004.6758064516,0,0.00152894,1199.99774193548,0.966998612903226,0.0330014806451613,0,264.343451612903,4.99927,3274.84806451613,11225.3967741936,41.425,43.75,43.125,43.133,43.625,1155.56064516129,39.44,0,1581796045.6,264.320923076923,-1.25511110458555,-14.1076923140889,3274.61653846154,15,0,--:--:--,0,0,0,0,0,0,0,-1.42256195121951,-0.492551179544748,0.0520848020630667,1,264.412382352941,-1.43800618070865,0.21677665582832,-1,1.36695390243902,0.0240844479947943,0.00331812897472669,1,2,2,2/2,100,100,0,0,2,502.588,571.95,22.8686,26.6935,30,26.687,26.6649,5.20481,34.3439,79.3086,22.8723,50,18.8573,100.551,100.671
7,1581796120.5,452.400000095367,"20200215 13:48:40",13:48:40,1581796112.5,0.003491627189952225,20.49450632857335,391.268709677419,257.4841053427529,25.94302977070954,39.42261123262803,0.26828338918795863,3.416550758903598,0.2571050578246157,0.16165617800620577,193.73563282828536,26.263780289450555,25.9847806451613,3.3712208462170614,60.230608908673375,2.039642589189159,3.386388791589063,1.3315782570279024,-153.98075907689312,13.97609591592371,0.8742220778357015,54.60519174515164,-0.0417045985535622,0.0468170653998685,3.48973502231811,0,0,1,0,53346.65416111005,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1869907694725,20.49450632857335,#DIV/0!,#DIV/0!,0.0203079374942665,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200.00451612903,1009.1869907694725,0.8409859939735094,0.19197198794701884,2,0.5,"0: Broadleaf",1581796112.5,391.268709677419,400.01264516129,20.2434161290323,18.8750903225806,500.019032258065,100.555870967742,0.199978548387097,26.0606580645161,25.9847806451613,999.9,0,0,10001.6703225806,0,0.00152894,1200.00451612903,0.966998838709678,0.0330012419354839,0,258.901774193548,4.99927,3217.65806451613,11225.4677419355,41.383,43.75,43.125,43.141,43.620935483871,1155.56806451613,39.44,0,1581796134.4,258.9555,8.37111110119317,91.7582905970769,3218.48115384615,15,0,--:--:--,0,0,0,0,0,0,0,-8.75539073170732,0.14972006968641,0.0307537997961817,1,258.562205882353,7.33852890081615,0.748222591110258,-1,1.36364609756098,0.0953732404181194,0.00977682897318809,1,2,2,2/2,100,100,0,0,2,502.797,572.144,23.0879,26.6913,30,26.6915,26.6706,20.3637,34.0613,76.272,23.0885,400,18.7914,100.553,100.671
8,1581796181,512.900000095367,"20200215 13:49:41",13:49:41,1581796173,0.0036216483812160356,20.658919429837695,391.161967741935,260.31300746114044,26.22784359976384,39.411533876742034,0.277318950916387,3.416621179576752,0.2653932134689806,0.16689950021495567,193.73298092830896,26.26973394063391,25.9932129032258,3.3729035241118783,59.96427209220593,2.0348634376001034,3.393459749617459,1.338040086511775,-159.71469361162718,18.919990599567708,1.1837038912789963,54.1219818075285,-0.0417056926256866,0.0468182935916741,3.48980736289615,0,0,1,0,53341.68710420203,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1726704152413,20.658919429837695,#DIV/0!,#DIV/0!,0.020471144369513326,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.98741935484,1009.1726704152413,0.8409860421351849,0.19197208427036994,2,0.5,"0: Broadleaf",1581796173,391.161967741935,399.991741935484,20.1961483870968,18.7768193548387,500.025709677419,100.555032258064,0.199992838709677,26.0959290322581,25.9932129032258,999.9,0,0,10002.0161290323,0,0.00152894,1199.98741935484,0.966997258064516,0.0330029129032258,0,262.625774193548,4.99927,3263.24967741936,11225.2967741935,41.375,43.75,43.125,43.125,43.5945161290322,1155.54741935484,39.4412903225807,0,1581796195,262.648076923077,1.26618803574143,27.0188033934839,3263.55692307692,15,0,--:--:--,0,0,0,0,0,0,0,-8.8411043902439,0.199206480836226,0.0422513674796034,1,262.557882352941,1.52035765655256,0.221339739488455,-1,1.41830829268293,0.0246363763066201,0.00300105095610954,1,2,2,2/2,100,100,0,0,2,502.856,571.919,23.185,26.6845,30,26.6893,26.6674,20.3626,34.3448,74.3862,23.1839,400,18.7886,100.557,100.669
9,1581796266.5,598.400000095367,"20200215 13:51:06",13:51:06,1581796258.5,0.0036777104253658687,27.33939542990843,588.190903225806,415.8111686866383,41.89423115586761,59.262010064214785,0.2814839193824061,3.4154644804326835,0.2692018355944306,0.16930998270424655,193.7325854678349,26.291622631471746,25.9919129032258,3.3726440580873724,59.79115929903982,2.033128674394782,3.4003834316479487,1.3395153836925906,-162.18702975863482,25.50084922110069,1.596232442874161,58.642637373174935,-0.041687723182136,0.0467981213170788,3.48861913052707,0,0,1,0,53313.45497566863,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1707549223609,27.33939542990843,#DIV/0!,#DIV/0!,0.027090950958058378,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.98516129032,1009.1707549223609,0.8409860283915676,0.19197205678313523,2,0.5,"0: Broadleaf",1581796258.5,588.190903225806,599.991290322581,20.1793322580645,18.7380129032258,500.027516129032,100.553032258065,0.199988129032258,26.1304032258065,25.9919129032258,999.9,0,0,9997.90548387097,0,0.00152894,1199.98516129032,0.966997258064516,0.0330029129032258,0,279.680580645161,4.99927,3467.59322580645,11225.2838709677,41.391,43.7256129032258,43.125,43.135,43.620935483871,1155.54516129032,39.4406451612903,0,1581796280.2,279.664153846154,-1.84430770503003,-18.6307691954797,3467.52807692308,15,0,--:--:--,0,0,0,0,0,0,0,-11.8406829268293,0.483974216027825,0.0719276089413449,1,279.751941176471,-1.86718167021424,0.265275654763837,-1,1.44458926829268,-0.0917245296167265,0.0111128737453117,1,2,2,2/2,100,100,0,0,2,502.815,571.856,23.1498,26.6777,30.0001,26.69,26.6706,28.1391,34.0658,71.7549,23.1464,600,18.7886,100.557,100.67
10,1581796348.5,680.400000095367,"20200215 13:52:28",13:52:28,1581796340.5,0.0037633458507707073,29.233707220803012,787.121612903226,603.3492890420795,60.788424291404695,79.30378545744676,0.28840624686863314,3.4149818697960956,0.2755257686519577,0.1733129233028296,193.73290242817913,26.289331405464527,26.0202612903226,3.378306047936392,59.90832424911298,2.0391596890318953,3.403800247445726,1.3391463589044967,-165.9635520189882,23.40612965989179,1.4656532008792154,52.64113326996194,-0.0416802265970786,0.046789705743615,3.48812336469718,0,0,1,0,53301.20145417691,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.172628524915,29.233707220803012,#DIV/0!,#DIV/0!,0.028967994567523365,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.98741935484,1009.172628524915,0.8409860072262136,0.1919720144524274,2,0.5,"0: Broadleaf",1581796340.5,787.121612903226,799.999612903226,20.2394709677419,18.7646419354839,500.014258064516,100.55164516129,0.199984774193548,26.1473935483871,26.0202612903226,999.9,0,0,9996.24548387097,0,0.00152894,1199.98741935484,0.966998161290323,0.0330019580645161,0,278.301064516129,4.99927,3453.76451612903,11225.2903225806,41.437,43.75,43.133,43.25,43.651,1155.55193548387,39.44,0,1581796362.4,278.224461538462,-8.6515555476162,-100.467350407974,3452.81192307692,15,0,--:--:--,0,0,0,0,0,0,0,-12.9,0.37518397212543,0.0691744101846213,1,278.900970588235,-11.2972160820917,1.13593947864089,-1,1.47029292682927,0.0962144947735202,0.00982626054568671,1,2,2,2/2,100,100,0,0,2,502.893,571.32,22.8684,26.7249,30.0005,26.7287,26.7124,35.5156,33.7905,69.097,22.8581,800,18.7333,100.545,100.657
11,1581796422.5,754.400000095367,"20200215 13:53:42",13:53:42,1581796414.5,0.003921806938306317,29.001366895356185,986.821774193548,806.7333875780084,81.27941173642007,99.42354504000998,0.3009755110604422,3.4172141916191774,0.28698582998618183,0.1805688642411638,193.72599413636527,26.22734294656646,26.0044806451613,3.375153174803474,59.88763595682462,2.0353043152197707,3.3985384173239077,1.3398488595837033,-172.9516859793086,21.507232695918987,1.3455844733806446,43.62712532635632,-0.0417149062091754,0.0468286366462945,3.49041654316329,0,0,1,0,53348.39585425046,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1363137581476,29.001366895356185,#DIV/0!,#DIV/0!,0.02873880019969902,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.94419354839,1009.1363137581476,0.8409860385040083,0.19197207700801677,2,0.5,"0: Broadleaf",1581796414.5,986.821774193548,999.970064516129,20.2012774193548,18.6642806451613,500.01164516129,100.551290322581,0.199977677419355,26.1212225806452,26.0044806451613,999.9,0,0,10004.5980645161,0,0.00152894,1199.94419354839,0.966998161290323,0.0330019580645161,0,271.608064516129,4.99927,3373.95451612903,11224.9096774194,41.5,43.812,43.187,43.320129032258,43.691064516129,1155.51387096774,39.44,0,1581796436.2,271.605153846154,-2.22940171001839,-32.7104273576031,3373.75307692308,15,0,--:--:--,0,0,0,0,0,0,0,-13.1854682926829,0.384451567944263,0.132071153104874,1,271.904352941176,-5.17864379616912,0.58741947545039,-1,1.53096487804878,0.0556764459930302,0.0128442505163435,1,2,2,2/2,100,100,0,0,2,503.098,570.979,22.8441,26.7996,30.0004,26.7834,26.7673,42.6267,34.0652,66.8327,22.8437,1000,18.6659,100.534,100.644
12,1581796491.5,823.400000095367,"20200215 13:54:51",13:54:51,1581796483.5,0.003872205131966259,30.33412988311412,1186.04322580645,991.3407691867246,99.88070240485722,119.49758766932923,0.2955657668050374,3.416374444508538,0.2820591878964108,0.177449063677868,193.73387787328625,26.222720933595493,26.003564516129,3.3749702169699303,59.75490592003372,2.028889525117864,3.3953522206745683,1.3460806918520665,-170.76424631971204,18.748700066374067,1.1731884375157784,42.891520057464064,-0.0417018593369199,0.046813990389219,3.48955390107778,0,0,1,0,53335.26289184753,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1802103970323,30.33412988311412,#DIV/0!,#DIV/0!,0.030058189380447766,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1199.99677419355,1009.1802103970323,0.8409857693786262,0.19197153875725262,2,0.5,"0: Broadleaf",1581796483.5,1186.04322580645,1200.0135483871,20.1372322580645,18.6195806451613,500.013258064516,100.553161290323,0.199985870967742,26.1053580645161,26.003564516129,999.9,0,0,10001.2829032258,0,0.00152894,1199.99677419355,0.967000193548387,0.0329998096774194,0,266.954193548387,4.99927,3319.38516129032,11225.3967741936,41.562,43.875,43.25,43.3809677419355,43.754,1155.56612903226,39.4306451612903,0,1581796505.2,266.940307692308,-0.442461544199665,-12.0652991144329,3319.32346153846,15,0,--:--:--,0,0,0,0,0,0,0,-14.0039097560976,0.4368710801394,0.081367317718009,1,267.150647058823,-3.23929986227638,0.419741999352886,-1,1.52155292682927,-0.0989558885017425,0.0130024639773564,1,2,2,2/2,100,100,0,0,2,503.131,570.848,22.8523,26.8694,30.0007,26.8414,26.8256,49.5018,33.7791,64.9314,22.8444,1200,18.6945,100.522,100.633
13,1581796562.5,894.400000095367,"20200215 13:56:02",13:56:02,1581796554.5,0.0038572203959532335,31.120887528515418,1485.28483870968,1279.5752862802085,128.92313097651723,149.64932024833615,0.295150373184062,3.4152920962796944,0.28167674342295346,0.17720725426228323,193.734374570779,26.224926371366802,26.0117225806452,3.376599748508026,59.90773147319679,2.033933009777506,3.395109378640893,1.3426667387305198,-170.10341946153758,17.017922639275763,1.065260694286516,41.7141384428037,-0.0416850454142093,0.0467951152879958,3.48844204736054,0,0,1,0,53314.88387850436,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.1829103970232,31.120887528515418,#DIV/0!,#DIV/0!,0.030837707622567778,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,1200,1009.1829103970232,0.840985758664186,0.19197151732837198,2,0.5,"0: Broadleaf",1581796554.5,1485.28483870968,1500.02419354839,20.1869935483871,18.6753161290323,500.021322580645,100.554612903226,0.200014322580645,26.1041483870968,26.0117225806452,999.9,0,0,9997.10612903226,0,0.00153602967741935,1200,0.967000870967742,0.0329990935483871,0,262.883,4.99927,3270.49258064516,11225.4387096774,41.625,43.9654516129032,43.312,43.445129032258,43.812,1155.56967741935,39.4303225806452,0,1581796576.6,262.922730769231,2.97131622457639,36.0899144923406,3270.86269230769,15,0,--:--:--,0,0,0,0,0,0,0,-14.7555219512195,0.271651567944231,0.0755580103812832,1,262.991088235294,-1.35131039034607,0.360759604466097,-1,1.5077587804878,0.0576754703832746,0.007136816669309,1,2,2,2/2,100,100,0,0,2,503.197,570.629,22.7397,26.9445,30.0005,26.9067,26.8903,59.463,33.5071,62.6544,22.7292,1500,18.6929,100.509,100.618
